WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,LandVisibility,DewPoint,RelativeHumidity,StationPressure,WindSpeed,AirTemperature,WindDirection,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-17-2019,01:00:00,1007.85,10.00,22.3,90,976.72,0.0,24.1,000,26.92,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-17-2019,01:00:00,1006.69,8.00,17.0,86,845.82,5.6,19.5,260,19.39,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-17-2019,01:00:00,1007.25,12.00,23.7,92,963.53,0.0,25.0,000,29.26,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-17-2019,01:00:00,1007.30,12.00,22.7,92,961.52,0.0,24.0,000,27.51,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-17-2019,01:00:00,1008.62,6.00,24.3,96,970.84,0.0,25.0,000,30.32,0.01
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-17-2019,01:00:00,1007.27,10.00,24.7,93,962.23,0.0,26.0,000,31.11,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-17-2019,01:00:00,1008.14,7.00,23.9,90,981.35,0.0,25.7,000,29.74,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-17-2019,01:00:00,1006.84,12.00,22.8,93,984.92,1.9,24.0,060,27.76,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-17-2019,01:00:00,1008.65,6.00,23.3,93,984.37,0.0,24.5,000,28.63,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-17-2019,01:00:00,1008.99,10.00,21.9,81,974.35,0.0,25.5,000,26.28,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-17-2019,01:00:00,1009.54,10.00,23.1,92,981.79,0.0,24.6,000,28.29,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-17-2019,01:00:00,1008.11,10.00,22.3,87,974.34,0.0,24.5,000,26.84,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-17-2019,01:00:00,1007.42,10.00,24.0,92,988.85,0.0,25.5,000,29.91,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-17-2019,01:00:00,1007.78,10.00,24.6,93,984.89,0.0,25.8,000,31.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-17-2019,01:00:00,1007.99,8.00,22.6,92,977.84,0.0,23.9,000,27.34,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-17-2019,01:00:00,1008.10,8.00,21.1,82,972.35,0.0,24.4,000,24.94,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-17-2019,01:00:00,1007.30,4.00,22.2,96,977.23,0.0,22.8,000,26.74,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-17-2019,01:00:00,1006.55,10.00,23.6,84,999.24,0.0,26.5,000,29.08,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-17-2019,01:00:00,1006.90,11.00,25.2,81,987.14,0.0,28.9,000,32.06,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-17-2019,01:00:00,1007.62,6.00,22.4,89,978.73,0.0,24.3,000,27.01,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-17-2019,01:00:00,1007.03,10.00,24.7,84,986.91,0.0,27.6,000,31.16,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-17-2019,01:00:00,1008.10,10.00,24.1,89,986.29,0.0,26.0,000,30.03,0.00
