WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.7,10-13-2019,01:00:00,0.0,000,28.1,33.00,1009.36,0.00,1010.07,8.00,0.00,87
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.1,10-13-2019,01:00:00,0.0,000,26.5,31.79,1007.16,1.10,1009.60,7.00,0.00,92
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.3,10-13-2019,01:00:00,3.7,080,26.7,32.18,1009.64,0.20,1010.16,10.00,0.00,92
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.1,10-13-2019,01:00:00,0.0,000,26.1,29.95,1004.95,1.50,1010.13,6.00,0.00,89
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.0,10-13-2019,01:00:00,0.0,000,25.3,29.80,1010.02,0.00,1010.43,7.00,0.00,92
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.3,10-13-2019,01:00:00,0.0,000,25.0,30.32,1007.50,0.00,1010.30,8.00,0.00,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.1,10-13-2019,01:00:00,0.0,000,26.3,30.05,1008.36,0.00,1009.15,10.00,0.00,88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.8,10-13-2019,01:00:00,5.6,080,25.0,29.52,1008.43,0.00,1008.89,7.00,0.00,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.3,10-13-2019,01:00:00,0.0,000,25.5,28.59,1009.51,0.00,1010.20,8.00,0.00,88
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.5,10-13-2019,01:00:00,0.0,000,25.0,29.00,1008.42,0.00,1009.96,8.00,0.00,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.8,10-13-2019,01:00:00,0.0,000,25.1,29.44,1009.21,10.30,1010.13,10.00,0.00,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.3,10-13-2019,01:00:00,0.0,000,26.7,32.18,1009.06,0.00,1009.75,10.00,0.00,92
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.3,10-13-2019,01:00:00,0.0,000,25.0,30.32,1009.45,0.00,1010.26,7.00,0.00,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.5,10-13-2019,01:00:00,0.0,000,26.2,30.67,1009.12,0.00,1009.76,10.00,0.00,90
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.8,10-13-2019,01:00:00,0.0,000,25.8,31.27,1009.49,0.30,1009.90,10.00,0.00,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.8,10-13-2019,01:00:00,0.0,000,24.5,29.41,1007.53,0.00,1011.79,6.00,0.00,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.6,10-13-2019,01:00:00,0.0,000,24.9,30.93,1008.34,0.00,1009.97,6.00,0.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.8,10-13-2019,01:00:00,0.0,000,24.5,29.41,1006.60,1.40,1010.11,7.00,0.00,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.2,10-13-2019,01:00:00,0.0,000,25.2,30.15,1008.72,0.01,1010.09,7.00,0.00,94
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.8,10-13-2019,01:00:00,0.0,000,25.4,31.33,1009.26,7.10,1010.15,10.00,0.00,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,10-13-2019,01:00:00,0.0,000,25.0,29.26,1006.39,0.00,1009.98,10.00,0.00,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.4,10-13-2019,01:00:00,0.0,000,27.5,32.36,1008.47,0.00,1008.91,10.00,0.00,88
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.5,10-13-2019,01:00:00,0.0,000,27.8,30.72,1008.38,0.00,1009.37,9.00,0.00,82
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.3,10-13-2019,01:00:00,5.6,090,25.5,30.44,1009.07,11.20,1009.89,9.00,11.20,93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.5,10-13-2019,01:00:00,0.0,000,25.1,30.77,1008.23,4.10,1010.06,10.00,0.00,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.4,10-13-2019,01:00:00,3.7,260,27.1,30.48,1009.22,0.00,1009.98,10.00,0.00,85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.7,10-13-2019,01:00:00,7.4,120,25.4,31.06,1006.40,1.60,1010.42,10.00,0.00,96
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.0,10-13-2019,01:00:00,0.0,000,26.0,31.65,1010.07,0.00,1010.76,10.00,0.00,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,10-13-2019,01:00:00,0.0,000,26.2,30.67,1008.96,3.40,1010.09,10.00,0.00,90
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.1,10-13-2019,01:00:00,0.0,000,25.8,31.82,1007.64,0.00,1010.58,10.00,0.00,96
