WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,MinimumTemperature,Rainfall,LandVisibility,StationPressure,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,AirTemperature,VaporPressure
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,08-06-2019,07:00:00,0.0,25.4,0.20,8.00,1001.30,24.6,1006.92,0.20,92,26.0,30.84
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,320,08-06-2019,07:00:00,22.2,27.5,0.00,10.00,998.14,24.5,1007.41,0.00,79,28.5,30.70
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,08-06-2019,07:00:00,0.0,24.6,4.00,4.00,1006.41,24.8,1007.68,19.30,99,25.0,31.39
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,08-06-2019,07:00:00,0.0,25.8,3.00,8.00,1006.83,25.2,1007.26,4.10,94,26.2,32.04
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-06-2019,07:00:00,0.0,24.3,5.50,8.00,995.13,24.1,1007.49,9.70,97,24.5,29.93
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,08-06-2019,07:00:00,0.0,25.2,2.10,6.00,1006.58,24.3,1007.29,2.50,93,25.5,30.44
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,240,08-06-2019,07:00:00,14.8,28.3,0.01,9.00,1004.52,24.6,1006.94,0.01,80,28.5,30.98
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,250,08-06-2019,07:00:00,18.5,28.4,0.00,10.00,1005.84,25.5,1006.36,0.20,81,29.0,32.55
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,08-06-2019,07:00:00,0.0,27.7,0.01,10.00,1001.40,24.6,1006.53,0.10,82,28.0,30.84
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-06-2019,07:00:00,0.0,25.6,20.50,6.00,1006.72,25.2,1007.13,62.80,90,26.9,32.02
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,240,08-06-2019,07:00:00,13.0,25.0,7.60,7.00,1003.80,24.9,1006.58,36.70,97,25.3,31.41
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,08-06-2019,07:00:00,0.0,25.0,0.00,10.00,1005.49,25.1,1006.27,11.50,92,26.5,31.79
48501,TRAD,ตราด,ตราด,11.76667,102.88333,300,08-06-2019,07:00:00,5.6,24.4,11.00,4.00,1006.37,25.4,1006.83,60.00,99,25.6,32.53
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,08-06-2019,07:00:00,0.0,24.7,0.00,7.00,1006.53,24.8,1007.22,10.40,96,25.5,31.25
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,08-06-2019,07:00:00,0.0,24.8,0.00,6.00,1005.64,24.4,1007.18,9.60,97,25.0,30.58
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,220,08-06-2019,07:00:00,5.6,25.0,0.00,10.00,1006.60,24.6,1007.52,36.10,84,27.5,30.97
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-06-2019,07:00:00,0.0,24.2,0.00,10.00,1006.40,24.1,1007.08,12.30,79,28.0,30.01
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,08-06-2019,07:00:00,0.0,24.5,0.00,10.00,1006.98,24.3,1007.79,17.80,99,24.5,30.46
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,130,08-06-2019,07:00:00,7.4,26.1,0.00,10.00,1006.41,24.1,1007.04,2.60,86,26.7,29.99
