WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,WindDirection,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,WindSpeed,RelativeHumidity
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.03,09-09-2019,22:00:00,10.00,000,24.5,1010.72,30.71,0.20,31.10,25.5,0.0,94
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.57,09-09-2019,22:00:00,7.00,000,23.8,1011.38,29.41,0.00,16.10,24.5,0.0,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.07,09-09-2019,22:00:00,10.00,000,24.1,1011.71,29.93,0.10,14.00,24.5,0.0,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.67,09-09-2019,22:00:00,10.00,000,23.3,1010.08,28.61,0.00,34.80,23.9,0.0,97
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.90,09-09-2019,22:00:00,5.00,000,23.3,1013.18,28.53,0.00,42.40,24.0,0.0,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.67,09-09-2019,22:00:00,10.00,000,23.5,1011.30,28.97,1.40,8.40,24.4,0.0,95
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.22,09-09-2019,22:00:00,6.00,000,23.6,1011.74,29.04,1.20,41.50,24.0,0.0,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.83,09-09-2019,22:00:00,8.00,000,24.5,1011.20,30.71,0.00,0.01,25.5,0.0,94
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.34,09-09-2019,22:00:00,10.00,000,22.4,1011.24,27.16,4.50,12.30,23.2,0.0,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.04,09-09-2019,22:00:00,10.00,000,23.4,1011.66,28.69,0.40,52.20,23.8,0.0,97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.11,09-09-2019,22:00:00,10.00,000,24.9,1011.55,31.55,0.40,43.20,25.8,0.0,95
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.07,09-09-2019,22:00:00,8.00,000,23.4,1012.08,28.75,0.20,2.00,25.3,0.0,89
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.43,09-09-2019,22:00:00,10.00,000,23.0,1011.26,28.10,0.00,67.60,24.2,0.0,93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.99,09-09-2019,22:00:00,10.00,000,24.1,1011.83,30.05,0.00,64.70,25.0,0.0,95
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.44,09-09-2019,22:00:00,10.00,250,24.0,1011.19,29.88,0.00,7.00,27.5,3.7,81
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.42,09-09-2019,22:00:00,10.00,230,24.3,1011.44,30.38,0.00,0.00,25.9,5.6,91
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.64,09-09-2019,22:00:00,10.00,000,24.8,1011.32,31.27,0.00,0.00,26.8,0.0,89
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.88,09-09-2019,22:00:00,10.00,000,25.5,1011.00,32.73,0.00,0.00,27.4,0.0,90
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.04,09-09-2019,22:00:00,10.00,000,24.2,1010.98,30.28,0.00,0.00,25.7,0.0,92
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.27,09-09-2019,22:00:00,7.00,000,24.7,1010.97,31.06,0.00,1.50,25.4,0.0,96
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.60,09-09-2019,22:00:00,7.00,000,24.0,1011.76,29.91,0.00,1.50,25.5,0.0,92
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1012.36,09-09-2019,22:00:00,8.00,000,22.2,1012.96,26.78,0.00,14.90,25.2,0.0,84
