WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,RelativeHumidity,Rainfall24Hr,WindSpeed,AirTemperature,Rainfall,MinimumTemperature,LandVisibility,StationPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.96,07-29-2019,07:00:00,000,24.7,97,0.00,0.0,25.3,0.00,23.4,10.00,977.91,31.14
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1006.28,07-29-2019,07:00:00,270,17.2,95,0.20,13.0,18.0,0.00,18.0,8.00,844.74,19.57
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.46,07-29-2019,07:00:00,000,23.8,87,0.00,0.0,26.1,0.00,25.5,15.00,962.93,29.41
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1007.93,07-29-2019,07:00:00,000,24.0,92,0.00,0.0,25.5,0.00,24.0,15.00,962.35,29.91
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.89,07-29-2019,07:00:00,000,23.3,96,0.00,0.0,24.0,0.00,23.0,12.00,970.01,28.53
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.00,07-29-2019,07:00:00,110,23.9,89,0.00,5.6,25.8,0.00,24.8,9.00,961.95,29.66
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.73,07-29-2019,07:00:00,000,24.4,94,0.00,0.0,25.4,0.00,24.7,10.00,980.93,30.52
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.94,07-29-2019,07:00:00,060,22.9,95,6.80,3.7,23.8,0.00,23.3,14.00,985.98,27.92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.63,07-29-2019,07:00:00,000,23.5,92,3.80,0.0,25.0,0.00,23.0,6.00,985.36,29.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1008.08,07-29-2019,07:00:00,000,23.3,88,0.00,0.0,25.4,0.00,25.0,12.00,973.46,28.67
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.08,07-29-2019,07:00:00,000,23.7,89,0.00,0.0,25.6,0.00,25.1,10.00,980.46,29.29
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.76,07-29-2019,07:00:00,000,23.3,88,0.00,0.0,25.5,0.00,25.3,10.00,974.11,28.59
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.41,07-29-2019,07:00:00,200,24.6,93,0.00,1.9,25.8,0.00,25.5,10.00,988.85,31.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.29,07-29-2019,07:00:00,000,24.3,95,0.00,0.0,25.2,0.00,24.5,10.00,984.37,30.42
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.69,07-29-2019,07:00:00,000,24.1,94,0.00,0.0,25.1,0.00,23.9,9.00,977.67,29.97
