WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,WindSpeed,AirTemperature,Rainfall24Hr,DewPoint,VaporPressure,Rainfall,StationPressure,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,10-04-2019,13:00:00,1008.28,0.0,32.2,0.00,21.9,26.28,0.00,977.94,55,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,200,10-04-2019,13:00:00,1008.09,9.3,21.5,0.00,19.3,22.36,0.00,847.98,87,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,040,10-04-2019,13:00:00,1007.75,1.9,31.9,0.00,22.4,27.08,0.00,964.97,57,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,250,10-04-2019,13:00:00,1007.61,7.4,33.7,0.00,23.5,28.96,0.00,963.23,55,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,170,10-04-2019,13:00:00,1007.95,3.7,32.5,0.00,24.4,30.53,0.00,971.10,62,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,200,10-04-2019,13:00:00,1007.47,7.4,31.3,0.00,24.5,30.65,0.00,963.19,67,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,10-04-2019,13:00:00,1008.62,3.7,33.5,0.00,25.4,32.35,0.00,982.49,63,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,240,10-04-2019,13:00:00,1008.49,5.6,33.0,0.00,23.7,29.25,0.00,987.17,58,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-04-2019,13:00:00,1009.24,0.0,33.4,0.00,23.6,29.21,0.00,985.64,57,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,190,10-04-2019,13:00:00,1008.25,5.6,33.5,0.00,23.4,28.84,0.00,974.52,56,12.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,10-04-2019,13:00:00,1008.30,0.0,34.0,0.00,23.7,29.29,0.00,981.42,55,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-04-2019,13:00:00,1008.43,0.0,33.0,0.60,22.0,26.45,0.00,975.56,53,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,270,10-04-2019,13:00:00,1008.08,7.4,32.5,0.00,24.4,30.53,0.00,989.92,62,5.00
