WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,LandVisibility,VaporPressure,StationPressure,Rainfall
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,020,09-25-2019,10:00:00,49,7.4,18.5,0.00,30.4,1016.22,10.00,21.26,995.40,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,020,09-25-2019,10:00:00,59,20.4,19.6,0.00,28.5,1016.13,10.00,22.81,998.40,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,020,09-25-2019,10:00:00,61,7.4,20.1,0.00,28.5,1015.94,10.00,23.56,999.72,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,060,09-25-2019,10:00:00,62,5.6,21.9,0.00,30.0,1015.24,10.00,26.21,1001.23,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,09-25-2019,10:00:00,66,0.0,22.8,0.00,29.8,1015.12,9.00,27.71,1000.31,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,040,09-25-2019,10:00:00,71,16.7,23.2,0.00,29.0,1015.91,10.00,28.37,1001.21,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",09-25-2019,10:00:00,58,0.0,21.4,0.00,30.8,1015.66,7.00,25.55,1012.65,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,040,09-25-2019,10:00:00,64,5.6,23.0,0.00,30.7,1016.12,10.00,28.06,1008.20,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,060,09-25-2019,10:00:00,62,18.5,22.1,0.00,30.1,1015.79,9.00,26.66,1014.68,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,090,09-25-2019,10:00:00,77,3.7,23.5,0.00,28.0,1013.42,9.00,28.92,998.69,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,050,09-25-2019,10:00:00,70,3.7,17.8,0.00,23.6,1014.18,8.00,20.42,879.95,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,090,09-25-2019,10:00:00,56,3.7,20.2,0.00,30.0,1016.03,7.00,23.60,1010.16,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,030,09-25-2019,10:00:00,69,1.9,23.2,0.00,29.5,1015.10,8.00,28.50,1014.30,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,120,09-25-2019,10:00:00,58,16.7,21.4,0.00,30.8,1014.75,10.00,25.55,1014.31,0.00
