WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,VaporPressure,LandVisibility,WindSpeed,AirTemperature,RelativeHumidity,Rainfall,MeanSeaLevelPressure,WindDirection,DewPoint,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,979.21,09-20-2019,01:00:00,31.41,10.00,0.0,26.3,92,0.00,1010.19,000,24.9,9.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,848.35,09-20-2019,01:00:00,20.95,8.00,9.3,18.4,99,0.00,1010.34,130,18.2,26.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,966.56,09-20-2019,01:00:00,28.37,10.00,0.0,24.5,92,0.00,1010.49,000,23.2,1.50
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,964.86,09-20-2019,01:00:00,28.53,7.00,0.0,24.0,96,0.00,1010.80,000,23.3,3.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,973.32,09-20-2019,01:00:00,29.56,5.00,0.0,24.0,99,0.00,1011.33,000,23.8,12.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,965.03,09-20-2019,01:00:00,27.92,7.00,0.0,23.5,96,0.00,1010.58,000,22.9,12.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,984.27,09-20-2019,01:00:00,30.05,7.00,0.0,25.0,95,0.00,1011.20,000,24.1,23.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,988.40,09-20-2019,01:00:00,29.07,14.00,0.0,24.6,94,0.00,1010.35,000,23.6,1.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,985.93,09-20-2019,01:00:00,32.20,6.00,0.0,26.0,96,0.00,1010.12,000,25.3,1.80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,976.05,09-20-2019,01:00:00,29.00,10.00,0.0,25.0,92,0.00,1010.80,000,23.5,89.10
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,984.27,09-20-2019,01:00:00,28.89,10.00,0.0,24.5,94,0.00,1012.09,000,23.5,73.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,977.43,09-20-2019,01:00:00,29.41,10.00,0.0,24.5,96,0.00,1011.32,000,23.8,25.70
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,991.36,09-20-2019,01:00:00,32.20,8.00,0.0,26.0,96,0.00,1009.95,000,25.3,6.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,988.16,09-20-2019,01:00:00,31.17,10.00,0.0,25.6,95,0.00,1011.13,000,24.7,17.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,980.85,09-20-2019,01:00:00,29.49,7.00,0.0,24.4,97,0.00,1011.04,000,23.8,4.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,974.57,09-20-2019,01:00:00,28.43,6.00,0.0,23.8,97,0.00,1010.47,000,23.2,19.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,979.83,09-20-2019,01:00:00,29.56,5.00,0.0,24.0,99,0.00,1009.85,000,23.8,4.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.20,09-20-2019,01:00:00,31.11,8.00,0.0,27.0,87,0.00,1009.52,000,24.7,0.01
