WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,VaporPressure,LandVisibility,WindSpeed,AirTemperature,RelativeHumidity,Rainfall,MeanSeaLevelPressure,WindDirection,DewPoint,Rainfall24Hr
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,989.63,09-20-2019,01:00:00,32.45,10.00,3.7,27.4,89,0.00,1009.53,140,25.4,3.20
48353,LOEI,เลย,เลย,17.45000,101.73333,981.16,09-20-2019,01:00:00,29.16,6.00,0.0,24.8,93,0.00,1010.07,000,23.6,3.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,989.67,09-20-2019,01:00:00,32.35,10.00,0.0,26.5,93,0.30,1009.91,000,25.4,10.80
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,988.47,09-20-2019,01:00:00,29.08,10.00,0.0,24.9,92,0.00,1010.40,000,23.6,9.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,990.55,09-20-2019,01:00:00,28.85,11.00,0.0,25.5,88,0.00,1010.18,000,23.4,6.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,993.33,09-20-2019,01:00:00,29.46,10.00,0.0,25.4,91,0.00,1010.21,000,23.8,16.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,992.88,09-20-2019,01:00:00,29.89,10.00,0.0,25.2,93,0.00,1010.44,000,24.0,0.60
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,983.33,09-20-2019,01:00:00,29.41,8.00,0.0,24.5,96,8.20,1009.36,000,23.8,15.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.22,09-20-2019,01:00:00,32.40,10.00,3.7,26.1,96,0.00,1009.04,300,25.4,4.70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.48,09-20-2019,01:00:00,31.38,10.00,0.0,26.0,93,0.00,1009.71,000,24.8,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.19,09-20-2019,01:00:00,29.13,10.00,0.0,27.1,81,0.00,1009.66,000,23.6,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.49,09-20-2019,01:00:00,30.59,10.00,0.0,26.3,89,0.00,1007.88,000,24.4,17.20
48376,TAK,ตาก,ตาก,16.87833,99.14333,996.41,09-20-2019,01:00:00,28.59,4.00,3.7,25.5,88,5.20,1010.92,190,23.3,48.70
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,993.08,09-20-2019,01:00:00,29.25,7.00,0.0,24.7,94,0.00,1009.62,000,23.7,9.70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.64,09-20-2019,01:00:00,32.77,10.00,3.7,27.0,92,0.00,1009.88,160,25.6,2.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,994.96,09-20-2019,01:00:00,32.53,8.00,0.0,27.3,90,0.20,1008.16,000,25.4,0.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1000.51,09-20-2019,01:00:00,31.17,10.00,0.0,25.6,95,3.20,1009.90,000,24.7,6.40
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,987.56,09-20-2019,01:00:00,30.54,6.00,3.7,25.7,93,0.00,1009.39,030,24.4,0.70
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,991.30,09-20-2019,01:00:00,27.77,10.00,0.0,26.5,80,0.00,1008.85,000,22.8,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,993.20,09-20-2019,01:00:00,31.25,10.00,0.0,25.5,96,0.00,1009.14,000,24.8,4.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,989.80,09-20-2019,01:00:00,32.71,7.00,0.0,26.4,95,0.00,1008.75,000,25.5,0.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,959.40,09-20-2019,01:00:00,26.66,5.00,0.0,23.2,94,0.50,1011.25,000,22.1,7.80
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.67,09-20-2019,01:00:00,31.25,5.00,3.7,25.5,96,0.00,1009.66,160,24.8,11.30
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,915.27,09-20-2019,01:00:00,24.11,3.00,0.0,21.9,92,0.00,1010.58,000,20.5,9.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,993.56,09-20-2019,01:00:00,31.24,8.00,5.6,26.5,90,0.00,1009.61,080,24.8,0.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.37,09-20-2019,01:00:00,29.67,8.00,0.0,24.5,97,41.50,1009.45,000,23.9,68.50
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,999.95,09-20-2019,01:00:00,30.32,7.00,0.0,25.0,96,0.00,1010.74,000,24.3,14.60
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.82,09-20-2019,01:00:00,29.16,7.00,0.0,24.8,93,1.00,1010.78,000,23.6,25.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,988.79,09-20-2019,01:00:00,30.85,5.00,9.3,25.0,97,38.60,1009.85,280,24.6,51.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,991.20,09-20-2019,01:00:00,30.43,10.00,9.3,26.5,88,0.00,1008.92,090,24.3,0.70
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,992.62,09-20-2019,01:00:00,30.84,7.00,0.0,26.0,92,1.10,1008.86,000,24.6,2.70
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,995.46,09-20-2019,01:00:00,31.08,10.00,0.0,25.7,94,0.40,1009.59,000,24.7,24.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,995.12,09-20-2019,01:00:00,30.85,8.00,0.0,25.0,97,0.01,1010.09,000,24.6,25.20
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,995.04,09-20-2019,01:00:00,32.76,6.00,0.0,26.0,98,0.00,1009.79,000,25.6,11.30
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.48,09-20-2019,01:00:00,30.32,10.00,0.0,25.0,96,0.00,1009.52,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.3,16.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.42,09-20-2019,01:00:00,30.89,7.00,0.0,26.6,89,0.00,1009.40,000,24.6,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.49,09-20-2019,01:00:00,31.88,7.00,0.0,26.4,93,0.00,1009.61,000,25.1,3.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,995.29,09-20-2019,01:00:00,31.00,8.00,0.0,25.8,93,0.00,1010.07,000,24.6,7.80
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,875.17,09-20-2019,01:00:00,22.20,7.00,0.0,19.5,98,0.00,1010.65,000,19.2,1.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.81,09-20-2019,01:00:00,30.46,10.00,5.6,25.8,92,0.00,1009.73,020,24.3,10.40
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.13,09-20-2019,01:00:00,32.20,3.00,3.7,26.0,96,1.30,1009.93,200,25.3,22.80
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.48,09-20-2019,01:00:00,30.05,4.00,0.0,25.0,95,80.20,1009.94,000,24.1,88.20
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.17,09-20-2019,01:00:00,29.41,3.00,0.0,24.5,96,0.80,1010.61,000,23.8,27.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.83,09-20-2019,01:00:00,31.25,5.00,0.0,25.5,96,44.30,1009.85,000,24.8,48.90
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.75,09-20-2019,01:00:00,32.38,7.00,0.0,26.8,92,0.00,1009.58,000,25.4,8.60
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.01,09-20-2019,01:00:00,31.65,4.00,0.0,26.0,94,0.50,1009.78,000,25.0,0.60
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.74,09-20-2019,01:00:00,29.26,10.00,7.4,25.0,92,0.20,1010.45,210,23.7,6.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.91,09-20-2019,01:00:00,31.76,6.00,3.7,26.2,93,16.70,1009.62,090,25.0,19.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.46,09-20-2019,01:00:00,31.19,10.00,1.9,25.9,93,0.01,1009.75,310,24.7,3.80
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,993.17,09-20-2019,01:00:00,29.41,5.00,0.0,24.5,96,54.80,1010.07,000,23.8,61.60
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,993.78,09-20-2019,01:00:00,29.66,4.00,0.0,24.2,98,82.90,1010.42,000,23.9,87.50
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,987.59,09-20-2019,01:00:00,32.12,10.00,0.0,26.1,95,0.50,1009.56,000,25.2,4.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.21,09-20-2019,01:00:00,26.66,8.00,3.7,22.9,96,0.00,1010.16,190,22.1,24.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,988.97,09-20-2019,01:00:00,29.00,10.00,3.7,25.0,92,0.00,1009.72,150,23.5,20.90
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,990.08,09-20-2019,01:00:00,30.36,7.00,13.0,24.3,100,10.20,1011.17,190,24.3,79.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.56,09-20-2019,01:00:00,31.38,6.00,3.7,26.0,93,2.30,1009.99,040,24.8,4.70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.36,09-20-2019,01:00:00,31.71,6.00,0.0,25.6,97,2.10,1009.78,000,25.0,4.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.96,09-20-2019,01:00:00,31.33,7.00,0.0,25.4,97,1.60,1009.93,000,24.8,98.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.41,09-20-2019,01:00:00,29.62,8.00,0.0,26.5,86,0.00,1009.72,000,23.9,0.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.60,09-20-2019,01:00:00,32.51,10.00,0.0,26.3,95,0.00,1009.71,000,25.4,0.50
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.70,09-20-2019,01:00:00,31.25,8.00,3.7,25.5,96,2.60,1010.00,220,24.8,57.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.13,09-20-2019,01:00:00,32.20,10.00,0.0,26.0,96,0.00,1009.62,000,25.3,61.30
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.66,09-20-2019,01:00:00,31.71,9.00,11.1,25.6,97,2.40,1010.08,200,25.0,7.40
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.53,09-20-2019,01:00:00,29.69,10.00,0.0,24.8,95,0.00,1011.63,000,23.9,10.70
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.40,09-20-2019,01:00:00,31.71,4.00,5.6,26.6,91,3.20,1010.68,180,25.0,16.40
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.59,09-20-2019,01:00:00,30.32,10.00,0.0,25.0,96,21.00,1009.75,000,24.3,21.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.00,09-20-2019,01:00:00,32.40,8.00,7.4,26.1,96,0.10,1009.98,020,25.4,1.10
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.62,09-20-2019,01:00:00,31.00,8.00,0.0,25.8,93,3.70,1010.26,000,24.6,16.70
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.34,09-20-2019,01:00:00,32.45,4.00,0.0,25.7,98,2.60,1011.61,000,25.4,24.70
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.27,09-20-2019,01:00:00,29.89,11.00,0.0,26.5,86,0.00,1009.70,000,24.0,0.30
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,998.14,09-20-2019,01:00:00,28.18,10.00,0.0,23.8,96,0.00,1010.57,000,23.1,27.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.98,09-20-2019,01:00:00,29.25,10.00,3.7,26.3,86,0.00,1009.69,240,23.7,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.53,09-20-2019,01:00:00,31.65,8.00,3.7,26.0,94,0.20,1009.98,360,25.0,39.70
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.29,09-20-2019,01:00:00,32.61,7.00,0.0,27.2,90,2.10,1010.82,000,25.5,50.50
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.23,09-20-2019,01:00:00,30.58,7.00,0.0,25.0,97,7.90,1010.65,000,24.4,36.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.51,09-20-2019,01:00:00,29.30,8.00,0.0,24.0,98,9.40,1010.32,000,23.7,45.70
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.42,09-20-2019,01:00:00,27.70,10.00,0.0,25.0,88,0.00,1008.22,000,22.8,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.79,09-20-2019,01:00:00,30.32,6.00,5.6,25.0,96,0.00,1010.25,090,24.3,46.70
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.39,09-20-2019,01:00:00,29.42,7.00,0.0,24.8,94,0.00,1011.08,000,23.8,0.50
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.42,09-20-2019,01:00:00,30.09,8.00,0.0,25.6,92,0.00,1009.95,000,24.1,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.65,09-20-2019,01:00:00,29.91,10.00,0.0,25.5,92,0.50,1011.57,000,24.0,3.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.46,09-20-2019,01:00:00,30.18,12.00,0.0,26.8,86,0.00,1011.15,000,24.2,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.63,09-20-2019,01:00:00,29.69,8.00,0.0,24.8,95,0.00,1011.43,000,23.9,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.05,09-20-2019,01:00:00,31.17,10.00,0.0,25.6,95,0.00,1010.68,000,24.7,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.08,09-20-2019,01:00:00,31.41,8.00,0.0,25.3,97,0.10,1010.49,000,24.9,47.10
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.83,09-20-2019,01:00:00,29.52,5.00,0.0,25.0,93,0.00,1013.10,000,23.8,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.72,09-20-2019,01:00:00,30.58,6.00,0.0,25.0,97,0.60,1009.34,000,24.4,1.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.22,09-20-2019,01:00:00,31.20,7.00,0.0,24.9,99,0.00,1010.58,000,24.7,12.30
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.50,09-20-2019,01:00:00,31.58,10.00,0.0,25.1,99,1.60,1011.40,000,24.9,1.90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.66,09-20-2019,01:00:00,30.67,8.00,0.0,24.9,97,0.30,1011.26,000,24.5,2.30
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.61,09-20-2019,01:00:00,30.72,10.00,0.0,26.8,87,0.00,1011.05,000,24.5,0.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.77,09-20-2019,01:00:00,30.72,10.00,0.0,26.8,87,0.00,1010.77,000,24.5,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.31,09-20-2019,01:00:00,30.92,10.00,7.4,25.9,93,0.00,1011.13,090,24.6,0.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.21,09-20-2019,01:00:00,31.11,7.00,0.0,26.0,93,0.00,1011.04,000,24.7,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.06,09-20-2019,01:00:00,30.30,4.00,0.0,26.0,90,0.00,1010.82,000,24.3,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.93,09-20-2019,01:00:00,30.67,5.00,0.0,24.9,97,0.00,1010.97,000,24.5,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.45,09-20-2019,01:00:00,29.99,7.00,0.0,25.4,92,0.00,1011.14,000,24.1,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.63,09-20-2019,01:00:00,30.58,10.00,0.0,25.0,97,0.00,1011.75,000,24.4,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.10,09-20-2019,01:00:00,29.77,7.00,0.0,24.7,96,0.00,1011.05,000,24.0,0.00
