WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,Rainfall,DewPoint,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,WindDirection,RelativeHumidity,VaporPressure
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.8,08-12-2019,04:00:00,1.10,0.10,23.2,0.0,1004.80,983.61,10.00,000,85,28.34
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.5,08-12-2019,04:00:00,0.00,0.00,23.7,0.0,1005.56,988.79,6.00,000,90,29.38
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.7,08-12-2019,04:00:00,0.00,0.00,23.9,13.0,1005.95,989.47,7.00,180,90,29.74
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.4,08-12-2019,04:00:00,1.40,0.00,23.5,0.0,1004.83,982.91,10.00,000,89,28.93
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.6,08-12-2019,04:00:00,1.20,0.00,22.2,0.0,1005.20,961.71,10.00,000,87,26.76
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.8,08-12-2019,04:00:00,0.00,0.00,22.5,3.7,1004.69,984.10,8.00,160,82,27.30
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.0,08-12-2019,04:00:00,6.60,0.00,25.0,11.1,1006.52,985.58,7.00,180,100,31.66
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.9,08-12-2019,04:00:00,0.10,0.01,23.8,11.1,1005.01,1004.58,10.00,220,83,29.56
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.0,08-12-2019,04:00:00,8.90,0.00,24.3,0.0,1005.14,1003.72,6.00,000,96,30.32
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,08-12-2019,04:00:00,0.80,0.00,24.6,0.0,1005.51,1000.55,7.00,000,96,30.87
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.1,08-12-2019,04:00:00,23.80,0.00,24.2,0.0,1004.87,1001.57,10.00,000,95,30.23
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.5,08-12-2019,04:00:00,11.40,1.60,24.8,0.0,1005.16,1004.05,10.00,000,96,31.25
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.5,08-12-2019,04:00:00,0.01,0.01,24.6,7.4,1005.00,1004.70,10.00,230,84,30.97
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.2,08-12-2019,04:00:00,0.00,0.00,24.9,3.7,1004.79,1004.30,10.00,180,87,31.49
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.7,08-12-2019,04:00:00,0.01,0.01,25.6,9.3,1004.98,1003.57,10.00,210,94,32.74
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.8,08-12-2019,04:00:00,1.40,0.00,23.6,0.0,1006.52,998.46,10.00,000,93,29.16
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.0,08-12-2019,04:00:00,0.01,0.00,24.7,0.0,1004.78,1004.50,8.00,000,87,31.11
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.5,08-12-2019,04:00:00,6.80,0.00,25.1,0.0,1004.87,1001.74,10.00,000,92,31.79
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.0,08-12-2019,04:00:00,5.00,0.00,24.1,5.6,1005.37,998.44,10.00,210,84,30.02
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.0,08-12-2019,04:00:00,2.70,0.00,24.6,0.0,1005.44,999.83,7.00,000,92,30.84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.4,08-12-2019,04:00:00,3.80,0.00,24.8,0.0,1006.06,1004.79,8.00,000,97,31.33
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.5,08-12-2019,04:00:00,18.00,0.00,23.9,0.0,1004.96,1004.53,11.00,000,86,29.62
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.7,08-12-2019,04:00:00,10.80,0.00,23.1,0.0,1004.89,992.52,10.00,000,96,28.26
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.0,08-12-2019,04:00:00,11.60,0.00,23.5,0.0,1004.51,1003.79,10.00,000,92,29.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.0,08-12-2019,04:00:00,11.00,0.00,23.6,3.7,1006.09,1003.66,10.00,180,82,29.21
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.0,08-12-2019,04:00:00,0.01,0.00,24.7,18.5,1005.57,1005.06,10.00,260,82,31.11
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.0,08-12-2019,04:00:00,1.30,0.00,24.7,0.0,1005.76,1000.61,9.00,000,87,31.11
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.5,08-12-2019,04:00:00,4.50,2.50,25.6,0.0,1005.66,1005.25,7.00,000,95,32.91
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.8,08-12-2019,04:00:00,8.20,0.00,25.1,0.0,1006.09,1003.31,8.00,000,96,31.82
