WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,Rainfall,StationPressure,MinimumTemperature,DewPoint,LandVisibility,WindDirection,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.6,09-10-2019,07:00:00,95,0.00,976.46,23.2,23.7,8.00,000,1007.53,0.0,35.60,29.33
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.1,09-10-2019,07:00:00,89,0.00,843.75,18.0,16.2,8.00,100,1005.04,185.2,0.00,18.46
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.6,09-10-2019,07:00:00,88,0.00,962.49,25.2,23.5,10.00,190,1006.07,3.7,0.01,29.03
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.1,09-10-2019,07:00:00,92,0.00,960.15,24.5,23.8,15.00,000,1005.69,0.0,0.00,29.44
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.0,09-10-2019,07:00:00,98,0.00,969.38,24.4,24.7,10.00,000,1007.11,0.0,8.50,31.12
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.0,09-10-2019,07:00:00,89,0.00,961.46,24.0,23.1,8.00,080,1006.61,3.7,0.00,28.22
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.7,09-10-2019,07:00:00,88,0.00,980.41,25.0,23.5,10.00,000,1007.18,0.0,0.00,28.95
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.8,09-10-2019,07:00:00,93,0.00,985.83,23.7,22.6,11.00,020,1007.79,1.9,0.00,27.42
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.3,09-10-2019,07:00:00,97,0.20,984.38,22.5,23.7,6.00,000,1008.68,0.0,2.30,29.31
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.2,09-10-2019,07:00:00,90,0.00,972.20,24.6,23.4,10.00,000,1006.79,0.0,1.80,28.83
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.7,09-10-2019,07:00:00,90,0.00,979.80,24.2,22.9,10.00,000,1007.49,0.0,0.00,27.95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.7,09-10-2019,07:00:00,86,0.00,972.91,25.4,23.2,10.00,000,1006.50,0.0,0.00,28.42
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.0,09-10-2019,07:00:00,92,0.00,988.57,24.8,23.5,10.00,210,1007.17,3.7,9.70,29.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.6,09-10-2019,07:00:00,89,0.00,984.25,25.3,23.7,10.00,000,1007.14,0.0,0.30,29.29
