WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,WindSpeed,MaximumTemperature,Rainfall,Rainfall24Hr,RelativeHumidity,WindDirection,LandVisibility,DewPoint,VaporPressure
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.53,09-08-2019,19:00:00,1005.87,29.8,5.6,34.8,0.00,0.00,75,210,10.00,24.8,31.32
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.65,09-08-2019,19:00:00,1007.40,28.1,7.4,32.9,0.00,0.00,87,240,10.00,25.7,33.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.44,09-08-2019,19:00:00,1007.88,26.6,5.6,34.0,1.00,1.00,83,360,10.00,23.5,29.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.18,09-08-2019,19:00:00,1006.58,29.3,0.0,33.2,0.00,0.00,79,000,8.00,25.3,32.30
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.77,09-08-2019,19:00:00,1007.66,29.9,0.0,33.2,0.00,0.00,77,000,7.00,25.4,32.38
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.51,09-08-2019,19:00:00,1007.79,28.5,3.7,33.9,0.00,0.00,72,290,12.00,22.9,27.97
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.09,09-08-2019,19:00:00,1007.20,28.5,0.0,32.5,0.00,0.20,76,000,10.00,23.9,29.60
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.68,09-08-2019,19:00:00,1007.98,25.7,5.6,32.7,27.80,27.80,94,220,6.00,24.7,31.08
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1007.30,09-08-2019,19:00:00,1007.99,26.2,5.6,33.6,25.70,25.70,98,210,10.00,25.9,33.43
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.57,09-08-2019,19:00:00,1008.06,25.8,0.0,32.6,15.40,15.40,95,000,10.00,24.9,31.55
