WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,RelativeHumidity,WindDirection,StationPressure,LandVisibility,AirTemperature,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-05-2019,01:00:00,0.50,85,180,1002.08,7.00,26.0,3.7,28.70,23.4,1003.91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-05-2019,01:00:00,4.00,81,000,1003.47,7.00,25.4,0.0,26.36,22.0,1004.24
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-05-2019,01:00:00,0.01,83,170,1003.68,10.00,27.0,5.6,29.48,23.8,1004.38
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-05-2019,01:00:00,0.00,84,000,1003.27,7.00,27.6,0.0,31.16,24.7,1003.97
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-05-2019,01:00:00,0.10,80,230,982.60,10.00,26.7,9.3,27.86,22.9,1003.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-05-2019,01:00:00,0.00,79,000,987.46,7.00,26.7,0.0,27.60,22.7,1004.14
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-05-2019,01:00:00,0.10,82,190,988.15,6.00,26.3,5.6,27.93,22.9,1004.58
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-05-2019,01:00:00,0.00,74,000,981.91,10.00,26.4,0.0,25.29,21.3,1003.74
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-05-2019,01:00:00,1.60,74,240,960.80,12.00,25.5,14.8,24.28,20.6,1004.12
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-05-2019,01:00:00,0.00,82,000,983.40,8.00,25.6,0.0,26.96,22.3,1003.99
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-05-2019,01:00:00,0.00,90,220,984.26,8.00,25.7,7.4,29.74,23.9,1005.12
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.20,08-05-2019,01:00:00,4.90,91,220,1004.11,10.00,26.8,3.7,32.10,25.2,1004.54
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-05-2019,01:00:00,0.10,90,000,1003.02,6.00,26.2,0.0,30.67,24.5,1004.44
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.01,08-05-2019,01:00:00,0.01,89,000,999.79,7.00,25.9,0.0,29.84,24.0,1004.73
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-05-2019,01:00:00,6.30,90,000,1001.20,10.00,25.7,0.0,29.74,23.9,1004.50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-05-2019,01:00:00,3.70,95,000,1003.31,5.00,25.5,0.0,30.98,24.6,1004.41
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-05-2019,01:00:00,1.10,88,100,1003.83,10.00,26.3,1.9,30.05,24.1,1004.31
