WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,VaporPressure,AirTemperature,RelativeHumidity,StationPressure,Rainfall24Hr,MinimumTemperature,LandVisibility
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-07-2019,07:00:00,1007.66,0.0,0.30,24.2,30.23,25.1,95,1002.69,0.30,24.7,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,220,08-07-2019,07:00:00,1007.28,9.3,0.10,23.7,29.26,25.0,92,1003.96,1.60,23.5,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-07-2019,07:00:00,1007.47,0.0,0.40,24.8,31.25,25.5,96,1006.36,5.10,24.5,5.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,08-07-2019,07:00:00,1007.35,0.0,0.20,24.8,31.38,26.0,93,1007.05,19.20,24.0,8.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,000,08-07-2019,07:00:00,1007.12,0.0,13.90,25.4,32.53,25.6,99,1006.43,13.90,24.4,7.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,08-07-2019,07:00:00,1007.14,0.0,0.00,25.0,31.71,25.6,97,1006.65,0.00,25.3,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,220,08-07-2019,07:00:00,1007.37,11.1,0.01,24.7,31.13,26.3,91,1005.95,5.60,25.2,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,240,08-07-2019,07:00:00,1007.41,18.5,6.00,24.3,30.40,28.2,80,1005.74,8.00,27.5,8.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,08-07-2019,07:00:00,1009.73,0.0,0.00,24.4,30.48,24.8,97,1001.64,14.50,23.4,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-07-2019,07:00:00,1007.82,0.0,0.70,25.0,31.65,26.0,94,1007.53,28.60,25.5,4.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,08-07-2019,07:00:00,1007.33,0.0,0.00,25.1,31.95,28.0,85,1004.21,8.50,25.0,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,200,08-07-2019,07:00:00,1008.15,7.4,1.10,24.4,30.65,25.9,92,1001.18,16.60,25.1,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,260,08-07-2019,07:00:00,1006.78,13.0,0.00,23.9,29.66,25.8,89,1001.17,0.00,24.5,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,260,08-07-2019,07:00:00,1008.56,14.8,10.60,24.2,30.19,25.8,91,999.20,12.20,24.7,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,230,08-07-2019,07:00:00,1008.33,3.7,0.01,23.9,29.69,24.8,95,1007.06,1.20,24.7,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,240,08-07-2019,07:00:00,1008.17,3.7,0.00,23.9,29.74,25.7,90,1007.74,3.60,25.4,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-07-2019,07:00:00,1008.63,0.0,2.60,22.8,27.66,23.5,96,996.20,23.80,23.2,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,08-07-2019,07:00:00,1008.09,0.0,0.20,23.8,29.51,24.7,95,1007.37,13.60,24.3,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,000,08-07-2019,07:00:00,1008.22,0.0,0.40,24.4,30.51,26.4,89,1005.78,12.80,25.5,9.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,260,08-07-2019,07:00:00,1007.99,9.3,2.30,24.8,31.38,26.0,93,1007.47,6.50,25.6,6.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,08-07-2019,07:00:00,1007.70,0.0,1.40,24.4,30.52,25.4,94,1002.52,6.60,24.8,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-07-2019,07:00:00,1008.10,0.0,2.40,24.9,31.41,25.3,97,1007.69,93.60,24.2,5.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,240,08-07-2019,07:00:00,1008.09,7.4,6.40,24.4,30.56,24.7,98,1005.30,84.90,24.5,7.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,08-07-2019,07:00:00,1009.34,0.0,3.40,22.7,27.51,24.3,91,1008.55,22.80,23.5,4.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,320,08-07-2019,07:00:00,1008.08,5.6,20.30,24.1,29.93,24.5,97,1007.61,184.40,21.5,4.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,020,08-07-2019,07:00:00,1009.59,7.4,0.01,24.7,31.06,25.4,96,1008.90,3.90,25.4,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,100,08-07-2019,07:00:00,1008.70,1.9,0.00,25.2,32.09,25.8,97,1007.16,1.20,25.8,6.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,08-07-2019,07:00:00,1009.37,0.0,0.00,24.3,30.43,26.5,88,1008.45,0.90,26.4,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-07-2019,07:00:00,1009.13,0.0,0.00,23.8,29.50,27.3,81,1008.44,0.00,26.4,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,08-07-2019,07:00:00,1009.27,0.0,0.00,23.4,28.78,24.0,97,1008.47,0.00,23.5,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-07-2019,07:00:00,1008.70,0.0,0.00,23.2,28.48,25.0,90,1008.06,0.00,24.1,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,08-07-2019,07:00:00,1009.42,0.0,0.00,23.2,28.38,24.8,91,1009.01,0.00,23.7,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,08-07-2019,07:00:00,1010.71,0.0,0.00,23.0,28.11,24.5,91,1006.45,0.00,24.0,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-07-2019,07:00:00,1009.28,0.0,0.00,23.6,29.04,24.0,97,1007.65,0.00,22.8,4.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-07-2019,07:00:00,1009.54,0.0,0.00,22.7,27.50,23.7,94,1006.02,0.00,23.5,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,280,08-07-2019,07:00:00,1009.04,3.7,0.00,23.9,29.69,24.8,95,1007.68,0.00,24.5,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,08-07-2019,07:00:00,1008.78,0.0,0.00,24.1,30.01,25.7,91,1007.89,0.00,25.3,10.00
