WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,WindDirection,VaporPressure,Rainfall,LandVisibility,DewPoint,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-12-2019,16:00:00,3.30,30.3,1001.67,0.0,71,000,30.62,0.00,12.00,24.4,971.35
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-12-2019,16:00:00,27.00,19.6,1001.59,3.7,99,180,22.57,8.10,.10,19.4,841.59
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-12-2019,16:00:00,2.20,32.5,1000.47,5.6,56,120,27.41,0.00,12.00,22.6,958.08
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-12-2019,16:00:00,10.00,32.1,1000.59,0.0,57,000,27.19,0.00,15.00,22.5,956.29
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-12-2019,16:00:00,17.40,29.8,1002.87,14.8,83,150,34.80,1.50,12.00,26.6,965.89
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-12-2019,16:00:00,0.00,31.0,1001.60,5.6,69,160,31.19,0.00,12.00,24.7,957.54
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-12-2019,16:00:00,33.40,30.3,1003.06,0.0,78,000,33.80,0.00,12.00,26.1,976.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-12-2019,16:00:00,0.01,31.8,1002.73,5.6,61,210,28.54,0.00,12.00,23.3,981.45
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-12-2019,16:00:00,3.60,26.5,1003.87,0.0,91,000,31.52,2.50,8.00,24.9,979.86
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-12-2019,16:00:00,0.01,32.4,1001.31,5.6,62,210,30.03,0.00,10.00,24.1,967.70
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-12-2019,16:00:00,0.00,32.6,1002.27,9.3,60,180,29.58,0.00,10.00,23.9,975.43
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-12-2019,16:00:00,0.30,31.0,1002.01,0.0,69,000,30.90,0.30,12.00,24.6,969.14
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-12-2019,16:00:00,5.30,29.4,1002.70,3.7,82,240,33.66,4.80,12.00,26.0,984.45
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-12-2019,16:00:00,17.30,33.8,1002.05,0.0,59,000,30.91,0.00,10.00,24.6,979.89
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-12-2019,16:00:00,20.40,30.5,1002.44,0.0,78,000,34.22,2.20,8.00,26.3,973.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-12-2019,16:00:00,0.01,30.0,1002.49,0.0,75,000,32.01,0.01,6.00,25.2,967.58
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-12-2019,16:00:00,15.20,31.1,1001.90,3.7,78,310,35.23,0.00,15.00,26.8,972.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-12-2019,16:00:00,2.40,31.0,1002.67,0.0,75,000,33.52,2.40,8.00,26.0,995.49
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-12-2019,16:00:00,106.70,29.9,1003.18,9.3,86,030,36.22,1.40,20.00,27.3,983.56
48353,LOEI,เลย,เลย,17.45000,101.73333,08-12-2019,16:00:00,33.60,29.2,1002.65,5.6,79,340,31.81,0.20,15.00,25.1,974.36
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-12-2019,16:00:00,52.80,32.5,1002.99,5.6,66,160,32.28,0.00,14.00,25.3,983.27
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-12-2019,16:00:00,3.00,32.2,1003.50,7.4,65,220,31.35,0.00,15.00,24.8,982.23
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-12-2019,16:00:00,3.70,32.8,1002.76,5.6,64,230,31.74,0.00,15.00,25.0,983.74
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-12-2019,16:00:00,1.60,32.0,1003.72,1.9,63,180,30.08,0.00,12.00,24.1,987.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-12-2019,16:00:00,2.20,31.8,1003.94,7.4,67,230,31.68,0.00,12.00,25.0,986.87
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-12-2019,16:00:00,15.00,32.2,1001.76,5.6,68,120,32.82,0.00,13.00,25.6,976.57
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-12-2019,16:00:00,2.70,32.0,1003.26,7.4,73,050,34.79,0.00,10.00,26.6,997.59
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-12-2019,16:00:00,0.50,31.0,1003.33,11.1,75,260,33.81,0.30,10.00,26.1,997.24
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-12-2019,16:00:00,0.60,31.2,1003.87,0.0,71,000,32.18,0.00,10.00,25.3,987.71
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-12-2019,16:00:00,5.20,26.3,1003.13,0.0,86,000,29.25,5.20,8.00,23.7,980.85
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-12-2019,16:00:00,1.90,30.3,1004.04,3.7,83,180,35.89,0.90,6.00,27.1,989.85
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-12-2019,16:00:00,0.40,31.5,1002.92,0.0,68,000,31.35,0.00,8.00,24.8,986.84
