WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,AirTemperature,WindSpeed,DewPoint,RelativeHumidity,LandVisibility
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-08-2019,01:00:00,000,1009.72,23.70,1011.57,30.23,25.1,0.0,24.2,95,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-08-2019,01:00:00,000,1010.89,3.80,1011.67,29.50,26.0,0.0,23.8,88,4.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-08-2019,01:00:00,360,1010.46,1.70,1011.18,28.98,24.7,7.4,23.5,93,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-08-2019,01:00:00,000,1010.20,0.40,1010.91,30.22,26.1,0.0,24.2,89,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-08-2019,01:00:00,000,989.70,0.01,1011.08,28.30,24.9,0.0,23.1,90,7.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-08-2019,01:00:00,000,994.21,0.00,1011.10,29.00,25.0,0.0,23.5,92,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-08-2019,01:00:00,000,994.84,1.10,1011.46,29.69,24.8,0.0,23.9,95,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-08-2019,01:00:00,000,988.96,0.01,1011.08,28.11,24.5,0.0,23.0,91,6.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-08-2019,01:00:00,080,967.86,0.00,1011.64,25.02,24.6,11.1,21.1,81,6.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-08-2019,01:00:00,000,990.40,5.70,1011.22,28.11,24.5,0.0,23.0,91,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-08-2019,01:00:00,020,991.42,0.40,1012.57,29.46,23.8,11.1,23.8,100,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.30,10-08-2019,01:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1010.77,5.30,1011.21,29.91,25.5,0.0,24.0,92,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-08-2019,01:00:00,000,1009.55,7.30,1010.98,29.41,24.5,0.0,23.8,96,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-08-2019,01:00:00,000,1005.88,26.00,1010.88,29.57,24.3,0.0,23.9,97,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-08-2019,01:00:00,320,1008.56,10.90,1011.88,30.30,26.0,5.6,24.3,90,6.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-08-2019,01:00:00,000,1010.31,2.50,1011.42,30.81,25.7,0.0,24.5,93,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.20,10-08-2019,01:00:00,000,1010.77,4.90,1011.07,30.60,25.3,0.0,24.4,95,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-08-2019,01:00:00,000,1010.31,4.30,1010.81,30.69,25.2,0.0,24.5,96,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.20,10-08-2019,01:00:00,000,1009.97,1.60,1011.39,29.61,24.9,0.0,23.9,94,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.30,10-08-2019,01:00:00,000,1004.89,45.90,1013.04,28.17,23.5,0.0,23.0,97,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-08-2019,01:00:00,000,1010.22,3.70,1010.51,29.50,26.0,0.0,23.8,88,4.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-08-2019,01:00:00,000,1007.26,0.00,1010.41,31.00,25.8,0.0,24.6,93,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-08-2019,01:00:00,000,1003.74,0.00,1010.73,29.31,25.9,0.0,23.7,88,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-08-2019,01:00:00,300,1005.55,0.00,1011.20,30.17,25.5,5.6,24.2,93,9.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.30,10-08-2019,01:00:00,260,1010.99,14.30,1012.27,28.96,24.1,3.7,23.5,97,6.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-08-2019,01:00:00,310,1010.60,3.50,1011.03,31.66,27.0,11.1,25.0,89,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-08-2019,01:00:00,000,999.05,0.50,1011.44,30.15,25.2,0.0,24.2,94,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-08-2019,01:00:00,000,1009.62,0.00,1010.33,31.05,27.4,0.0,24.7,85,8.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-08-2019,01:00:00,360,1009.19,0.00,1011.65,29.36,25.2,3.7,23.7,92,9.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-08-2019,01:00:00,060,1010.41,0.30,1010.93,30.57,26.0,7.4,24.4,91,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-08-2019,01:00:00,000,1005.62,28.80,1010.81,29.93,25.8,0.0,24.1,90,5.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-08-2019,01:00:00,000,1010.53,17.30,1010.95,30.05,25.0,0.0,24.1,95,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-08-2019,01:00:00,000,1008.59,0.70,1011.39,29.41,24.5,0.0,23.8,96,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-08-2019,01:00:00,000,1012.72,0.00,1013.51,29.94,30.1,0.0,24.1,70,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-08-2019,01:00:00,060,1010.13,8.50,1010.60,29.69,24.8,3.7,23.9,95,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-08-2019,01:00:00,270,1009.77,0.00,1010.46,30.92,25.9,3.7,24.6,93,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-08-2019,01:00:00,000,1009.55,0.00,1011.09,31.00,25.8,0.0,24.6,93,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-08-2019,01:00:00,000,1009.97,9.40,1010.89,28.89,24.5,0.0,23.5,94,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-08-2019,01:00:00,000,1011.07,0.00,1011.76,32.21,27.0,0.0,25.3,90,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-08-2019,01:00:00,000,1010.37,13.90,1011.18,29.05,24.3,0.0,23.6,96,7.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-08-2019,01:00:00,000,1009.65,1.20,1010.29,30.25,25.4,0.0,24.2,93,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-08-2019,01:00:00,000,1009.98,0.01,1010.39,30.15,25.2,0.0,24.2,94,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-08-2019,01:00:00,000,1008.34,0.00,1012.61,28.53,24.0,0.0,23.3,96,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-08-2019,01:00:00,000,1008.70,4.60,1010.33,28.53,24.0,0.0,23.3,96,7.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-08-2019,01:00:00,000,1007.19,0.50,1010.71,29.13,24.2,0.0,23.6,97,6.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-08-2019,01:00:00,000,1008.89,0.00,1010.26,30.32,25.0,0.0,24.3,96,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-08-2019,01:00:00,000,1009.60,1.60,1010.49,29.25,24.7,0.0,23.7,94,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-08-2019,01:00:00,000,1006.71,31.40,1010.32,28.17,23.5,0.0,23.0,97,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-08-2019,01:00:00,000,1009.68,2.20,1010.12,30.32,26.3,0.0,24.3,89,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-08-2019,01:00:00,000,1008.85,8.50,1009.85,30.40,24.9,0.0,24.3,97,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-08-2019,01:00:00,000,1009.21,0.00,1010.03,29.38,25.5,0.0,23.7,90,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-08-2019,01:00:00,000,1008.64,8.80,1010.48,30.03,24.7,0.0,24.1,97,5.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-08-2019,01:00:00,180,1009.96,0.01,1010.72,28.16,25.7,5.6,23.0,85,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-08-2019,01:00:00,000,1006.37,0.20,1010.42,28.96,24.1,0.0,23.5,97,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-08-2019,01:00:00,000,1009.30,7.00,1009.99,28.11,24.5,0.0,23.0,91,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-08-2019,01:00:00,000,1009.93,0.00,1011.06,28.61,23.9,0.0,23.3,97,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-08-2019,01:00:00,000,1007.76,0.01,1010.70,32.32,26.2,0.0,25.3,95,10.00
