WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,WindSpeed,VaporPressure,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.0,07-13-2019,22:00:00,0.00,0.0,29.91,92,12.10,1008.31,000,977.30,8.00,25.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.0,07-13-2019,22:00:00,0.00,37.0,20.65,85,0.00,1004.27,270,844.33,8.00,20.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.8,07-13-2019,22:00:00,0.00,3.7,26.13,67,0.00,1004.30,270,961.20,12.00,28.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.6,07-13-2019,22:00:00,0.00,0.0,27.36,77,0.00,1004.77,000,959.55,15.00,27.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.5,07-13-2019,22:00:00,0.00,0.0,27.32,72,0.00,1008.06,000,970.67,7.00,28.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.0,07-13-2019,22:00:00,0.00,9.3,28.08,71,0.00,1005.37,220,960.81,12.00,28.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.4,07-13-2019,22:00:00,0.00,0.0,32.38,80,0.00,1005.57,000,979.15,10.00,29.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.1,07-13-2019,22:00:00,0.00,5.6,26.52,65,0.00,1007.06,150,985.52,12.00,29.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.1,07-13-2019,22:00:00,0.00,0.0,30.02,84,0.10,1008.75,000,984.67,8.00,27.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.5,07-13-2019,22:00:00,0.00,5.6,27.30,68,0.00,1007.08,350,972.90,10.00,29.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,21.9,07-13-2019,22:00:00,0.00,3.7,26.21,62,0.00,1006.85,180,979.66,10.00,30.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.5,07-13-2019,22:00:00,0.00,0.0,27.20,69,0.00,1006.98,000,973.71,10.00,28.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.6,07-13-2019,22:00:00,0.00,5.6,29.11,72,0.00,1006.05,240,987.72,15.00,29.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.6,07-13-2019,22:00:00,0.00,0.0,30.90,69,0.00,1005.00,000,982.57,10.00,31.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.4,07-13-2019,22:00:00,0.00,0.0,30.56,81,0.00,1005.59,000,975.92,10.00,28.0
