WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,Rainfall,DewPoint,Rainfall24Hr,RelativeHumidity,StationPressure,VaporPressure,WindSpeed,AirTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1006.18,09-04-2019,22:00:00,000,0.00,24.5,0.00,87,975.40,30.83,0.0,27.0,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1004.87,09-04-2019,22:00:00,000,0.00,19.0,0.00,94,844.54,22.02,0.0,20.0,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1004.94,09-04-2019,22:00:00,240,0.00,23.6,0.00,83,961.58,29.10,5.6,26.8,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.12,09-04-2019,22:00:00,000,0.00,23.8,0.00,88,959.74,29.50,0.0,26.0,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1006.73,09-04-2019,22:00:00,000,0.00,24.6,0.00,91,969.17,30.94,0.0,26.2,7.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.11,09-04-2019,22:00:00,080,0.00,25.7,0.00,93,960.32,33.06,5.6,27.0,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1005.59,09-04-2019,22:00:00,000,0.00,24.8,0.00,88,978.99,31.38,0.0,27.0,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1006.37,09-04-2019,22:00:00,000,0.00,23.4,0.10,80,984.69,28.78,0.0,27.2,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1007.34,09-04-2019,22:00:00,000,0.00,24.6,8.40,93,983.19,31.00,0.0,25.8,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1005.63,09-04-2019,22:00:00,000,0.00,23.5,5.00,78,971.36,28.90,0.0,27.7,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.04,09-04-2019,22:00:00,000,0.00,25.3,2.80,96,980.46,32.20,0.0,26.0,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1005.29,09-04-2019,22:00:00,000,2.10,25.4,2.10,86,971.99,32.52,0.0,28.0,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1005.58,09-04-2019,22:00:00,000,0.00,25.4,0.00,91,987.13,32.49,0.0,27.0,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1005.07,09-04-2019,22:00:00,000,0.00,25.8,0.00,88,982.42,33.29,0.0,28.1,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1005.31,09-04-2019,22:00:00,000,0.00,24.4,0.00,84,975.58,30.50,0.0,27.4,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1005.99,09-04-2019,22:00:00,000,0.00,24.6,0.00,93,970.49,31.00,0.0,25.8,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1004.37,09-04-2019,22:00:00,000,0.00,25.1,0.00,95,974.70,31.93,0.0,26.0,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.14,09-04-2019,22:00:00,000,0.00,24.6,0.01,81,998.87,30.95,0.0,28.2,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1005.04,09-04-2019,22:00:00,110,0.00,25.1,0.00,94,985.14,31.85,9.3,26.1,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.60,09-04-2019,22:00:00,000,0.00,24.7,0.00,85,976.09,31.05,0.0,27.4,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1005.80,09-04-2019,22:00:00,090,0.40,23.8,0.90,92,985.56,29.54,5.6,25.3,12.00
