WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1005.47,08-11-2019,22:00:00,10.00,0.00,7.4,180,0.00,81,24.1,984.99,27.7,29.98
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1007.15,08-11-2019,22:00:00,7.00,6.60,14.8,190,2.20,100,25.9,986.26,25.9,33.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.97,08-11-2019,22:00:00,9.00,0.80,11.1,220,0.01,88,24.9,1005.53,27.1,31.58
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.73,08-11-2019,22:00:00,6.00,8.90,0.0,000,0.00,92,24.6,1004.31,26.0,30.84
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.75,08-11-2019,22:00:00,7.00,0.80,0.0,000,0.00,92,25.6,1001.82,27.0,32.77
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.03,08-11-2019,22:00:00,10.00,22.20,7.4,220,0.30,95,25.2,1002.73,26.1,32.12
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.96,08-11-2019,22:00:00,7.00,9.80,0.0,000,0.00,98,25.6,1004.85,26.0,32.76
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.06,08-11-2019,22:00:00,10.00,0.10,5.6,210,0.00,85,25.4,1005.76,28.2,32.35
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.29,08-11-2019,22:00:00,10.00,0.00,5.6,180,0.00,85,25.1,1005.80,28.0,31.95
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.12,08-11-2019,22:00:00,10.00,0.00,11.1,200,0.00,83,25.0,1004.72,28.1,31.59
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.78,08-11-2019,22:00:00,10.00,1.40,7.4,180,0.00,92,23.9,999.73,25.4,29.72
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.96,08-11-2019,22:00:00,8.00,0.01,0.0,000,0.01,92,25.3,1005.68,26.7,32.18
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.81,08-11-2019,22:00:00,10.00,6.80,7.4,260,0.00,89,24.7,1002.68,26.7,31.08
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.81,08-11-2019,22:00:00,10.00,5.20,5.6,210,0.20,88,24.3,999.86,26.5,30.43
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.68,08-11-2019,22:00:00,7.00,2.70,0.0,000,0.00,84,24.6,1001.10,27.6,30.89
