WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,Rainfall,WindDirection,Rainfall24Hr,LandVisibility,AirTemperature
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.00,08-01-2019,10:00:00,75,25.0,1008.51,18.5,31.72,0.00,280,12.50,10.00,30.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.23,08-01-2019,10:00:00,63,23.6,1008.31,5.6,29.15,0.00,280,16.80,10.00,31.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.00,08-01-2019,10:00:00,70,24.8,1008.41,0.0,31.27,0.01,000,21.90,6.00,30.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.07,08-01-2019,10:00:00,73,24.4,1008.82,7.4,30.55,0.00,240,32.60,8.00,29.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.88,08-01-2019,10:00:00,72,22.9,1009.67,5.6,27.97,0.30,260,10.40,6.00,28.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.52,08-01-2019,10:00:00,80,25.4,1008.97,3.7,32.38,3.20,220,26.40,7.00,29.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.04,08-01-2019,10:00:00,63,23.3,1008.72,7.4,28.68,0.00,260,0.01,8.00,31.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.32,08-01-2019,10:00:00,67,24.3,1009.83,7.4,30.45,0.00,270,0.00,9.00,31.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.55,08-01-2019,10:00:00,79,22.5,1011.47,3.7,27.25,7.70,140,7.70,10.00,26.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.33,08-01-2019,10:00:00,62,24.4,1010.01,5.6,30.53,0.00,270,0.00,10.00,32.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.28,08-01-2019,10:00:00,69,25.1,1011.07,7.4,31.93,0.00,270,0.00,10.00,31.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.96,08-01-2019,10:00:00,63,23.6,1010.59,0.0,29.07,0.00,000,0.00,10.00,31.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.27,08-01-2019,10:00:00,78,25.8,1010.67,0.0,33.17,0.00,000,0.00,10.00,30.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.82,08-01-2019,10:00:00,61,22.9,1011.99,7.4,27.93,0.00,230,0.00,6.00,31.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.52,08-01-2019,10:00:00,62,22.4,1011.12,0.0,27.06,0.00,000,0.00,10.00,30.6
