WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,StationPressure,MaximumTemperature,AirTemperature,VaporPressure,Rainfall,MeanSeaLevelPressure,WindSpeed,WindDirection,DewPoint,Rainfall24Hr
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,6.00,10-05-2019,19:00:00,92,1007.55,30.1,25.0,29.26,1.20,1009.39,0.0,000,23.7,29.80
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.00,10-05-2019,19:00:00,85,1009.29,33.3,25.9,28.52,0.00,1010.06,0.0,000,23.3,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,10-05-2019,19:00:00,84,1008.46,32.5,25.8,27.82,5.40,1009.17,7.4,140,22.8,11.90
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,10-05-2019,19:00:00,81,1008.44,34.5,27.2,29.31,0.01,1009.14,0.0,000,23.7,0.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.00,10-05-2019,19:00:00,92,988.41,28.5,25.0,29.26,0.00,1009.76,0.0,000,23.7,28.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,10-05-2019,19:00:00,75,992.58,32.3,28.6,29.52,0.00,1009.24,0.0,000,23.8,1.40
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.00,10-05-2019,19:00:00,84,993.22,32.4,27.3,30.31,0.00,1009.68,0.0,000,24.3,1.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,6.00,10-05-2019,19:00:00,89,987.66,29.1,25.6,29.29,0.00,1009.67,0.0,000,23.7,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,8.00,10-05-2019,19:00:00,92,966.16,30.2,23.3,26.33,0.00,1010.05,7.4,080,21.9,2.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,10-05-2019,19:00:00,84,988.68,29.7,26.5,29.08,0.00,1009.32,0.0,000,23.6,0.00
