WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,WindSpeed,AirTemperature,Rainfall,LandVisibility,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,10-16-2019,10:00:00,28.29,0.0,26.5,0.00,12.00,984.67,1015.80,0.00,82,23.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,140,10-16-2019,10:00:00,18.47,9.3,16.6,0.00,8.00,852.66,1016.56,3.50,98,16.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,070,10-16-2019,10:00:00,24.08,7.4,28.8,0.00,12.00,972.54,1016.10,0.00,61,20.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,10-16-2019,10:00:00,25.24,0.0,28.0,0.00,15.00,970.71,1016.30,0.00,67,21.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,10-16-2019,10:00:00,29.46,0.0,28.0,0.00,12.00,978.69,1016.39,13.80,78,23.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,210,10-16-2019,10:00:00,29.00,3.7,25.0,0.00,10.00,971.83,1017.47,36.70,92,23.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,080,10-16-2019,10:00:00,26.83,5.6,28.6,0.00,12.00,989.98,1016.74,0.80,69,22.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,10-16-2019,10:00:00,29.90,0.0,28.8,0.00,10.00,993.59,1015.35,11.00,76,24.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-16-2019,10:00:00,27.85,0.0,28.0,0.00,8.00,991.42,1015.59,0.30,74,22.9
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,320,10-16-2019,10:00:00,26.54,3.7,28.0,0.00,12.00,981.84,1016.45,0.01,70,22.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,10-16-2019,10:00:00,28.53,0.0,29.8,0.00,10.00,988.58,1016.03,1.00,68,23.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-16-2019,10:00:00,28.39,0.0,28.0,0.00,10.00,982.45,1016.11,5.00,75,23.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,030,10-16-2019,10:00:00,29.19,7.4,30.0,0.00,8.00,996.98,1015.42,0.00,69,23.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-16-2019,10:00:00,27.50,0.0,28.1,0.00,10.00,993.58,1016.49,8.40,72,22.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,050,10-16-2019,10:00:00,27.04,5.6,27.7,0.00,12.00,986.28,1016.30,29.30,73,22.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-16-2019,10:00:00,28.22,0.0,28.2,0.00,8.00,980.36,1015.94,11.20,74,23.1
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,270,10-16-2019,10:00:00,27.19,3.7,27.2,0.00,12.00,985.68,1015.56,4.90,75,22.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-16-2019,10:00:00,25.39,0.0,31.0,0.00,10.00,1007.36,1014.62,3.70,57,21.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,100,10-16-2019,10:00:00,28.91,5.6,30.0,0.00,13.00,995.95,1015.81,0.00,68,23.5
48353,LOEI,เลย,เลย,17.45000,101.73333,070,10-16-2019,10:00:00,24.59,3.7,28.8,0.00,9.00,986.92,1015.60,0.01,62,20.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,040,10-16-2019,10:00:00,25.94,5.6,30.0,0.00,15.00,995.70,1015.84,0.00,61,21.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,060,10-16-2019,10:00:00,27.63,7.4,29.9,0.00,12.00,993.53,1015.21,11.50,66,22.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,080,10-16-2019,10:00:00,26.89,7.4,30.8,0.00,15.00,995.64,1015.03,2.00,61,22.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,020,10-16-2019,10:00:00,24.83,3.7,30.4,0.00,12.00,998.65,1015.34,0.00,57,21.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,040,10-16-2019,10:00:00,25.78,7.4,30.2,0.00,12.00,998.29,1015.65,1.00,60,21.6
