WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MeanSeaLevelPressure,LandVisibility,AirTemperature,StationPressure,Rainfall,DewPoint,Rainfall24Hr,WindSpeed,WindDirection,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,77,08-26-2019,10:00:00,1006.21,12.00,28.9,975.61,0.00,24.5,3.10,0.0,000,30.65
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,91,08-26-2019,10:00:00,1004.12,8.00,21.0,844.40,0.00,19.4,0.00,16.7,300,22.54
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,77,08-26-2019,10:00:00,1005.30,12.00,28.6,962.17,0.00,24.1,0.00,3.7,230,30.07
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,81,08-26-2019,10:00:00,1005.43,15.00,28.5,960.40,0.00,24.9,0.00,0.0,000,31.54
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,86,08-26-2019,10:00:00,1005.90,12.00,28.0,968.59,0.00,25.4,6.30,0.0,000,32.52
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,59,08-26-2019,10:00:00,1005.23,10.00,30.0,960.86,0.00,21.0,2.00,0.0,000,24.89
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,87,08-26-2019,10:00:00,1006.48,8.00,28.0,979.93,0.00,25.6,3.90,3.7,180,32.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,65,08-26-2019,10:00:00,1006.30,15.00,30.5,984.86,0.00,23.2,4.90,9.3,240,28.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,84,08-26-2019,10:00:00,1007.62,10.00,27.5,983.60,0.00,24.6,0.50,0.0,000,30.97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,66,08-26-2019,10:00:00,1005.84,10.00,30.3,971.84,0.00,23.2,0.00,5.6,280,28.39
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,65,08-26-2019,10:00:00,1005.97,10.00,30.4,978.84,0.00,23.1,0.00,0.0,000,28.31
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,72,08-26-2019,10:00:00,1005.75,10.00,29.0,972.55,0.00,23.5,0.40,0.0,000,28.91
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,78,08-26-2019,10:00:00,1006.31,12.00,29.0,987.97,0.00,24.7,0.00,5.6,240,31.13
48331,NAN,น่าน,น่าน,18.77972,100.77778,90,08-26-2019,10:00:00,1006.27,10.00,27.5,983.55,1.70,25.7,4.50,0.0,000,32.93
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,84,08-26-2019,10:00:00,1006.44,10.00,27.0,976.65,0.80,24.1,3.20,0.0,000,30.02
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,74,08-26-2019,10:00:00,1005.80,8.00,29.3,970.70,0.00,24.1,0.00,0.0,000,30.04
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,89,08-26-2019,10:00:00,1005.67,15.00,27.2,976.08,0.40,25.2,1.60,3.7,120,32.05
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,81,08-26-2019,10:00:00,1006.54,10.00,28.0,999.26,0.00,24.4,0.00,0.0,000,30.56
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,98,08-26-2019,10:00:00,1006.20,5.00,26.0,986.27,8.20,25.6,74.80,3.7,120,32.76
48353,LOEI,เลย,เลย,17.45000,101.73333,82,08-26-2019,10:00:00,1006.15,15.00,27.5,977.60,0.20,24.2,1.20,3.7,180,30.15
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,93,08-26-2019,10:00:00,1006.14,10.00,26.4,985.97,0.80,25.1,58.20,5.6,170,31.88
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,84,08-26-2019,10:00:00,1006.23,12.00,27.5,984.57,0.00,24.5,14.60,7.4,240,30.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,86,08-26-2019,10:00:00,1006.16,12.00,26.6,986.68,1.00,24.0,27.60,9.3,220,29.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,87,08-26-2019,10:00:00,1006.47,10.00,26.6,989.72,0.60,24.3,43.30,1.9,190,30.34
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,92,08-26-2019,10:00:00,1007.02,10.00,26.2,989.58,0.50,24.8,26.70,0.0,000,31.22
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,91,08-26-2019,10:00:00,1005.45,10.00,26.3,979.67,2.20,24.7,13.60,3.7,210,31.13
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,86,08-26-2019,10:00:00,1006.32,10.00,29.0,1000.57,0.00,26.5,4.40,3.7,150,34.58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,89,08-26-2019,10:00:00,1007.07,12.00,28.1,1000.90,0.00,26.1,5.80,0.0,000,33.86
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,77,08-26-2019,10:00:00,1007.35,10.00,28.0,990.97,0.00,23.6,1.30,0.0,000,29.19
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,87,08-26-2019,10:00:00,1006.35,10.00,26.1,983.99,0.00,23.8,16.60,5.6,210,29.41
48376,TAK,ตาก,ตาก,16.87833,99.14333,69,08-26-2019,10:00:00,1007.59,10.00,29.0,993.29,0.00,22.7,0.00,7.4,240,27.56
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,63,08-26-2019,10:00:00,1006.53,12.00,30.3,990.33,0.00,22.5,0.00,0.0,000,27.30
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,84,08-26-2019,10:00:00,1007.36,10.00,28.5,1002.15,0.00,25.5,4.20,7.4,150,32.67
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,87,08-26-2019,10:00:00,1005.96,12.00,27.5,992.80,0.00,25.1,5.80,5.6,180,31.80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,81,08-26-2019,10:00:00,1007.23,12.00,29.4,997.97,0.00,25.7,1.20,0.0,000,33.08
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,85,08-26-2019,10:00:00,1006.58,10.00,26.8,984.89,0.00,24.0,6.40,11.1,230,29.91
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,85,08-26-2019,10:00:00,1006.38,10.00,28.0,988.95,0.00,25.1,13.50,0.0,000,31.95
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,92,08-26-2019,10:00:00,1006.03,12.00,25.5,990.14,0.50,24.0,72.30,3.7,290,29.91
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,84,08-26-2019,10:00:00,1005.62,9.00,27.0,986.76,0.00,24.1,2.70,3.7,200,30.02
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,08-26-2019,10:00:00,1010.12,5.00,24.0,958.46,6.20,22.5,14.90,0.0,000,27.25
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,85,08-26-2019,10:00:00,1007.13,6.00,27.9,1003.18,0.00,25.2,0.70,7.4,140,32.03
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,97,08-26-2019,10:00:00,1008.42,.70,21.1,913.07,0.80,20.6,10.80,11.1,260,24.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,95,08-26-2019,10:00:00,1006.52,8.00,26.6,990.52,3.00,25.7,69.30,3.7,240,33.10
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,83,08-26-2019,10:00:00,1007.67,10.00,28.6,1003.66,0.00,25.5,6.10,7.4,230,32.59
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,81,08-26-2019,10:00:00,1009.06,10.00,27.9,998.39,0.00,24.3,0.70,9.3,170,30.37
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,79,08-26-2019,10:00:00,1008.44,9.00,28.0,1006.52,0.00,24.1,0.00,9.3,180,30.01
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,76,08-26-2019,10:00:00,1007.12,10.00,27.6,986.31,0.00,23.1,3.90,13.0,280,28.18
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,89,08-26-2019,10:00:00,1006.29,11.00,26.3,988.61,0.50,24.3,112.00,7.4,230,30.32
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,90,08-26-2019,10:00:00,1006.50,10.00,26.7,990.33,0.40,24.8,106.80,14.8,210,31.35
