WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,MeanSeaLevelPressure,WindSpeed,StationPressure,VaporPressure,DewPoint,WindDirection,Rainfall,LandVisibility,Rainfall24Hr
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,98,09-03-2019,22:00:00,24.9,1004.22,13.0,988.17,30.93,24.6,280,3.90,5.00,56.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,87,09-03-2019,22:00:00,26.4,1007.13,9.3,1003.09,29.97,24.1,210,0.20,10.00,2.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,86,09-03-2019,22:00:00,26.3,1007.80,0.0,997.10,29.25,23.7,000,0.00,8.00,2.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,92,09-03-2019,22:00:00,25.5,1008.48,0.0,1006.54,29.91,24.0,000,1.40,8.00,3.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,97,09-03-2019,22:00:00,25.0,1006.54,0.0,985.55,30.58,24.4,000,0.40,10.00,8.60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,97,09-03-2019,22:00:00,24.5,1004.31,7.4,986.55,29.93,24.1,270,4.00,8.00,55.90
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,100,09-03-2019,22:00:00,24.5,1004.22,9.3,987.97,30.73,24.5,250,5.40,8.00,58.40
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,97,09-03-2019,22:00:00,24.1,1003.14,14.8,989.03,28.96,23.5,310,10.10,5.00,104.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,97,09-03-2019,22:00:00,24.2,1003.42,0.0,988.50,29.39,23.8,000,8.60,5.00,100.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,99,09-03-2019,22:00:00,24.0,1004.96,13.0,990.18,29.56,23.8,300,12.80,.70,88.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,90,09-03-2019,22:00:00,26.6,1006.74,0.0,1003.71,31.44,24.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1.20,10.00,3.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,93,09-03-2019,22:00:00,25.5,1006.97,0.0,998.98,30.17,24.2,000,12.00,7.00,17.20
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,85,09-03-2019,22:00:00,25.7,1007.65,11.1,1006.53,27.90,22.9,230,0.00,7.00,9.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,91,09-03-2019,22:00:00,27.1,1003.14,3.7,988.52,32.69,25.5,100,0.00,8.00,20.70
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,100,09-03-2019,22:00:00,18.9,1009.20,11.1,873.67,21.82,18.9,290,20.80,.05,67.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,96,09-03-2019,22:00:00,24.8,1007.58,3.7,1001.66,29.95,24.1,190,2.80,8.00,13.60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,88,09-03-2019,22:00:00,26.5,1006.39,3.7,1005.59,30.43,24.3,270,0.00,7.00,7.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,93,09-03-2019,22:00:00,25.8,1008.16,0.0,1007.71,31.00,24.6,000,0.00,10.00,36.60
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,09-03-2019,22:00:00,24.5,1009.87,0.0,998.45,29.41,23.8,000,2.00,3.00,23.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,92,09-03-2019,22:00:00,25.5,1007.86,0.0,1006.84,29.91,24.0,000,0.40,10.00,3.80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,91,09-03-2019,22:00:00,25.6,1007.93,3.7,1006.10,29.82,24.0,190,0.00,7.00,13.20
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,96,09-03-2019,22:00:00,25.0,1007.97,0.0,1007.20,30.32,24.3,000,1.90,7.00,4.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,90,09-03-2019,22:00:00,25.6,1008.54,7.4,1007.84,29.56,23.8,310,0.60,9.00,11.90
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,93,09-03-2019,22:00:00,25.3,1008.02,3.7,1007.31,30.07,24.1,310,8.50,6.00,36.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,96,09-03-2019,22:00:00,24.2,1007.34,7.4,985.98,28.88,23.5,260,3.60,10.00,20.50
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,98,09-03-2019,22:00:00,24.5,1005.62,5.6,988.79,30.20,24.2,250,16.40,5.00,58.80
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,96,09-03-2019,22:00:00,24.5,1006.13,27.8,989.58,29.41,23.8,270,19.40,5.00,55.70
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,91,09-03-2019,22:00:00,24.2,1007.39,0.0,985.32,27.60,22.7,000,2.00,10.00,20.90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,91,09-03-2019,22:00:00,23.8,1007.90,13.0,964.17,26.67,22.1,230,2.90,6.00,32.10
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,96,09-03-2019,22:00:00,24.5,1006.57,7.4,985.85,29.41,23.8,230,6.60,5.00,29.60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,09-03-2019,22:00:00,24.0,1007.00,18.5,985.98,29.82,24.0,240,10.40,4.00,41.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,91,09-03-2019,22:00:00,26.4,1008.57,5.6,1008.13,31.33,24.8,310,1.60,10.00,3.40
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,09-03-2019,22:00:00,24.5,1007.99,0.0,1006.56,29.41,23.8,000,13.80,6.00,45.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,100,09-03-2019,22:00:00,24.5,1008.14,0.0,1003.16,30.73,24.5,000,20.80,6.00,69.70
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,92,09-03-2019,22:00:00,25.8,1008.53,3.7,1005.22,30.46,24.3,230,3.20,6.00,4.20
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,97,09-03-2019,22:00:00,25.2,1008.46,0.0,1007.35,30.96,24.6,000,2.20,5.00,7.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,88,09-03-2019,22:00:00,26.5,1008.73,0.0,1008.43,30.43,24.3,000,0.20,8.00,22.50
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,93,09-03-2019,22:00:00,26.4,1007.97,3.7,1007.48,31.88,25.1,280,0.40,10.00,5.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,91,09-03-2019,22:00:00,26.1,1008.43,13.0,1007.02,30.76,24.5,260,0.40,10.00,6.50
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,96,09-03-2019,22:00:00,24.5,1010.17,0.0,1002.08,29.41,23.8,000,2.00,10.00,17.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,85,09-03-2019,22:00:00,27.6,1008.19,5.6,1007.90,31.44,24.9,270,0.00,10.00,14.50
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,84,09-03-2019,22:00:00,27.3,1008.20,0.0,1005.06,30.31,24.3,000,0.20,8.00,19.10
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,88,09-03-2019,22:00:00,26.5,1008.62,5.6,1001.65,30.43,24.3,300,0.00,10.00,9.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,95,09-03-2019,22:00:00,24.6,1008.21,9.3,1002.56,29.33,23.7,260,17.10,6.00,28.10
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,95,09-03-2019,22:00:00,25.6,1009.00,0.0,1007.72,31.17,24.7,000,2.00,8.00,2.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,88,09-03-2019,22:00:00,26.7,1008.44,0.0,1008.01,30.81,24.5,000,0.10,11.00,6.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,89,09-03-2019,22:00:00,25.1,1008.90,0.0,996.54,28.40,23.2,000,0.00,8.00,0.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,85,09-03-2019,22:00:00,27.0,1008.61,0.0,1007.90,30.29,24.3,000,0.00,10.00,2.30
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,94,09-03-2019,22:00:00,26.1,1008.62,0.0,1006.18,31.85,25.1,000,0.00,8.00,21.30
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,95,09-03-2019,22:00:00,25.1,1008.42,0.0,1007.90,30.23,24.2,000,0.00,8.00,15.70
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,93,09-03-2019,22:00:00,26.2,1008.60,3.7,1003.43,31.76,25.0,280,0.00,8.00,12.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,97,09-03-2019,22:00:00,24.6,1008.60,0.0,1008.18,29.85,24.0,000,0.50,5.00,12.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,98,09-03-2019,22:00:00,24.7,1008.78,0.0,1005.98,30.56,24.4,000,0.30,8.00,37.70
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,91,09-03-2019,22:00:00,25.6,1009.14,3.7,1008.34,29.82,24.0,240,0.10,10.00,1.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,98,09-03-2019,22:00:00,24.0,1008.95,9.3,1008.49,29.30,23.7,330,24.00,4.00,110.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,81,09-03-2019,22:00:00,27.7,1009.21,3.7,1008.53,29.98,24.1,260,0.00,8.00,0.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,88,09-03-2019,22:00:00,26.5,1008.88,0.0,1007.35,30.43,24.3,000,0.00,7.00,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,87,09-03-2019,22:00:00,27.4,1010.14,5.6,1009.23,31.89,25.1,200,0.30,10.00,0.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,84,09-03-2019,22:00:00,28.1,1009.42,0.0,1008.73,31.87,25.1,000,0.00,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,89,09-03-2019,22:00:00,25.7,1010.06,0.0,1009.26,29.48,23.8,000,0.00,10.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,81,09-03-2019,22:00:00,27.5,1009.32,0.0,1008.68,29.88,24.0,000,0.00,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,84,09-03-2019,22:00:00,27.0,1009.83,0.0,1009.42,30.02,24.1,000,0.00,10.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,88,09-03-2019,22:00:00,27.5,1011.59,0.0,1007.37,32.36,25.4,000,0.00,5.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,89,09-03-2019,22:00:00,25.5,1009.96,0.0,1008.34,29.11,23.6,000,0.00,8.00,0.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,96,09-03-2019,22:00:00,26.5,1010.05,0.0,1006.56,33.19,25.8,000,0.00,7.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,85,09-03-2019,22:00:00,27.1,1010.14,0.0,1008.79,30.48,24.4,000,0.00,8.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,89,09-03-2019,22:00:00,27.7,1009.66,0.0,1008.77,33.05,25.7,000,0.00,10.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,93,09-03-2019,22:00:00,25.8,1010.04,0.0,1006.46,31.00,24.6,000,0.00,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,88,09-03-2019,22:00:00,27.5,1010.09,3.7,1009.66,32.36,25.4,290,4.20,8.00,4.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,83,09-03-2019,22:00:00,29.0,1009.06,3.7,1008.07,33.12,25.8,290,0.00,10.00,2.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,84,09-03-2019,22:00:00,28.5,1010.15,16.7,1009.33,32.67,25.5,280,0.00,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,93,09-03-2019,22:00:00,26.8,1010.30,0.0,1008.48,32.66,25.5,000,0.00,10.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,77,09-03-2019,22:00:00,28.2,1010.60,1.9,1009.85,29.57,23.9,210,0.00,8.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,90,09-03-2019,22:00:00,26.2,1011.30,5.6,1007.28,30.67,24.5,120,0.00,9.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,90,09-03-2019,22:00:00,27.3,1011.04,0.0,1010.35,32.53,25.4,000,0.00,10.00,0.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,89,09-03-2019,22:00:00,26.3,1010.57,0.0,1009.45,30.59,24.4,000,0.00,10.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,89,09-03-2019,22:00:00,26.9,1011.17,0.0,1008.24,31.46,24.9,000,0.00,10.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,93,09-03-2019,22:00:00,26.1,1010.74,0.0,1010.04,31.30,24.8,000,0.00,7.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,93,09-03-2019,22:00:00,24.2,1011.43,7.4,1007.25,28.10,23.0,230,0.00,6.00,2.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,92,09-03-2019,22:00:00,23.9,1010.24,9.3,1009.64,27.34,22.6,160,0.00,8.00,5.20
