WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,Rainfall,MinimumTemperature,LandVisibility,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindDirection,AirTemperature,WindSpeed
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.33,09-30-2019,07:00:00,1010.48,0.00,0.00,25.6,7.00,86,23.7,1010.92,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.2,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.59,09-30-2019,07:00:00,1009.64,0.00,0.00,23.8,8.00,88,22.1,1011.08,000,24.2,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.33,09-30-2019,07:00:00,1006.01,0.00,0.00,24.8,7.00,97,24.8,1010.99,000,25.4,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.60,09-30-2019,07:00:00,1007.60,0.00,0.00,23.9,5.00,87,23.9,1010.92,000,26.2,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.57,09-30-2019,07:00:00,1010.04,0.00,0.00,23.9,8.00,97,23.9,1011.16,000,24.3,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.35,09-30-2019,07:00:00,1010.63,0.00,0.00,27.7,5.00,85,25.4,1010.93,320,28.2,3.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,33.12,09-30-2019,07:00:00,1010.21,0.00,0.00,27.8,7.00,86,25.8,1010.89,330,28.3,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,32.55,09-30-2019,07:00:00,1010.22,0.00,0.00,28.0,10.00,85,25.5,1010.71,000,28.3,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.23,09-30-2019,07:00:00,1009.66,0.00,0.00,27.5,4.00,78,24.2,1011.07,280,28.4,9.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,34.79,09-30-2019,07:00:00,1009.04,0.00,0.00,28.8,6.00,86,26.6,1010.71,250,29.1,5.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.20,09-30-2019,07:00:00,1004.25,0.00,0.00,24.3,2.00,98,24.2,1012.36,000,24.5,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.37,09-30-2019,07:00:00,1010.41,0.00,0.00,26.4,10.00,88,25.9,1010.69,000,28.0,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,33.78,09-30-2019,07:00:00,1007.56,0.00,0.00,26.0,12.00,92,26.1,1010.70,000,27.5,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.94,09-30-2019,07:00:00,1003.83,0.00,0.00,26.1,7.00,94,25.7,1010.80,000,26.8,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.54,09-30-2019,07:00:00,1005.90,0.00,0.00,25.0,7.00,93,24.4,1011.54,000,25.7,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.69,09-30-2019,07:00:00,1002.42,0.00,0.00,25.8,.50,91,25.5,1011.77,000,27.1,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,28.70,09-30-2019,07:00:00,1010.34,0.00,0.00,25.5,6.00,85,23.4,1011.61,300,26.0,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.51,09-30-2019,07:00:00,1010.05,0.00,0.00,25.1,11.00,87,23.2,1010.48,000,25.6,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.83,09-30-2019,07:00:00,999.10,0.00,0.00,22.5,4.00,96,22.2,1011.58,000,23.0,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.18,09-30-2019,07:00:00,1010.17,0.00,0.00,25.4,7.00,84,23.1,1010.89,260,26.0,3.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.07,09-30-2019,07:00:00,1009.17,0.00,0.00,24.6,4.00,93,24.1,1011.63,360,25.3,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.38,09-30-2019,07:00:00,1010.42,0.00,0.00,25.6,8.00,93,24.8,1010.94,000,26.0,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.99,09-30-2019,07:00:00,1005.91,0.00,0.00,24.7,10.00,92,24.1,1011.11,040,25.4,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.11,09-30-2019,07:00:00,1010.91,1.20,0.00,25.1,7.00,93,24.7,1011.33,000,26.0,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.07,09-30-2019,07:00:00,1008.79,0.00,0.00,24.8,8.00,98,25.2,1011.58,000,25.5,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.50,09-30-2019,07:00:00,1011.68,1.20,0.00,23.0,6.00,94,22.7,1012.48,360,23.7,3.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.99,09-30-2019,07:00:00,1010.56,0.00,0.00,24.4,7.00,92,24.1,1011.03,110,25.4,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.20,09-30-2019,07:00:00,1010.87,0.00,0.00,24.3,6.00,98,24.2,1011.56,000,24.5,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.05,09-30-2019,07:00:00,1010.68,0.00,0.00,24.4,6.00,95,24.1,1012.22,000,25.0,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.25,09-30-2019,07:00:00,1010.39,0.00,0.00,23.0,10.00,91,22.5,1011.32,000,24.0,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.63,09-30-2019,07:00:00,1010.41,0.00,0.00,23.7,10.00,96,25.0,1011.10,000,25.7,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.78,09-30-2019,07:00:00,1010.69,0.00,0.00,24.0,7.00,97,23.4,1011.49,000,24.0,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.20,09-30-2019,07:00:00,1010.45,0.00,0.00,24.0,10.00,98,24.2,1011.09,000,24.5,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.40,09-30-2019,07:00:00,1010.88,0.00,0.00,24.2,8.00,97,24.3,1011.29,000,24.9,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.77,09-30-2019,07:00:00,1008.83,0.00,0.00,23.4,6.00,98,23.4,1013.11,000,23.7,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.20,09-30-2019,07:00:00,1009.63,0.00,0.00,23.0,4.00,99,24.7,1011.26,000,24.9,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.04,09-30-2019,07:00:00,1007.80,0.00,0.00,23.5,.50,97,23.6,1011.33,000,24.0,0.0
