WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,LandVisibility,StationPressure,Rainfall24Hr,WindSpeed,AirTemperature,DewPoint,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1000.33,07-18-2019,16:00:00,57,000,15.00,970.47,0.40,0.0,34.7,24.8,31.36,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,998.63,07-18-2019,16:00:00,81,100,8.00,841.69,0.00,5.6,25.0,21.5,25.68,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,997.09,07-18-2019,16:00:00,41,000,15.00,955.61,1.10,0.0,38.3,22.8,27.80,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,997.54,07-18-2019,16:00:00,37,270,15.00,954.21,0.00,7.4,38.1,20.8,24.48,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1000.04,07-18-2019,16:00:00,33,000,12.00,964.05,0.00,0.0,37.5,18.6,21.38,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,997.43,07-18-2019,16:00:00,43,140,15.00,954.48,0.00,5.6,37.8,22.9,27.91,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,998.42,07-18-2019,16:00:00,43,180,12.00,973.02,0.00,3.7,39.2,24.1,30.07,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,999.35,07-18-2019,16:00:00,37,250,13.00,978.55,0.00,3.7,37.9,20.5,24.09,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1001.86,07-18-2019,16:00:00,69,000,10.00,978.25,0.00,0.0,31.0,24.6,30.90,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,998.37,07-18-2019,16:00:00,37,180,10.00,965.48,0.00,5.6,38.3,21.0,24.89,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,999.07,07-18-2019,16:00:00,38,000,10.00,972.82,0.00,0.0,38.5,21.8,26.16,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,998.21,07-18-2019,16:00:00,39,000,12.00,966.19,0.00,0.0,38.0,21.5,25.71,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,998.82,07-18-2019,16:00:00,42,270,15.00,981.11,0.00,7.4,37.4,22.4,27.07,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,998.24,07-18-2019,16:00:00,44,200,10.00,976.46,0.00,7.4,38.2,23.7,29.37,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,998.25,07-18-2019,16:00:00,47,180,12.00,969.50,0.00,11.1,35.5,22.3,26.91,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,999.23,07-18-2019,16:00:00,37,000,10.00,965.34,0.00,0.0,38.2,21.1,24.97,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,998.77,07-18-2019,16:00:00,52,140,15.00,970.18,0.00,7.4,35.6,24.1,30.02,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.99,07-18-2019,16:00:00,42,000,12.00,993.00,0.00,0.0,38.1,22.9,27.96,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,999.55,07-18-2019,16:00:00,57,210,20.00,980.42,0.00,9.3,36.7,26.8,35.27,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,999.08,07-18-2019,16:00:00,46,100,17.00,971.53,0.01,5.6,36.3,22.9,27.98,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1000.12,07-18-2019,16:00:00,47,120,15.00,980.74,0.00,5.6,37.0,24.0,29.76,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1000.73,07-18-2019,16:00:00,58,180,12.00,979.71,37.20,3.7,35.0,25.5,32.62,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,999.96,07-18-2019,16:00:00,54,180,15.00,981.12,46.00,5.6,35.0,24.4,30.52,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1001.20,07-18-2019,16:00:00,59,120,12.00,984.94,0.00,3.7,34.0,25.0,31.64,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1001.30,07-18-2019,16:00:00,60,160,12.00,984.41,0.00,3.7,34.2,25.2,32.07,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,998.99,07-18-2019,16:00:00,48,000,13.00,974.21,0.00,0.0,36.5,23.7,29.28,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1000.21,07-18-2019,16:00:00,50,150,10.00,994.65,0.00,5.6,37.3,25.1,31.95,0.00
