WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,Rainfall24Hr,WindSpeed,DewPoint,AirTemperature,LandVisibility,Rainfall,MeanSeaLevelPressure,VaporPressure,StationPressure
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,56,09-08-2019,16:00:00,280,0.00,13.0,23.3,33.4,12.00,0.00,1004.53,28.64,983.87
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,58,09-08-2019,16:00:00,240,1.20,5.6,24.0,33.3,11.00,0.00,1004.45,29.87,988.12
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,58,09-08-2019,16:00:00,270,3.30,7.4,23.7,33.0,11.00,0.00,1004.82,29.25,988.74
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,56,09-08-2019,16:00:00,250,0.00,13.0,23.4,33.5,10.00,0.00,1004.66,28.84,983.31
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,74,09-08-2019,16:00:00,240,0.00,18.5,23.8,29.0,10.00,0.00,1005.86,29.46,962.95
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,53,09-08-2019,16:00:00,280,0.00,14.8,23.2,34.0,12.00,0.00,1004.11,28.43,984.07
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,75,09-08-2019,16:00:00,250,0.00,9.3,26.2,31.1,10.00,0.00,1006.13,34.03,985.61
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,56,09-08-2019,16:00:00,270,0.00,14.8,23.0,33.0,10.00,0.00,1006.86,28.12,1006.43
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,72,09-08-2019,16:00:00,260,0.00,3.7,25.4,31.0,11.00,0.00,1005.56,32.34,1004.16
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,63,09-08-2019,16:00:00,000,0.00,0.0,24.7,32.6,8.00,0.00,1006.48,31.02,1001.64
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,63,09-08-2019,16:00:00,210,0.00,3.7,22.5,30.4,12.00,0.00,1007.27,27.22,1004.02
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,63,09-08-2019,16:00:00,260,0.20,7.4,23.6,31.5,10.00,0.00,1006.68,29.07,1005.59
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,68,09-08-2019,16:00:00,230,0.01,13.0,25.0,31.5,9.00,0.01,1006.74,31.64,1006.44
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,62,09-08-2019,16:00:00,230,0.00,9.3,24.0,32.3,10.00,0.00,1006.59,29.83,1005.91
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,70,09-08-2019,16:00:00,150,0.00,5.6,25.4,31.5,10.00,0.00,1005.95,32.52,1005.47
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,64,09-08-2019,16:00:00,270,0.01,18.5,25.0,32.8,10.00,0.00,1006.44,31.74,1005.06
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,91,09-08-2019,16:00:00,200,0.00,18.5,27.9,29.6,10.00,0.00,1006.85,37.68,1005.19
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,65,09-08-2019,16:00:00,250,0.00,5.6,23.7,31.2,10.00,0.00,1008.47,29.32,1000.56
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,66,09-08-2019,16:00:00,000,0.00,0.0,24.4,31.5,10.00,0.00,1006.85,30.49,1006.57
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,71,09-08-2019,16:00:00,000,0.00,0.0,24.3,30.0,10.00,0.00,1006.93,30.31,1003.83
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,68,09-08-2019,16:00:00,260,0.00,7.4,23.4,30.1,12.00,0.00,1007.15,28.83,1000.28
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,62,09-08-2019,16:00:00,270,0.00,11.1,24.7,33.1,10.00,0.00,1006.05,31.20,1000.57
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,71,09-08-2019,16:00:00,240,0.00,14.8,24.3,30.0,10.00,0.00,1008.07,30.31,998.84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,81,09-08-2019,16:00:00,270,0.00,29.6,24.4,28.0,6.00,0.00,1008.65,30.56,1007.39
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,60,09-08-2019,16:00:00,330,0.00,24.1,22.2,31.0,11.00,0.00,1007.14,26.73,1006.72
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,72,09-08-2019,16:00:00,300,0.00,7.4,22.8,28.4,10.00,0.00,1008.08,27.79,995.87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,88,09-08-2019,16:00:00,000,6.80,0.0,25.4,27.5,8.00,6.80,1008.08,32.36,1007.37
