WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,DewPoint,StationPressure,LandVisibility,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,WindDirection,WindSpeed,Rainfall
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.0,10-08-2019,13:00:00,68,25.4,1009.41,10.00,0.00,32.40,1009.93,000,0.0,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.3,10-08-2019,13:00:00,68,24.8,1004.56,11.00,28.80,31.23,1009.65,210,3.7,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,34.0,10-08-2019,13:00:00,57,24.3,1009.21,10.00,17.30,30.46,1009.61,020,3.7,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.0,10-08-2019,13:00:00,66,24.9,1007.18,8.00,0.70,31.52,1009.91,000,0.0,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,33.1,10-08-2019,13:00:00,64,25.4,1008.38,10.00,0.20,32.38,1009.15,120,13.0,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.4,10-08-2019,13:00:00,68,25.7,1009.48,10.00,8.10,32.96,1009.93,350,3.7,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.6,10-08-2019,13:00:00,71,25.7,1009.33,10.00,10.90,33.02,1010.00,080,7.4,0.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.0,10-08-2019,13:00:00,55,22.9,1008.47,9.00,0.20,27.84,1009.97,110,7.4,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.3,10-08-2019,13:00:00,68,24.8,1008.95,10.00,9.40,31.23,1009.86,290,11.1,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.7,10-08-2019,13:00:00,75,25.8,1009.41,12.00,1.40,33.17,1010.10,080,11.1,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.0,10-08-2019,13:00:00,68,24.4,1009.40,10.00,0.00,30.61,1010.19,040,5.6,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.0,10-08-2019,13:00:00,64,24.3,1008.90,10.00,2.50,30.36,1009.52,090,11.1,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.4,10-08-2019,13:00:00,72,25.8,1009.15,12.00,0.01,33.19,1009.55,050,18.5,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.5,10-08-2019,13:00:00,75,25.6,1007.25,6.00,4.60,32.75,1011.43,070,3.7,2.20
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,32.2,10-08-2019,13:00:00,54,21.6,1008.01,10.00,28.70,25.74,1009.60,000,0.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,34.0,10-08-2019,13:00:00,59,24.8,1005.84,12.00,0.50,31.34,1009.24,060,9.3,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,32.5,10-08-2019,13:00:00,54,21.9,1008.78,10.00,0.00,26.31,1010.11,070,7.4,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.0,10-08-2019,13:00:00,69,23.8,1008.33,10.00,1.60,29.47,1009.20,300,5.6,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.8,10-08-2019,13:00:00,60,24.1,1005.59,10.00,31.40,29.99,1009.09,090,11.1,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.5,10-08-2019,13:00:00,61,23.9,1009.12,10.00,0.00,29.66,1009.55,000,0.0,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.6,10-08-2019,13:00:00,58,23.2,1008.34,10.00,3.50,28.45,1009.32,090,5.6,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.7,10-08-2019,13:00:00,69,26.1,1008.92,10.00,0.00,33.91,1009.72,170,9.3,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.3,10-08-2019,13:00:00,58,23.0,1007.17,14.00,7.90,28.13,1008.96,050,5.6,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.6,10-08-2019,13:00:00,67,23.8,1009.02,12.00,0.01,29.53,1009.77,020,5.6,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.3,10-08-2019,13:00:00,60,23.5,1005.04,10.00,0.20,28.98,1008.98,990,11.1,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,33.8,10-08-2019,13:00:00,54,23.3,1009.18,10.00,7.00,28.59,1009.84,000,0.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,32.3,10-08-2019,13:00:00,62,24.0,1007.97,10.00,0.00,29.83,1009.06,070,5.6,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,33.6,10-08-2019,13:00:00,57,23.9,1006.15,12.00,0.01,29.62,1009.02,040,11.1,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,28.9,10-08-2019,13:00:00,86,26.2,1008.31,2.00,10.40,34.07,1008.99,000,0.0,10.40
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.2,10-08-2019,13:00:00,58,23.7,1005.29,10.00,0.20,29.37,1009.34,100,7.4,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,31.7,10-08-2019,13:00:00,62,23.5,1008.52,10.00,0.00,28.91,1009.10,050,11.1,0.00
