WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,MinimumTemperature,LandVisibility,StationPressure,DewPoint,RelativeHumidity,VaporPressure,Rainfall,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-27-2019,07:00:00,7.30,24.2,1007.64,22.7,6.00,976.52,23.3,95,28.62,1.20,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.6,07-27-2019,07:00:00,19.80,17.5,1005.93,17.4,3.00,844.20,17.3,99,19.77,5.50,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,9.3,07-27-2019,07:00:00,17.70,23.8,1007.60,23.2,10.00,963.69,22.8,94,27.67,3.10,170
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-27-2019,07:00:00,14.30,23.5,1007.72,22.0,2.00,961.85,22.8,96,27.66,5.10,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-27-2019,07:00:00,8.20,23.5,1008.61,23.0,8.00,970.64,23.5,100,28.94,2.40,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.4,07-27-2019,07:00:00,12.10,22.6,1008.11,21.3,6.00,962.54,22.0,96,26.41,3.40,130
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,07-27-2019,07:00:00,5.00,24.4,1008.79,23.9,8.00,981.87,23.7,96,29.23,0.40,170
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,07-27-2019,07:00:00,1.70,23.8,1008.89,23.6,12.00,986.91,23.2,97,28.43,0.70,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-27-2019,07:00:00,2.10,23.5,1008.92,21.5,5.00,984.55,22.0,91,26.42,0.30,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-27-2019,07:00:00,10.30,23.4,1008.56,23.1,10.00,973.70,22.3,94,26.99,4.60,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-27-2019,07:00:00,7.80,23.5,1010.08,23.0,5.00,982.22,23.0,97,28.17,3.30,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-27-2019,07:00:00,11.30,23.6,1008.20,23.2,10.00,974.32,23.3,98,28.60,1.20,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,07-27-2019,07:00:00,10.70,23.8,1009.48,23.8,1.00,990.76,23.2,97,28.43,5.60,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-27-2019,07:00:00,7.00,24.7,1008.35,24.0,7.00,985.37,24.1,97,30.03,2.80,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-27-2019,07:00:00,5.60,24.4,1008.52,23.6,6.00,978.40,23.1,92,28.20,0.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-27-2019,07:00:00,3.60,23.2,1009.17,23.0,6.00,973.25,22.9,98,27.91,0.80,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,07-27-2019,07:00:00,0.00,24.8,1007.37,23.9,13.00,977.50,22.6,87,27.36,0.00,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-27-2019,07:00:00,0.30,25.5,1009.80,25.4,6.00,1002.44,23.6,89,29.11,0.01,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.7,07-27-2019,07:00:00,0.00,26.6,1007.21,26.3,15.00,987.29,24.4,88,30.62,0.00,270
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,07-27-2019,07:00:00,0.00,25.4,1007.92,25.0,15.00,979.13,22.6,84,27.38,0.00,010
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,07-27-2019,07:00:00,0.90,25.8,1007.47,25.5,12.00,987.23,23.2,85,28.34,0.00,240
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,07-27-2019,07:00:00,0.00,25.5,1007.14,25.2,12.00,985.32,21.7,80,26.02,0.00,230
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,07-27-2019,07:00:00,0.00,25.5,1006.99,25.2,15.00,987.42,22.8,85,27.81,0.00,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,07-27-2019,07:00:00,23.40,25.0,1007.86,24.2,9.00,991.00,24.0,94,29.79,11.20,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-27-2019,07:00:00,15.60,25.0,1008.04,23.4,12.00,990.50,24.3,96,30.32,0.60,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,07-27-2019,07:00:00,0.00,24.9,1006.98,24.8,10.00,981.05,23.7,93,29.34,0.00,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,07-27-2019,07:00:00,0.00,25.7,1008.32,23.8,10.00,1002.50,23.5,88,28.95,0.00,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,07-27-2019,07:00:00,0.40,25.2,1008.27,24.5,10.00,1002.04,23.4,90,28.83,0.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-27-2019,07:00:00,8.50,24.5,1009.50,23.5,10.00,992.89,23.0,91,28.11,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,07-27-2019,07:00:00,4.50,22.7,1007.90,22.1,10.00,985.25,20.7,89,24.40,0.00,160
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.7,07-27-2019,07:00:00,1.80,25.8,1008.76,25.0,7.00,994.29,20.0,70,23.31,0.00,320
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,07-27-2019,07:00:00,0.00,26.5,1008.15,26.0,8.00,991.73,21.2,73,25.20,0.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,07-27-2019,07:00:00,0.01,24.6,1008.93,24.0,10.00,1003.65,23.3,92,28.55,0.00,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-27-2019,07:00:00,19.50,24.3,1007.50,23.8,10.00,994.18,23.9,97,29.57,0.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,07-27-2019,07:00:00,1.60,24.0,1008.45,23.8,10.00,999.02,23.1,95,28.27,0.20,110
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.7,07-27-2019,07:00:00,4.30,25.0,1008.16,23.9,9.00,986.31,24.4,97,30.58,0.01,220
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,07-27-2019,07:00:00,0.00,26.5,1007.62,25.5,10.00,990.09,23.6,84,29.08,0.00,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,07-27-2019,07:00:00,15.10,25.0,1007.14,24.6,10.00,991.20,24.3,96,30.32,0.60,200
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,07-27-2019,07:00:00,0.00,25.7,1007.14,24.8,10.00,988.17,24.2,92,30.28,0.00,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-27-2019,07:00:00,3.20,20.0,1009.86,19.0,8.00,957.53,18.7,92,21.57,0.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,07-27-2019,07:00:00,6.80,23.8,1008.83,23.4,5.00,1004.83,23.1,96,28.18,2.80,040
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,07-27-2019,07:00:00,6.80,19.5,1009.42,18.2,7.00,913.49,16.9,85,19.18,0.01,130
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,07-27-2019,07:00:00,0.00,25.7,1007.72,24.8,10.00,991.66,22.9,85,27.90,0.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,07-27-2019,07:00:00,0.00,25.4,1008.04,24.9,10.00,1003.98,22.6,84,27.38,0.00,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,07-27-2019,07:00:00,1.90,25.5,1009.94,25.0,8.00,999.19,23.3,88,28.59,0.00,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,07-27-2019,07:00:00,0.01,26.0,1009.08,25.8,9.00,1007.14,23.1,84,28.18,0.00,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,07-27-2019,07:00:00,0.10,25.0,1008.48,24.7,10.00,987.45,22.8,88,27.70,0.01,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,07-27-2019,07:00:00,0.20,25.9,1007.61,24.7,10.00,989.87,23.6,87,29.05,0.00,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,07-27-2019,07:00:00,0.60,26.3,1007.64,25.6,10.00,991.43,23.1,82,28.19,0.00,210
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,07-27-2019,07:00:00,0.01,25.7,1008.43,24.7,10.00,994.32,23.9,90,29.74,0.00,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-27-2019,07:00:00,2.00,25.0,1009.15,23.9,8.00,994.20,23.5,92,29.00,0.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,11.1,07-27-2019,07:00:00,0.20,25.6,1009.34,24.0,6.00,994.57,24.7,95,31.17,0.01,270
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-27-2019,07:00:00,0.01,26.6,1008.82,25.7,10.00,1005.80,22.0,76,26.39,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-27-2019,07:00:00,5.20,25.5,1008.67,24.6,10.00,1000.67,24.0,92,29.91,0.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.7,07-27-2019,07:00:00,0.40,26.5,1008.44,25.2,8.00,1007.33,23.6,84,29.08,0.00,150
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,07-27-2019,07:00:00,0.00,26.9,1008.64,26.1,9.00,993.93,24.4,86,30.64,0.00,090
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,11.1,07-27-2019,07:00:00,17.60,18.5,1009.58,18.0,.05,873.83,18.3,99,21.06,0.00,300
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,07-27-2019,07:00:00,0.20,26.0,1008.99,24.6,10.00,1003.08,24.6,92,30.84,0.00,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1.9,07-27-2019,07:00:00,0.00,27.4,1008.71,27.0,8.00,1007.91,21.1,68,24.97,0.00,300
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.7,07-27-2019,07:00:00,0.01,28.0,1008.33,27.0,10.00,1007.88,22.9,74,27.85,0.00,150
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-27-2019,07:00:00,8.40,23.0,1010.60,22.7,5.00,999.11,22.2,96,26.83,0.00,000
