WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindSpeed,Rainfall24Hr,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.94,07-28-2019,01:00:00,23.5,0.0,7.20,27.0,000,990.12,1006.84,7.00,0.00,81
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.55,07-28-2019,01:00:00,22.7,3.7,8.90,25.5,180,991.41,1007.94,6.00,0.00,84
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.14,07-28-2019,01:00:00,19.8,0.0,0.00,27.5,000,985.83,1007.66,10.00,0.00,63
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.21,07-28-2019,01:00:00,20.6,3.7,0.01,24.7,180,964.92,1008.54,10.00,0.00,78
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.70,07-28-2019,01:00:00,20.9,5.6,0.00,26.5,220,986.65,1007.25,10.00,0.00,71
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.46,07-28-2019,01:00:00,22.0,5.6,0.00,26.2,260,987.44,1008.33,8.00,0.00,78
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.34,07-28-2019,01:00:00,25.4,0.0,0.00,28.9,000,1007.64,1008.07,10.00,0.00,81
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.79,07-28-2019,01:00:00,25.1,0.0,14.80,26.5,000,1006.33,1007.75,6.00,0.00,92
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.97,07-28-2019,01:00:00,24.6,0.0,3.50,26.5,000,1002.90,1007.84,7.00,0.00,89
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.13,07-28-2019,01:00:00,21.8,3.7,0.20,28.5,310,1004.98,1008.26,10.00,0.00,67
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.37,07-28-2019,01:00:00,23.2,3.7,0.00,27.7,270,1006.55,1007.66,10.00,0.00,76
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.34,07-28-2019,01:00:00,25.3,7.4,0.01,29.6,200,1007.40,1007.70,10.00,0.00,78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.74,07-28-2019,01:00:00,23.9,0.0,0.00,29.0,000,1007.66,1008.14,10.00,0.00,74
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.41,07-28-2019,01:00:00,24.9,11.1,0.00,29.0,210,1006.78,1008.18,10.00,0.00,78
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.50,07-28-2019,01:00:00,23.8,0.0,0.20,26.0,000,1001.57,1009.62,10.00,0.00,88
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.55,07-28-2019,01:00:00,25.5,9.3,0.20,29.0,160,1007.50,1007.78,10.00,0.00,81
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,33.99,07-28-2019,01:00:00,26.2,0.0,0.00,29.0,000,1004.72,1007.83,10.00,0.00,85
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,33.49,07-28-2019,01:00:00,25.9,0.0,1.20,28.9,000,1000.96,1007.86,10.00,0.00,84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.80,07-28-2019,01:00:00,24.0,0.0,0.01,26.6,000,1002.42,1008.03,7.00,0.00,86
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.69,07-28-2019,01:00:00,22.8,0.0,0.01,26.6,000,1007.33,1008.60,10.00,0.00,80
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.44,07-28-2019,01:00:00,22.6,0.0,0.00,28.5,000,1007.64,1008.07,11.00,0.00,71
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.28,07-28-2019,01:00:00,21.9,0.0,0.00,25.8,000,996.42,1008.75,10.00,0.00,79
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.21,07-28-2019,01:00:00,21.9,7.4,0.00,28.4,300,1007.49,1008.20,10.00,0.00,68
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.14,07-28-2019,01:00:00,25.2,5.6,1.40,28.8,190,1006.33,1008.76,10.00,0.00,81
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,33.58,07-28-2019,01:00:00,26.0,0.0,0.00,29.5,000,1008.11,1008.62,10.00,0.00,81
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.61,07-28-2019,01:00:00,25.0,1.9,0.20,29.1,190,1003.21,1008.34,9.00,0.00,78
