WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,RelativeHumidity,StationPressure,DewPoint,WindSpeed,LandVisibility,VaporPressure,WindDirection,MinimumTemperature,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.37,09-09-2019,07:00:00,0.00,95,976.34,24.1,0.0,7.00,30.05,000,23.3,25.0,5.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.01,09-09-2019,07:00:00,0.00,98,843.67,17.7,27.8,8.00,20.20,270,18.0,18.0,2.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1005.97,09-09-2019,07:00:00,0.00,90,962.39,23.8,0.0,12.00,29.56,000,25.5,25.6,3.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.05,09-09-2019,07:00:00,0.00,93,960.45,23.6,0.0,15.00,29.16,000,24.2,24.8,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.23,09-09-2019,07:00:00,0.00,99,969.48,24.6,0.0,10.00,31.02,000,23.9,24.8,0.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.09,09-09-2019,07:00:00,0.00,92,961.92,23.5,3.7,8.00,29.00,090,23.8,25.0,0.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.27,09-09-2019,07:00:00,0.00,93,980.48,24.2,0.0,10.00,30.25,000,24.9,25.4,1.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.68,09-09-2019,07:00:00,0.00,94,985.75,23.1,0.0,12.00,28.19,000,23.6,24.1,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.54,09-09-2019,07:00:00,0.00,97,984.26,23.9,0.0,6.00,29.67,000,23.5,24.5,2.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.52,09-09-2019,07:00:00,0.00,81,972.91,21.9,0.0,10.00,26.19,000,24.8,25.3,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.85,09-09-2019,07:00:00,0.00,92,981.16,23.5,0.0,10.00,29.00,000,24.2,25.0,9.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.27,09-09-2019,07:00:00,0.00,91,973.56,23.2,0.0,10.00,28.38,000,24.6,24.8,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1006.92,09-09-2019,07:00:00,0.00,95,988.36,24.7,1.9,7.00,31.17,250,25.5,25.6,7.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,1006.83,09-09-2019,07:00:00,0.00,95,983.93,24.4,0.0,10.00,30.60,000,25.0,25.3,3.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.17,09-09-2019,07:00:00,0.00,94,977.14,23.9,0.0,8.00,29.61,000,24.2,24.9,0.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.51,09-09-2019,07:00:00,0.00,95,971.70,22.7,0.0,8.00,27.58,000,23.4,23.6,0.00
