WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,AirTemperature,VaporPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-17-2019,16:00:00,15.00,1004.08,0.0,60,974.00,000,0.00,33.5,30.87,24.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-17-2019,16:00:00,10.00,1003.29,3.7,66,845.38,130,0.00,24.5,20.14,17.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-17-2019,16:00:00,12.00,1004.16,7.4,53,961.87,020,0.00,34.4,28.96,23.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-17-2019,16:00:00,15.00,1004.40,0.0,44,960.27,000,0.00,34.5,23.85,20.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.10,09-17-2019,16:00:00,12.00,1005.39,3.7,81,968.15,170,0.10,28.5,31.54,24.9
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-17-2019,16:00:00,12.00,1004.06,5.6,42,960.45,270,0.00,35.0,23.44,20.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-17-2019,16:00:00,10.00,1004.30,7.4,60,978.11,020,0.00,31.4,27.76,22.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-17-2019,16:00:00,14.00,1004.62,5.6,49,983.55,220,0.00,35.4,28.43,23.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-17-2019,16:00:00,10.00,1004.17,0.0,47,980.85,000,0.00,35.5,27.19,22.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-17-2019,16:00:00,10.00,1004.26,3.7,42,970.91,150,0.00,35.8,24.70,20.9
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-17-2019,16:00:00,10.00,1004.66,0.0,49,977.96,000,0.00,35.0,27.61,22.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-17-2019,16:00:00,12.00,1004.19,7.4,51,971.69,270,0.00,35.2,28.88,23.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-17-2019,16:00:00,12.00,1004.00,0.0,43,986.16,000,0.00,36.8,26.70,22.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-17-2019,16:00:00,10.00,1003.99,0.0,44,981.98,000,0.00,36.6,27.15,22.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-17-2019,16:00:00,12.00,1003.80,3.7,49,974.89,360,0.00,35.6,28.55,23.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-17-2019,16:00:00,8.00,1004.88,0.0,54,970.31,000,0.00,33.7,28.11,23.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-17-2019,16:00:00,12.00,1003.71,3.7,60,974.85,050,0.00,34.3,32.29,25.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-17-2019,16:00:00,12.00,1004.25,0.0,49,997.17,000,0.00,35.6,28.55,23.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-17-2019,16:00:00,15.00,1004.12,9.3,59,984.78,120,0.00,34.6,32.34,25.3
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-17-2019,16:00:00,15.00,1004.27,7.4,51,976.46,100,0.00,35.0,28.47,23.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-17-2019,16:00:00,17.00,1004.94,7.4,52,985.26,070,0.00,33.7,27.26,22.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-17-2019,16:00:00,10.00,1004.71,7.4,59,983.50,130,0.00,33.5,30.28,24.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-17-2019,16:00:00,12.00,1004.28,5.6,53,985.26,100,0.00,33.3,27.03,22.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-17-2019,16:00:00,12.00,1004.69,0.0,49,988.40,000,0.01,34.5,26.60,22.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-17-2019,16:00:00,10.00,1005.05,0.0,51,988.07,000,0.00,34.0,27.01,22.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-17-2019,16:00:00,15.00,1003.55,5.6,53,978.44,060,0.00,33.8,28.02,23.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-17-2019,16:00:00,10.00,1004.93,3.7,59,999.32,350,1.70,35.8,34.43,26.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-17-2019,16:00:00,12.00,1004.38,0.0,59,998.36,000,0.00,34.6,32.34,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-17-2019,16:00:00,12.00,1004.33,5.6,51,988.39,120,0.00,35.5,29.51,23.8
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-17-2019,16:00:00,12.00,1002.57,5.6,56,980.86,340,0.00,34.0,29.87,24.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-17-2019,16:00:00,8.00,1006.47,3.7,53,992.50,110,0.00,35.8,31.35,24.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-17-2019,16:00:00,12.00,1004.10,0.0,46,988.23,000,0.00,35.8,26.95,22.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-17-2019,16:00:00,10.00,1004.51,9.3,62,999.41,270,0.00,33.3,31.92,25.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-17-2019,16:00:00,12.00,1002.84,0.0,59,990.01,000,0.00,34.5,32.42,25.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-17-2019,16:00:00,13.00,1004.54,0.0,51,995.50,000,0.00,35.4,29.30,23.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-17-2019,16:00:00,10.00,1005.34,11.1,68,983.95,120,0.00,30.6,29.81,24.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-17-2019,16:00:00,12.00,1004.34,0.0,53,987.33,000,0.00,34.8,29.21,23.7
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-17-2019,16:00:00,12.00,1003.72,3.7,53,988.30,050,0.00,34.0,28.43,23.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,13.00,09-17-2019,16:00:00,5.00,1004.75,1.9,88,985.87,270,13.00,26.4,30.24,24.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-17-2019,16:00:00,10.00,1004.70,0.0,46,954.82,000,0.00,33.2,23.58,20.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-17-2019,16:00:00,6.00,1003.81,7.4,58,999.97,320,0.00,35.1,32.84,25.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-17-2019,16:00:00,9.00,1003.56,14.8,65,910.75,070,0.00,28.1,24.65,20.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-17-2019,16:00:00,10.00,1004.44,7.4,64,988.84,130,0.00,33.7,33.39,25.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-17-2019,16:00:00,10.00,1003.96,0.0,50,1000.06,000,0.00,36.5,30.77,24.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-17-2019,16:00:00,10.00,1005.10,0.0,51,994.72,000,0.00,34.8,28.63,23.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-17-2019,16:00:00,10.00,1005.04,3.7,55,1003.17,090,0.00,34.5,30.04,24.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-17-2019,16:00:00,10.00,1004.47,3.7,49,984.17,050,0.00,34.6,27.08,22.4
