WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,AirTemperature,VaporPressure,DewPoint
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-17-2019,16:00:00,10.00,1004.84,0.0,58,987.56,000,0.00,33.0,28.97,23.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-17-2019,16:00:00,10.00,1004.15,5.6,54,988.41,120,0.00,34.0,28.72,23.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-17-2019,16:00:00,10.00,1004.32,9.3,54,990.61,300,0.00,33.3,27.59,22.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-17-2019,16:00:00,10.00,1004.83,0.0,67,990.33,000,0.00,33.0,33.66,26.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-17-2019,16:00:00,10.00,1005.08,14.8,59,990.77,060,0.00,34.0,31.64,25.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-17-2019,16:00:00,10.00,1004.73,0.0,51,1001.80,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,35.3,29.09,23.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-17-2019,16:00:00,10.00,1004.07,7.4,67,996.28,290,0.00,32.4,32.36,25.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.01,09-17-2019,16:00:00,6.00,1004.54,31.5,83,1003.44,090,3.10,28.2,31.79,25.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-17-2019,16:00:00,8.00,1004.66,0.0,54,990.25,000,0.00,32.0,25.91,21.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.40,09-17-2019,16:00:00,2.00,1006.11,7.4,96,872.25,040,0.80,21.9,25.30,21.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-17-2019,16:00:00,10.00,1004.10,0.0,67,998.38,000,5.30,34.5,36.45,27.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-17-2019,16:00:00,12.00,1004.73,7.4,64,1003.94,060,13.40,33.7,33.69,26.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-17-2019,16:00:00,10.00,1005.18,18.5,76,1004.74,210,0.00,30.4,32.84,25.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.00,09-17-2019,16:00:00,8.00,1005.72,5.6,77,994.47,270,1.00,28.0,29.19,23.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-17-2019,16:00:00,12.00,1004.75,3.7,54,1003.77,130,0.30,36.0,32.10,25.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-17-2019,16:00:00,10.00,1005.11,0.0,58,1003.33,000,5.20,33.8,30.62,24.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-17-2019,16:00:00,9.00,1004.60,3.7,56,1003.85,130,0.00,33.5,28.84,23.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-17-2019,16:00:00,10.00,1005.06,20.4,68,1004.37,190,0.00,32.2,32.82,25.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-17-2019,16:00:00,7.00,1005.16,7.4,68,1004.47,330,0.00,31.7,31.77,25.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-17-2019,16:00:00,12.00,1004.56,11.1,56,983.88,090,0.00,33.2,28.24,23.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-17-2019,16:00:00,12.00,1004.81,5.6,62,988.42,030,0.00,32.3,30.12,24.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-17-2019,16:00:00,11.00,1005.28,11.1,64,989.20,040,0.00,33.0,32.16,25.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.20,09-17-2019,16:00:00,10.00,1004.35,14.8,52,983.10,070,0.20,34.9,29.13,23.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.01,09-17-2019,16:00:00,10.00,1005.09,14.8,76,962.19,240,9.40,28.8,29.90,24.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-17-2019,16:00:00,12.00,1004.52,9.3,53,984.44,040,0.00,33.5,27.43,22.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-17-2019,16:00:00,9.00,1006.93,22.2,69,986.30,050,0.00,29.7,28.61,23.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-17-2019,16:00:00,10.00,1005.16,22.2,70,1004.74,180,2.80,31.9,33.07,25.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.10,09-17-2019,16:00:00,10.00,1004.82,3.7,82,1003.42,250,1.60,29.6,33.79,26.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.10,09-17-2019,16:00:00,7.00,1004.80,0.0,85,999.92,000,24.10,29.1,34.20,26.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-17-2019,16:00:00,12.00,1004.45,0.0,45,1001.25,000,0.00,34.9,25.16,21.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-17-2019,16:00:00,10.00,1004.82,0.0,61,1003.74,000,0.00,32.9,30.49,24.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-17-2019,16:00:00,103.00,1005.05,9.3,69,1004.75,180,0.00,32.2,33.12,25.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-17-2019,16:00:00,10.00,1004.66,9.3,58,1003.99,230,0.00,32.5,28.25,23.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-17-2019,16:00:00,10.00,1004.60,5.6,67,1004.12,150,0.00,33.5,34.77,26.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-17-2019,16:00:00,10.00,1004.80,14.8,50,1003.43,120,0.01,34.5,27.17,22.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-17-2019,16:00:00,9.00,1005.39,22.2,97,1003.72,190,0.00,29.1,39.02,28.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-17-2019,16:00:00,10.00,1007.10,5.6,73,999.20,230,0.00,31.0,32.63,25.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-17-2019,16:00:00,10.00,1005.00,0.0,65,1004.72,000,0.80,32.2,31.35,24.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-17-2019,16:00:00,10.00,1005.43,0.0,73,1002.34,000,0.00,30.3,31.48,24.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,21.70,09-17-2019,16:00:00,10.00,1006.00,0.0,96,999.02,000,33.70,25.0,30.32,24.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,44.20,09-17-2019,16:00:00,.50,1005.85,0.0,92,1000.25,000,44.40,26.5,31.79,25.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-17-2019,16:00:00,8.00,1006.08,0.0,93,996.74,000,12.50,26.0,31.11,24.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-17-2019,16:00:00,14.00,1005.71,7.4,59,1004.48,120,0.70,34.0,31.64,25.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-17-2019,16:00:00,11.00,1005.53,5.6,68,1005.11,170,0.00,31.9,32.19,25.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-17-2019,16:00:00,10.00,1006.42,7.4,78,994.24,190,0.00,28.8,31.01,24.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-17-2019,16:00:00,10.00,1006.00,11.1,71,1005.30,130,0.00,30.9,31.56,24.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.30,09-17-2019,16:00:00,10.00,1006.61,0.0,88,1004.18,000,9.50,27.3,31.97,25.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-17-2019,16:00:00,10.00,1006.92,9.3,77,1006.41,220,0.00,28.8,30.46,24.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.30,09-17-2019,16:00:00,9.00,1006.11,0.0,89,1000.96,000,27.10,26.6,30.89,24.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-17-2019,16:00:00,8.00,1006.07,9.3,85,1005.66,180,8.80,28.7,33.37,25.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,4.00,09-17-2019,16:00:00,8.00,1006.57,0.0,94,1003.79,000,11.20,26.7,32.74,25.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-17-2019,16:00:00,10.00,1005.17,9.3,85,1004.40,270,0.00,30.8,37.93,28.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-17-2019,16:00:00,7.00,1006.94,5.6,83,1006.48,330,38.10,28.2,31.79,25.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.10,09-17-2019,16:00:00,10.00,1007.64,7.4,84,1006.96,200,14.80,27.4,30.78,24.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.80,09-17-2019,16:00:00,7.00,1007.88,1.9,89,1006.35,210,8.40,26.6,30.89,24.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.40,09-17-2019,16:00:00,10.00,1009.11,7.4,87,1008.19,190,74.00,25.6,28.51,23.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.70,09-17-2019,16:00:00,9.00,1008.12,5.6,86,1007.43,270,5.70,27.1,30.75,24.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,4.60,09-17-2019,16:00:00,7.00,1009.23,0.0,91,1008.42,000,5.00,24.6,28.03,23.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-17-2019,16:00:00,10.00,1007.79,7.4,73,1007.16,330,0.20,27.1,26.24,21.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,16.70,09-17-2019,16:00:00,10.00,1008.13,0.0,88,1007.73,000,19.90,26.7,30.81,24.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,2.00,09-17-2019,16:00:00,5.00,1010.72,0.0,92,1006.46,000,2.50,24.8,28.64,23.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-17-2019,16:00:00,12.00,1008.72,3.7,87,1007.09,010,13.20,24.6,26.76,22.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,2.20,09-17-2019,16:00:00,12.00,1008.74,0.0,83,1005.25,000,16.50,26.5,28.82,23.4
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-17-2019,16:00:00,8.00,1007.36,11.1,73,1006.00,300,0.00,27.8,27.22,22.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.30,09-17-2019,16:00:00,10.00,1008.65,0.0,84,1007.77,000,8.90,27.6,30.89,24.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.40,09-17-2019,16:00:00,10.00,1007.89,0.0,88,1004.31,000,6.60,26.1,29.68,23.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-17-2019,16:00:00,10.00,1007.80,9.3,66,1007.37,270,2.20,31.2,29.88,24.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-17-2019,16:00:00,9.00,1007.73,3.7,75,1006.74,290,0.20,29.5,31.00,24.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,2.60,09-17-2019,16:00:00,10.00,1008.24,7.4,85,1007.42,100,15.00,25.8,28.34,23.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-17-2019,16:00:00,14.00,1008.17,13.0,75,1006.37,230,0.00,28.5,29.05,23.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,09-17-2019,16:00:00,11.00,1007.65,9.3,66,1006.90,250,0.01,30.3,28.67,23.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,09-17-2019,16:00:00,10.00,1007.49,9.3,60,1003.56,290,0.20,31.5,27.68,22.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-17-2019,16:00:00,10.00,1007.44,7.4,65,1006.76,240,45.80,30.7,28.62,23.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,6.40,09-17-2019,16:00:00,10.00,1008.42,5.6,93,1007.30,030,6.40,25.5,30.17,24.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-17-2019,16:00:00,10.00,1007.48,14.8,58,1004.61,270,1.80,32.0,27.55,22.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-17-2019,16:00:00,12.00,1006.20,9.3,61,1005.53,270,0.00,33.5,31.75,25.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-17-2019,16:00:00,10.00,1007.35,11.1,53,1003.31,250,0.00,33.6,27.34,22.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-17-2019,16:00:00,10.00,1007.21,0.0,72,1006.63,000,0.00,31.0,32.34,25.4
