WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,AirTemperature,Rainfall,DewPoint,MeanSeaLevelPressure,StationPressure,WindDirection,LandVisibility,RelativeHumidity,VaporPressure,WindSpeed,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-18-2019,19:00:00,0.00,31.1,0.00,25.3,1000.45,970.24,000,15.00,71,32.26,0.0,36.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-18-2019,19:00:00,4.00,20.4,4.00,19.8,1000.98,841.46,270,8.00,96,23.03,7.4,26.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-18-2019,19:00:00,1.10,35.5,0.00,23.0,997.74,955.87,240,15.00,49,28.06,9.3,38.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-18-2019,19:00:00,0.00,33.7,0.00,23.5,998.36,954.39,210,15.00,55,28.96,3.7,38.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-18-2019,19:00:00,0.00,30.5,0.00,22.4,1001.57,964.71,000,10.00,62,27.14,0.0,38.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-18-2019,19:00:00,0.00,35.5,0.00,21.6,998.17,954.88,210,15.00,45,25.78,5.6,38.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-18-2019,19:00:00,0.00,32.2,0.00,22.4,1000.54,974.51,180,12.00,56,27.11,9.3,39.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-18-2019,19:00:00,0.00,35.9,0.00,21.7,999.58,978.64,250,12.00,44,26.01,3.7,39.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-18-2019,19:00:00,0.00,29.0,0.00,23.2,1002.41,978.63,000,10.00,71,28.37,0.0,34.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-18-2019,19:00:00,0.00,36.1,0.00,22.7,998.57,965.44,180,10.00,46,27.56,3.7,38.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-18-2019,19:00:00,0.00,34.5,0.00,22.1,999.83,973.22,000,10.00,49,26.60,0.0,39.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-18-2019,19:00:00,0.00,35.5,0.00,21.6,998.75,966.45,000,12.00,45,25.78,0.0,38.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-18-2019,19:00:00,0.00,34.0,0.00,22.4,999.88,981.95,180,12.00,51,27.01,3.7,37.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-18-2019,19:00:00,0.00,32.0,0.00,23.5,1000.41,978.15,000,10.00,61,28.94,0.0,39.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-18-2019,19:00:00,0.00,30.8,0.00,24.1,999.76,970.52,000,12.00,67,29.93,0.0,37.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-18-2019,19:00:00,0.00,38.2,0.00,21.1,998.82,964.94,000,10.00,37,24.97,0.0,38.5
