WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,Rainfall,StationPressure,WindSpeed,RelativeHumidity,LandVisibility,Rainfall24Hr,WindDirection,DewPoint,AirTemperature,MinimumTemperature
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.65,08-03-2019,07:00:00,24.53,0.00,962.22,25.9,77,14.00,0.01,240,20.8,25.2,24.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.60,08-03-2019,07:00:00,25.96,0.00,984.06,7.4,75,10.00,0.00,220,21.7,26.5,26.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1006.13,08-03-2019,07:00:00,28.59,2.20,985.08,9.3,100,6.00,2.30,240,23.3,23.3,23.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.99,08-03-2019,07:00:00,28.97,0.00,1006.56,7.4,86,10.00,1.80,250,23.5,26.0,25.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.67,08-03-2019,07:00:00,30.30,0.00,1004.25,0.0,90,8.00,0.00,000,24.3,26.0,25.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.66,08-03-2019,07:00:00,31.05,0.00,1000.72,0.0,90,8.00,0.00,000,24.7,26.4,26.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.99,08-03-2019,07:00:00,26.56,0.01,1003.69,5.6,77,12.00,0.30,250,22.1,26.4,24.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.00,08-03-2019,07:00:00,27.59,0.00,1005.89,0.0,80,10.00,0.00,000,22.7,26.4,26.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.76,08-03-2019,07:00:00,28.59,0.00,1006.46,7.4,80,9.00,0.01,250,23.3,27.1,26.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.89,08-03-2019,07:00:00,28.84,0.00,1006.21,3.7,82,10.00,0.00,270,23.4,26.8,26.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.78,08-03-2019,07:00:00,29.75,0.00,1006.29,1.9,83,10.00,0.20,300,24.0,27.0,27.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.42,08-03-2019,07:00:00,27.47,0.00,1005.02,20.4,75,10.00,0.80,240,22.6,27.5,27.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.57,08-03-2019,07:00:00,28.95,0.00,1004.90,27.8,75,10.00,0.00,260,23.5,28.3,28.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.50,08-03-2019,07:00:00,28.67,0.00,1000.48,3.7,80,10.00,0.00,270,23.3,27.0,25.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.72,08-03-2019,07:00:00,31.70,0.00,1006.44,0.0,82,10.00,0.00,000,25.0,28.3,26.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.80,08-03-2019,07:00:00,29.49,0.00,1003.68,11.1,77,10.00,0.01,240,23.8,28.3,27.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1007.00,08-03-2019,07:00:00,29.01,0.00,1000.08,7.4,77,10.00,0.00,240,23.5,27.9,27.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.71,08-03-2019,07:00:00,30.34,0.00,1000.11,0.0,87,7.00,0.00,000,24.3,26.6,26.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1007.80,08-03-2019,07:00:00,29.98,0.00,998.50,24.1,81,10.00,0.01,300,24.1,27.7,27.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.15,08-03-2019,07:00:00,29.18,0.10,1006.88,7.4,92,8.00,1.50,230,23.6,25.1,24.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.26,08-03-2019,07:00:00,28.48,1.60,1006.83,5.6,90,11.00,4.20,270,23.2,25.0,24.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.30,08-03-2019,07:00:00,28.69,6.70,995.89,0.0,97,8.00,18.80,000,23.4,23.8,23.2
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.12,08-03-2019,07:00:00,29.42,4.60,1007.40,11.1,94,8.00,7.80,240,23.8,24.8,24.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.15,08-03-2019,07:00:00,29.46,0.00,1005.72,11.1,78,10.00,4.50,240,23.8,28.0,27.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.15,08-03-2019,07:00:00,31.31,0.00,1006.63,22.2,82,10.00,1.20,280,24.8,28.1,27.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.39,08-03-2019,07:00:00,29.15,0.00,1002.24,3.7,80,10.00,0.00,270,23.6,27.4,26.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.28,08-03-2019,07:00:00,32.10,3.00,1006.87,7.4,91,7.00,11.80,240,25.2,26.8,26.0
