WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,WindDirection,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,AirTemperature
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-26-2019,22:00:00,0.0,1013.25,999.99,0.00,000,24.2,83,30.23,10.00,27.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-26-2019,22:00:00,0.0,1014.64,1005.27,0.00,000,25.3,87,32.20,7.00,27.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-26-2019,22:00:00,3.7,1014.87,993.07,0.00,070,22.5,74,27.31,8.00,27.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-26-2019,22:00:00,0.0,1015.51,997.93,0.00,000,25.1,84,31.87,10.00,28.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-26-2019,22:00:00,3.7,1015.09,999.10,0.00,040,20.9,71,24.70,10.00,26.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-26-2019,22:00:00,0.0,1014.03,994.98,0.00,000,24.2,88,30.24,8.00,26.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-26-2019,22:00:00,0.0,1016.14,964.00,0.00,000,20.4,85,23.92,7.00,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-26-2019,22:00:00,0.0,1013.97,1010.01,0.00,000,26.2,85,33.99,3.00,29.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-26-2019,22:00:00,0.0,1016.78,920.36,0.00,000,19.1,93,22.07,6.00,20.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-26-2019,22:00:00,18.5,1014.88,998.77,0.00,080,21.8,73,26.06,10.00,27.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-26-2019,22:00:00,0.0,1014.10,1010.05,0.00,000,25.1,85,31.95,6.00,28.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-26-2019,22:00:00,0.0,1015.58,1004.83,0.00,000,23.6,81,29.04,8.00,27.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-26-2019,22:00:00,0.0,1014.21,1012.28,0.00,000,23.9,79,29.74,6.00,28.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-26-2019,22:00:00,5.6,1014.84,993.83,0.00,350,22.8,78,27.80,10.00,27.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-26-2019,22:00:00,7.4,1014.72,996.87,0.00,050,23.7,86,29.33,10.00,26.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-26-2019,22:00:00,7.4,1014.27,998.05,0.00,030,22.1,70,26.54,10.00,28.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-26-2019,22:00:00,0.0,1014.54,1000.40,0.00,000,21.0,70,24.79,10.00,27.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-26-2019,22:00:00,7.4,1014.84,999.88,0.00,360,21.1,72,25.04,10.00,26.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-26-2019,22:00:00,11.1,1014.87,1000.11,0.00,080,21.3,69,25.32,8.00,27.6
