WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,DewPoint,AirTemperature,LandVisibility,WindDirection,Rainfall24Hr,VaporPressure,WindSpeed,StationPressure,RelativeHumidity
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.61,09-17-2019,22:00:00,0.20,25.9,28.0,10.00,000,1.00,33.37,0.0,1008.33,88
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1007.98,09-17-2019,22:00:00,0.00,25.0,28.3,10.00,000,0.00,31.70,0.0,1004.86,82
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.59,09-17-2019,22:00:00,0.00,25.1,26.0,10.00,000,33.70,31.93,0.0,1001.62,95
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.10,09-17-2019,22:00:00,0.00,25.7,26.7,10.00,000,44.20,33.02,0.0,1003.48,94
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.92,09-17-2019,22:00:00,0.00,24.9,27.1,10.00,310,0.70,31.58,3.7,1007.66,88
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.48,09-17-2019,22:00:00,0.00,23.7,27.9,11.00,300,0.00,29.28,3.7,1008.04,78
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.80,09-17-2019,22:00:00,0.00,23.1,25.5,10.00,000,0.00,28.33,0.0,996.46,87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.21,09-17-2019,22:00:00,0.00,23.8,27.0,10.00,000,0.00,29.48,0.0,1007.50,83
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.85,09-17-2019,22:00:00,0.00,25.2,27.3,10.00,000,9.50,31.97,0.0,1006.41,88
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.78,09-17-2019,22:00:00,0.00,25.7,28.4,10.00,260,0.00,33.04,9.3,1008.27,85
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.62,09-17-2019,22:00:00,0.00,25.2,26.9,9.00,000,27.10,32.02,0.0,1003.46,90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.97,09-17-2019,22:00:00,0.20,25.7,26.6,7.00,000,9.70,33.10,0.0,1008.56,95
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.25,09-17-2019,22:00:00,0.00,25.4,25.8,8.00,000,10.70,32.37,0.0,1006.47,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.13,09-17-2019,22:00:00,0.00,23.1,26.0,10.00,250,0.01,28.18,7.4,1008.34,84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.65,09-17-2019,22:00:00,0.30,23.5,25.0,6.00,000,37.80,29.00,0.0,1009.18,92
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.77,09-17-2019,22:00:00,0.10,24.2,25.1,8.00,000,15.30,30.23,0.0,1009.08,95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.54,09-17-2019,22:00:00,0.00,24.5,25.4,7.00,000,8.20,30.79,0.0,1008.00,95
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.80,09-17-2019,22:00:00,0.00,23.3,24.0,10.00,000,65.70,28.53,0.0,1009.87,96
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.43,09-17-2019,22:00:00,0.01,24.6,26.0,10.00,000,4.40,30.84,0.0,1008.74,92
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.31,09-17-2019,22:00:00,0.00,23.4,23.8,7.00,000,5.70,28.69,0.0,1009.50,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.75,09-17-2019,22:00:00,0.00,22.7,24.9,10.00,000,0.00,27.53,0.0,1009.11,87
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.09,09-17-2019,22:00:00,0.00,23.8,25.0,8.00,000,17.20,29.52,0.0,1009.68,93
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.53,09-17-2019,22:00:00,0.00,23.1,23.7,6.00,000,3.40,28.26,0.0,1007.26,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.49,09-17-2019,22:00:00,0.00,23.1,23.4,10.00,000,8.60,28.25,0.0,1008.86,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.63,09-17-2019,22:00:00,0.00,23.5,24.5,10.00,000,2.20,28.89,0.0,1007.11,94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.30,09-17-2019,22:00:00,0.00,23.7,26.2,8.00,000,0.00,29.33,0.0,1008.94,86
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.36,09-17-2019,22:00:00,0.00,23.8,25.0,10.00,000,0.30,29.52,0.0,1009.46,93
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.23,09-17-2019,22:00:00,0.00,22.6,24.2,10.00,000,1.00,27.34,0.0,1006.63,91
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.09,09-17-2019,22:00:00,0.00,23.9,27.1,10.00,000,2.60,29.66,0.0,1009.66,83
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.85,09-17-2019,22:00:00,0.00,24.1,25.3,9.00,000,27.70,30.07,0.0,1008.85,93
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.63,09-17-2019,22:00:00,0.00,22.7,25.1,10.00,000,15.00,27.62,0.0,1009.81,87
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.64,09-17-2019,22:00:00,0.00,24.3,25.9,10.00,000,0.00,30.38,0.0,1008.82,91
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.34,09-17-2019,22:00:00,0.10,24.4,27.1,10.00,180,0.70,30.48,3.7,1009.58,85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.47,09-17-2019,22:00:00,0.00,24.1,26.4,10.00,120,0.20,29.97,3.7,1006.45,87
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.89,09-17-2019,22:00:00,0.00,24.0,26.2,10.00,000,23.10,29.86,0.0,1010.20,88
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.36,09-17-2019,22:00:00,0.00,23.8,24.5,10.00,000,6.80,29.41,0.0,1009.24,96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.64,09-17-2019,22:00:00,0.00,24.4,26.3,10.00,000,1.80,30.59,0.0,1007.70,89
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.99,09-17-2019,22:00:00,0.00,26.3,27.7,10.00,000,0.00,34.19,0.0,1009.30,92
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.84,09-17-2019,22:00:00,0.00,24.2,26.7,8.00,000,0.00,30.26,0.0,1006.70,86
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.32,09-17-2019,22:00:00,0.00,24.3,27.5,10.00,000,0.00,30.42,0.0,1009.73,83
