WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,StationPressure,Rainfall,VaporPressure,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindSpeed,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-03-2019,22:00:00,0.00,10.00,979.75,0.00,30.02,84,24.1,1010.67,0.0,27.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-03-2019,22:00:00,0.00,8.00,849.07,0.00,19.62,94,17.2,1011.32,5.6,18.2,200
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-03-2019,22:00:00,0.00,12.00,966.96,0.00,26.64,78,22.1,1010.64,0.0,26.3,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-03-2019,22:00:00,0.00,10.00,965.02,0.00,27.81,85,22.8,1010.72,3.7,25.5,220
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-03-2019,22:00:00,0.00,6.00,973.95,0.00,30.42,95,24.3,1011.82,0.0,25.2,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-03-2019,22:00:00,0.00,7.00,966.27,0.00,28.48,90,23.2,1011.64,0.0,25.0,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-03-2019,22:00:00,0.00,7.00,984.98,0.00,31.38,88,24.8,1011.75,0.0,27.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-03-2019,22:00:00,0.00,11.00,989.27,0.00,31.44,90,24.9,1011.10,1.9,26.6,180
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-03-2019,22:00:00,0.00,8.00,987.44,0.00,28.08,77,23.0,1011.56,0.0,27.4,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-03-2019,22:00:00,0.00,10.00,976.35,0.00,27.06,72,22.4,1010.76,0.0,28.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-03-2019,22:00:00,12.00,.00,984.72,0.00,32.36,88,25.4,1012.28,0.0,27.5,000
