WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,RelativeHumidity,WindSpeed,VaporPressure,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall,StationPressure
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,08-20-2019,10:00:00,16.50,28.4,85,11.1,33.04,180,25.7,1007.19,0.00,1001.34
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-20-2019,10:00:00,0.60,33.0,60,9.3,30.40,270,24.3,1007.76,0.00,1006.97
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-20-2019,10:00:00,19.50,30.1,78,13.0,33.38,210,25.9,1007.65,0.00,1007.21
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-20-2019,10:00:00,4.50,27.7,87,0.0,32.20,000,25.3,1008.51,0.00,997.21
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-20-2019,10:00:00,0.00,30.5,72,0.0,31.31,000,24.8,1007.76,0.00,1006.76
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,08-20-2019,10:00:00,11.40,30.5,74,3.7,32.17,230,25.3,1007.56,0.00,1005.75
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,08-20-2019,10:00:00,0.00,29.3,74,3.7,30.04,230,24.1,1007.70,0.00,1006.94
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-20-2019,10:00:00,2.20,31.4,66,9.3,30.28,220,24.3,1008.08,0.00,1007.38
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-20-2019,10:00:00,0.01,31.6,72,0.0,33.32,000,25.9,1007.71,0.00,1007.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-20-2019,10:00:00,0.00,29.5,67,7.4,27.69,280,22.8,1007.10,0.00,986.12
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,08-20-2019,10:00:00,0.20,28.9,76,7.4,30.10,210,24.1,1006.89,0.00,990.29
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.00,08-20-2019,10:00:00,0.00,29.5,75,7.4,30.72,230,24.5,1007.08,0.00,990.78
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-20-2019,10:00:00,0.80,29.1,72,0.0,28.83,000,23.4,1007.19,0.01,985.49
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.00,08-20-2019,10:00:00,14.80,28.5,71,18.5,27.44,240,22.6,1007.17,0.00,964.14
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-20-2019,10:00:00,0.00,30.7,64,14.8,28.34,250,23.1,1006.61,0.00,986.31
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,08-20-2019,10:00:00,0.00,30.0,79,14.8,33.46,240,25.9,1008.51,0.00,987.87
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-20-2019,10:00:00,0.00,31.2,65,11.1,29.32,210,23.7,1008.13,0.00,1007.70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,08-20-2019,10:00:00,0.60,29.1,81,0.0,32.46,000,25.4,1007.65,0.00,1006.24
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,08-20-2019,10:00:00,0.00,29.6,83,0.0,34.37,000,26.4,1007.59,0.00,1002.70
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,11.00,08-20-2019,10:00:00,0.40,31.5,68,11.1,31.64,210,25.0,1007.62,0.00,1004.37
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-20-2019,10:00:00,0.00,31.2,70,3.7,31.89,220,25.1,1007.98,0.00,1006.89
