WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,Rainfall,LandVisibility,WindDirection,WindSpeed,Rainfall24Hr,DewPoint,AirTemperature,RelativeHumidity,MinimumTemperature,VaporPressure
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.75,08-12-2019,07:00:00,1007.48,0.00,10.00,140,7.4,0.30,24.6,26.0,92,25.3,30.84
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.45,08-12-2019,07:00:00,1004.47,0.10,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1.00,24.9,25.8,95,23.9,31.55
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.80,08-12-2019,07:00:00,1005.78,0.00,8.00,000,0.0,2.20,24.4,25.7,93,24.8,30.54
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.94,08-12-2019,07:00:00,1006.05,0.00,8.00,120,7.4,13.60,23.7,26.2,86,25.0,29.33
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.36,08-12-2019,07:00:00,1007.09,0.00,8.00,000,0.0,6.50,23.4,26.0,85,25.7,28.70
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,877.38,08-12-2019,07:00:00,1013.24,2.80,.10,260,3.7,34.80,19.2,19.4,99,19.0,22.28
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.78,08-12-2019,07:00:00,1005.68,0.00,7.00,000,0.0,21.00,24.9,25.2,98,24.0,31.49
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.96,08-12-2019,07:00:00,1005.76,0.00,8.00,000,0.0,0.01,25.7,26.8,94,26.2,32.94
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.37,08-12-2019,07:00:00,1005.82,0.00,10.00,210,7.4,0.00,24.4,28.0,81,28.0,30.56
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.03,08-12-2019,07:00:00,1006.45,0.60,3.00,000,0.0,54.20,23.4,23.8,97,23.5,28.69
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.97,08-12-2019,07:00:00,1005.99,0.00,10.00,180,3.7,7.90,24.8,25.8,94,25.2,31.27
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.99,08-12-2019,07:00:00,1005.82,0.00,7.00,000,0.0,9.00,25.3,26.0,96,25.4,32.20
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.85,08-12-2019,07:00:00,1005.62,0.00,8.00,000,0.0,18.90,24.3,25.0,96,24.5,30.32
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.45,08-12-2019,07:00:00,1006.15,0.00,10.00,180,9.3,0.40,24.5,27.4,84,26.2,30.78
