WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,VaporPressure,LandVisibility,AirTemperature,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,WindSpeed,StationPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,70,08-13-2019,16:00:00,0.00,32.10,12.00,31.3,0.01,25.2,1004.19,0.0,973.89,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,87,08-13-2019,16:00:00,0.00,23.62,8.00,22.5,28.30,20.2,1002.55,29.6,843.80,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,71,08-13-2019,16:00:00,0.00,30.42,10.00,30.2,44.60,24.3,1004.34,7.4,961.47,180
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,72,08-13-2019,16:00:00,0.00,29.60,15.00,29.5,20.40,23.9,1004.24,0.0,959.41,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,88,08-13-2019,16:00:00,0.40,33.08,10.00,28.0,45.60,25.7,1005.59,5.6,968.29,200
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,60,08-13-2019,16:00:00,0.00,28.66,12.00,32.0,3.80,23.3,1004.31,5.6,960.27,120
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,78,08-13-2019,16:00:00,0.10,32.75,10.00,29.8,9.90,25.6,1005.75,0.0,979.39,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,67,08-13-2019,16:00:00,0.00,30.13,12.00,30.9,2.60,24.2,1005.73,3.7,984.33,180
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,71,08-13-2019,16:00:00,1.10,30.31,10.00,30.0,7.40,24.3,1005.81,0.0,982.03,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,62,08-13-2019,16:00:00,0.00,29.51,10.00,32.0,5.00,23.8,1004.65,3.7,970.88,180
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,68,08-13-2019,16:00:00,0.00,30.53,10.00,31.1,0.00,24.4,1005.37,0.0,978.32,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,67,08-13-2019,16:00:00,0.00,30.57,10.00,31.4,20.10,24.4,1004.81,7.4,971.89,240
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,81,08-13-2019,16:00:00,0.50,33.29,5.00,29.5,2.00,25.8,1005.42,5.6,987.13,210
