WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,Rainfall,WindSpeed,VaporPressure,LandVisibility,MeanSeaLevelPressure,DewPoint,StationPressure,MinimumTemperature,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,91,09-16-2019,07:00:00,1.10,0.00,0.0,26.42,10.00,1008.42,22.0,977.20,23.4,23.5,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,89,09-16-2019,07:00:00,0.00,0.00,3.7,19.21,8.00,1007.65,16.9,846.23,17.7,18.7,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,91,09-16-2019,07:00:00,0.00,0.00,3.7,26.09,10.00,1009.16,21.8,965.12,23.0,23.3,340
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,95,09-16-2019,07:00:00,0.00,0.00,0.0,25.37,13.00,1009.07,21.3,962.93,21.4,22.1,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,99,09-16-2019,07:00:00,0.00,0.00,0.0,26.99,10.00,1009.39,22.3,971.27,21.9,22.5,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,98,09-16-2019,07:00:00,0.00,0.00,0.0,28.60,.20,1008.79,23.3,963.34,22.8,23.6,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,96,09-16-2019,07:00:00,0.00,0.00,0.0,28.35,.60,1009.55,23.2,982.56,23.5,23.9,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,97,09-16-2019,07:00:00,0.00,0.00,0.0,29.13,7.00,1008.11,23.6,986.18,23.8,24.2,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,09-16-2019,07:00:00,0.00,0.00,0.0,29.00,6.00,1008.58,23.5,984.34,22.6,25.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,91,09-16-2019,07:00:00,1.20,0.00,0.0,26.25,10.00,1008.66,21.9,973.79,23.2,23.4,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,97,09-16-2019,07:00:00,0.00,0.00,0.0,27.16,7.00,1010.04,22.4,982.12,22.2,22.9,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,98,09-16-2019,07:00:00,28.20,0.00,0.0,27.57,10.00,1008.77,22.7,974.80,23.0,23.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,09-16-2019,07:00:00,17.80,0.00,0.0,28.53,10.00,1008.13,23.3,989.45,23.6,24.0,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,97,09-16-2019,07:00:00,0.00,0.00,0.0,28.78,6.00,1008.67,23.4,985.63,23.6,24.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,91,09-16-2019,07:00:00,0.00,0.00,0.0,27.00,10.00,1008.63,22.4,978.47,23.0,24.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,95,09-16-2019,07:00:00,1.60,0.00,0.0,25.21,8.00,1008.77,21.2,972.72,22.0,22.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,98,09-16-2019,07:00:00,0.00,0.00,0.0,26.25,3.00,1008.27,21.9,978.11,22.0,22.2,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,91,09-16-2019,07:00:00,0.00,0.00,0.0,28.11,10.00,1007.56,23.0,1000.19,24.2,24.5,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,88,09-16-2019,07:00:00,0.00,0.00,7.4,30.43,10.00,1007.99,24.3,988.05,26.0,26.5,340
48353,LOEI,เลย,เลย,17.45000,101.73333,96,09-16-2019,07:00:00,3.50,0.00,3.7,26.83,3.00,1008.55,22.2,979.51,22.6,23.0,330
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,91,09-16-2019,07:00:00,0.00,0.00,0.0,29.28,9.00,1008.36,23.7,988.07,24.6,25.3,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,09-16-2019,07:00:00,0.00,0.00,0.0,29.26,12.00,1008.52,23.7,986.63,24.1,25.0,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,96,09-16-2019,07:00:00,0.00,0.00,0.0,31.25,15.00,1007.60,24.8,988.02,24.9,25.5,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,87,09-16-2019,07:00:00,9.20,0.00,0.0,28.51,8.00,1008.38,23.2,991.54,24.4,25.6,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,88,09-16-2019,07:00:00,0.00,0.00,0.0,28.59,8.00,1008.98,23.3,991.46,22.7,25.5,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,96,09-16-2019,07:00:00,0.00,0.00,5.6,28.53,10.00,1007.10,23.3,981.08,23.7,24.0,270
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,98,09-16-2019,07:00:00,0.00,0.00,0.0,32.65,10.00,1007.62,25.5,1001.80,24.8,25.8,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,98,09-16-2019,07:00:00,1.00,0.00,0.0,31.12,8.00,1007.49,24.7,1001.26,24.6,25.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,91,09-16-2019,07:00:00,0.00,0.00,0.0,26.42,12.00,1008.83,22.0,992.18,23.0,23.5,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,94,09-16-2019,07:00:00,0.00,0.00,0.0,29.97,10.00,1006.24,24.1,983.80,24.2,25.1,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,95,09-16-2019,07:00:00,0.40,0.00,0.0,30.98,6.00,1008.18,24.6,993.71,24.8,25.5,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,85,09-16-2019,07:00:00,0.00,0.00,0.0,27.81,12.00,1007.96,22.8,991.49,25.0,25.5,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,97,09-16-2019,07:00:00,29.80,0.00,0.0,31.71,10.00,1008.21,25.0,1002.95,24.4,25.6,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,91,09-16-2019,07:00:00,1.40,0.00,0.0,28.11,12.00,1006.63,23.0,993.33,23.7,24.5,000
