WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,LandVisibility,Rainfall24Hr,VaporPressure,WindSpeed,AirTemperature
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-14-2019,10:00:00,992.87,1009.27,24.3,000,80,10.00,0.00,30.40,0.0,28.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,08-14-2019,10:00:00,986.39,1008.79,24.1,150,87,8.00,9.60,29.97,3.7,26.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-14-2019,10:00:00,995.81,1010.19,23.6,300,77,8.00,8.20,29.19,7.4,28.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-14-2019,10:00:00,992.59,1008.79,24.8,000,71,12.00,1.00,31.35,0.0,30.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-14-2019,10:00:00,1003.92,1009.11,25.9,180,79,10.00,1.80,33.33,9.3,29.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-14-2019,10:00:00,994.41,1007.50,25.3,210,78,10.00,0.20,32.34,3.7,29.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-14-2019,10:00:00,999.80,1009.08,26.2,250,85,11.00,33.20,33.99,1.9,29.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-14-2019,10:00:00,986.77,1008.34,24.7,220,78,9.00,1.30,31.13,3.7,29.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-14-2019,10:00:00,991.09,1008.45,25.0,230,75,12.00,0.20,31.72,14.8,30.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-14-2019,10:00:00,990.72,1006.49,25.1,240,85,12.00,2.20,31.95,3.7,28.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-14-2019,10:00:00,988.62,1007.40,24.5,000,78,8.00,1.20,30.82,0.0,28.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-14-2019,10:00:00,959.96,1011.52,23.5,000,92,10.00,15.00,29.00,0.0,25.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-14-2019,10:00:00,1004.93,1008.84,25.5,000,74,8.00,0.80,32.59,0.0,30.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.60,08-14-2019,10:00:00,914.75,1010.14,21.2,250,98,.10,4.40,25.15,14.8,21.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.20,08-14-2019,10:00:00,992.44,1008.42,25.8,240,91,8.00,3.40,33.29,5.6,27.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-14-2019,10:00:00,1004.94,1008.93,25.7,000,73,10.00,0.10,33.06,0.0,31.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-14-2019,10:00:00,999.97,1010.58,25.0,180,75,7.00,3.00,31.60,3.7,29.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.01,08-14-2019,10:00:00,1007.86,1009.77,25.3,180,74,12.00,0.80,32.26,18.5,30.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-14-2019,10:00:00,987.90,1008.72,24.3,300,80,10.00,0.70,30.28,5.6,28.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-14-2019,10:00:00,990.65,1008.29,25.1,240,85,10.00,2.40,31.84,7.4,27.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.10,08-14-2019,10:00:00,992.05,1008.18,25.1,230,85,8.00,2.90,31.95,11.1,28.0
