WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,Rainfall24Hr,AirTemperature,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall,StationPressure,LandVisibility
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.9,08-12-2019,10:00:00,180,18.00,29.8,5.6,1008.85,79,33.33,0.00,1008.42,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.0,08-12-2019,10:00:00,210,11.60,26.7,11.1,1009.28,90,31.63,1.00,996.98,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.2,08-12-2019,10:00:00,260,11.60,28.8,5.6,1008.84,76,30.18,0.00,1008.13,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.8,08-12-2019,10:00:00,220,11.00,31.0,11.1,1008.20,66,29.48,0.00,1005.79,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.5,08-12-2019,10:00:00,240,0.01,30.0,16.7,1009.26,77,32.59,0.00,1008.74,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.0,08-12-2019,10:00:00,220,1.30,30.2,7.4,1008.95,70,29.86,0.00,1003.84,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.4,08-12-2019,10:00:00,220,4.50,31.0,9.3,1008.60,72,32.34,0.00,1008.19,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.5,08-12-2019,10:00:00,230,8.20,29.5,5.6,1009.27,79,32.71,0.00,1006.52,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.8,08-12-2019,10:00:00,180,8.50,30.0,13.0,1009.25,78,33.17,0.00,1008.47,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.5,08-12-2019,10:00:00,180,88.40,25.9,5.6,1009.94,97,32.56,42.20,1009.48,3.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.5,08-12-2019,10:00:00,000,15.50,29.6,0.0,1009.88,79,32.63,0.00,1009.20,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.0,08-12-2019,10:00:00,220,13.60,28.0,3.7,1009.65,89,33.66,0.00,1008.12,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.8,08-12-2019,10:00:00,190,78.10,27.0,5.6,1010.47,88,31.38,0.50,1009.55,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.8,08-12-2019,10:00:00,180,7.40,29.8,5.6,1009.95,75,31.32,0.00,1009.27,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.9,08-12-2019,10:00:00,210,5.20,29.7,7.4,1010.38,80,33.41,0.00,1009.59,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.1,08-12-2019,10:00:00,150,0.00,32.0,11.1,1009.89,63,30.08,0.00,1009.27,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.5,08-12-2019,10:00:00,200,7.30,31.0,11.1,1010.31,73,32.63,0.00,1009.91,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.3,08-12-2019,10:00:00,270,0.01,30.5,7.4,1011.70,70,30.46,0.00,1007.52,8.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.4,08-12-2019,10:00:00,000,32.20,28.5,0.0,1009.81,74,28.78,0.00,1008.21,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.9,08-12-2019,10:00:00,000,11.20,30.3,0.0,1010.12,73,31.48,0.00,1006.67,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.8,08-12-2019,10:00:00,120,0.01,30.8,7.4,1010.22,71,31.35,0.00,1008.87,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.1,08-12-2019,10:00:00,240,17.70,29.2,9.3,1009.93,83,33.83,0.00,1009.05,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.8,08-12-2019,10:00:00,000,23.40,29.8,0.0,1010.73,75,31.32,0.00,1007.19,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.6,08-12-2019,10:00:00,270,3.20,31.0,3.7,1009.95,65,29.20,0.00,1009.52,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.1,08-12-2019,10:00:00,000,27.20,31.5,0.0,1009.60,69,31.93,0.00,1008.62,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.1,08-12-2019,10:00:00,000,8.40,31.1,0.0,1010.48,75,33.73,0.00,1009.67,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.6,08-12-2019,10:00:00,200,5.80,30.4,9.3,1010.61,76,32.84,0.00,1008.81,12.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.6,08-12-2019,10:00:00,170,0.00,31.1,7.4,1010.41,64,29.12,0.00,1009.66,12.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.2,08-12-2019,10:00:00,230,3.00,26.7,11.1,1010.91,86,30.26,0.20,1006.90,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.7,08-12-2019,10:00:00,000,1.60,26.6,0.0,1010.89,84,29.27,0.80,1010.20,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.2,08-12-2019,10:00:00,190,4.20,29.5,5.6,1011.17,78,32.13,0.00,1010.06,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.1,08-12-2019,10:00:00,000,0.80,28.0,0.0,1010.14,85,31.95,0.20,1007.22,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,26.1,08-12-2019,10:00:00,000,0.00,29.1,0.0,1010.91,84,33.91,0.00,1010.22,7.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.2,08-12-2019,10:00:00,230,0.10,28.7,9.3,1011.21,77,30.26,0.01,1007.09,6.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,25.6,08-12-2019,10:00:00,250,19.30,27.0,13.0,1010.64,92,32.77,0.60,1010.05,10.00
