WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,StationPressure,DewPoint,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,VaporPressure,Rainfall,AirTemperature,RelativeHumidity
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,09-29-2019,10:00:00,010,1000.40,24.2,1015.03,10.00,0.00,30.22,0.00,30.1,71
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-29-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1011.38,24.9,1014.39,8.00,0.00,31.51,0.00,30.6,72
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-29-2019,10:00:00,000,1006.88,23.2,1014.78,10.00,0.00,28.40,0.00,31.3,62
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,09-29-2019,10:00:00,030,1013.78,23.4,1014.88,8.00,0.00,28.74,0.00,31.9,61
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-29-2019,10:00:00,000,999.84,21.4,1014.49,8.00,0.00,25.42,0.00,30.0,60
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,3.7,09-29-2019,10:00:00,020,879.28,19.4,1013.18,8.00,0.00,22.55,0.00,24.1,75
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,09-29-2019,10:00:00,070,1009.27,22.7,1015.13,7.00,0.00,27.57,0.00,30.3,64
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.3,09-29-2019,10:00:00,050,1013.68,22.9,1014.47,8.00,0.00,27.84,0.00,33.0,55
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,09-29-2019,10:00:00,140,1013.59,22.3,1014.04,8.00,0.00,26.91,0.00,32.1,56
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-29-2019,10:00:00,000,1004.20,23.5,1015.51,6.00,0.00,28.94,0.00,29.3,71
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,09-29-2019,10:00:00,020,1013.79,22.3,1014.79,8.00,0.00,26.91,0.00,32.1,56
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,09-29-2019,10:00:00,070,1012.69,21.9,1014.50,8.00,0.00,26.23,0.00,31.6,56
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-29-2019,10:00:00,000,1013.70,22.1,1014.46,9.00,0.00,26.56,0.00,31.2,58
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,11.1,09-29-2019,10:00:00,360,1013.30,20.8,1014.00,9.00,0.00,24.50,0.00,32.4,50
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,09-29-2019,10:00:00,180,1012.53,24.5,1013.23,7.00,0.00,30.73,0.00,31.2,68
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.4,09-29-2019,10:00:00,060,993.82,21.7,1014.97,8.00,0.00,25.91,0.00,29.4,63
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,09-29-2019,10:00:00,040,997.54,23.0,1014.25,8.00,0.00,28.12,0.00,29.3,69
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.1,09-29-2019,10:00:00,040,998.22,22.8,1014.65,8.00,0.00,27.67,0.00,29.2,68
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,3.7,09-29-2019,10:00:00,040,992.98,22.8,1014.81,5.00,0.00,27.80,0.00,29.7,67
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,13.0,09-29-2019,10:00:00,080,971.06,20.6,1014.39,4.00,0.00,24.24,0.00,28.6,62
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.6,09-29-2019,10:00:00,050,993.91,22.8,1014.43,12.00,0.00,27.71,0.00,29.8,66
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,14.8,09-29-2019,10:00:00,040,995.31,23.3,1016.24,7.00,0.00,28.57,0.00,28.1,75
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,09-29-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1013.90,22.9,1014.33,10.00,0.00,27.87,0.00,31.6,60
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.6,09-29-2019,10:00:00,070,1012.24,22.4,1013.65,11.00,0.00,27.14,0.00,30.5,62
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,3.7,09-29-2019,10:00:00,090,1009.37,25.0,1014.27,12.00,0.00,31.72,0.00,31.4,69
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,09-29-2019,10:00:00,110,1011.47,23.2,1014.73,7.00,0.00,28.51,0.00,31.5,62
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-29-2019,10:00:00,000,1013.44,22.3,1014.54,10.00,0.00,26.86,0.00,31.5,58
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.3,09-29-2019,10:00:00,090,1013.71,21.5,1014.01,10.00,0.00,25.60,0.00,32.7,52
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,3.7,09-29-2019,10:00:00,080,1013.48,23.6,1014.16,10.00,0.00,29.09,0.00,32.5,59
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,09-29-2019,10:00:00,320,1013.90,23.9,1014.38,10.00,0.00,29.66,0.00,32.5,61
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.3,09-29-2019,10:00:00,020,1012.81,21.6,1014.21,9.00,0.00,25.80,0.00,31.8,55
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,11.1,09-29-2019,10:00:00,030,1012.43,23.8,1014.10,7.00,0.00,29.40,0.00,31.1,65
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,5.6,09-29-2019,10:00:00,050,1007.88,23.7,1015.84,10.00,0.00,29.35,0.00,31.5,64
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,9.3,09-29-2019,10:00:00,120,1013.77,23.4,1014.05,12.00,0.00,28.82,0.00,31.8,61
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,7.4,09-29-2019,10:00:00,250,1010.53,24.5,1013.65,12.00,0.00,30.74,0.00,30.5,70
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,09-29-2019,10:00:00,270,1006.99,23.8,1013.88,8.00,0.00,29.40,0.00,31.1,65
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-29-2019,10:00:00,000,1008.90,24.6,1014.45,8.00,0.00,30.94,0.00,32.0,65
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.0,09-29-2019,10:00:00,000,1005.55,24.7,1014.82,2.00,0.00,31.03,0.00,30.5,71
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,09-29-2019,10:00:00,010,1013.39,24.2,1014.65,6.00,0.00,30.22,0.00,30.1,71
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,13.0,09-29-2019,10:00:00,030,1013.73,23.8,1014.16,11.00,0.00,29.51,0.00,32.0,62
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,5.6,09-29-2019,10:00:00,310,1002.23,22.7,1014.52,10.00,0.00,27.61,0.00,28.3,72
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,9.3,09-29-2019,10:00:00,310,1013.33,24.0,1014.04,7.00,0.00,29.89,0.00,30.5,68
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,09-29-2019,10:00:00,360,1011.60,24.0,1014.01,6.00,0.00,29.91,0.00,32.2,62
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.4,09-29-2019,10:00:00,140,1013.67,25.0,1014.19,8.00,0.00,31.60,0.00,30.5,72
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,5.6,09-29-2019,10:00:00,020,1008.85,22.3,1013.96,11.00,0.00,26.86,0.00,31.5,58
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,09-29-2019,10:00:00,000,1013.81,24.8,1014.23,8.00,0.00,31.25,0.00,29.2,77
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-29-2019,10:00:00,000,1011.37,26.3,1014.14,8.00,34.20,34.15,0.00,28.8,86
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-29-2019,10:00:00,000,1013.27,24.6,1014.07,6.00,1.40,30.84,1.20,26.0,92
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,09-29-2019,10:00:00,260,1013.33,27.0,1013.78,8.00,19.00,35.72,0.00,30.5,82
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,09-29-2019,10:00:00,000,1013.27,25.0,1013.95,7.00,3.10,31.72,0.00,30.7,72
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.4,09-29-2019,10:00:00,030,1012.12,25.1,1013.64,8.00,2.40,31.84,0.00,30.2,74
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,5.6,09-29-2019,10:00:00,020,1012.71,23.6,1013.62,10.00,5.00,29.07,0.00,31.5,63
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.4,09-29-2019,10:00:00,120,1013.30,25.6,1013.98,10.00,5.10,32.79,0.00,29.4,80
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,7.4,09-29-2019,10:00:00,320,1013.48,24.9,1014.27,10.00,9.90,31.54,0.00,28.5,81
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,09-29-2019,10:00:00,000,1013.05,25.7,1013.68,10.00,37.10,33.00,0.00,30.2,77
