WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,LandVisibility,WindSpeed,VaporPressure,WindDirection,DewPoint,Rainfall24Hr,AirTemperature,StationPressure,RelativeHumidity
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-03-2019,01:00:00,1004.56,12.00,5.6,28.53,330,23.3,29.30,24.0,975.73,96
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-03-2019,01:00:00,1003.58,14.00,11.1,29.79,270,24.0,60.90,25.0,983.36,94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.50,09-03-2019,01:00:00,1003.64,8.00,0.0,29.00,000,23.5,48.20,25.0,981.86,92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.80,09-03-2019,01:00:00,1002.70,8.00,0.0,29.61,000,23.9,29.30,24.9,983.17,94
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,2.90,09-03-2019,01:00:00,1002.56,10.00,0.0,30.23,000,24.2,14.80,25.1,985.79,95
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.50,09-03-2019,01:00:00,1004.31,10.00,0.0,30.22,000,24.2,22.00,24.8,986.83,97
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-03-2019,01:00:00,1002.97,10.00,0.0,29.41,000,23.8,9.00,24.5,977.10,96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,2.50,09-03-2019,01:00:00,1006.37,8.00,0.0,32.62,000,25.5,6.30,25.5,1000.56,100
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,3.00,09-03-2019,01:00:00,1007.22,7.00,0.0,31.12,000,24.7,8.40,25.0,1000.99,98
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1.20,09-03-2019,01:00:00,1006.20,8.00,0.0,29.41,000,23.8,16.80,24.5,989.65,96
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.50,09-03-2019,01:00:00,1007.07,6.00,5.6,28.53,240,23.3,28.60,24.0,984.53,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,2.20,09-03-2019,01:00:00,1007.54,5.00,5.6,27.93,280,22.9,3.90,26.3,993.12,82
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.00,09-03-2019,01:00:00,1006.66,7.00,0.0,29.41,000,23.8,5.00,24.5,990.15,96
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.20,09-03-2019,01:00:00,1007.01,10.00,0.0,30.87,000,24.6,4.60,25.3,1001.75,96
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.40,09-03-2019,01:00:00,1005.24,8.00,0.0,29.41,000,23.8,11.20,24.5,991.96,96
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,09-03-2019,01:00:00,1006.58,11.00,0.0,31.41,000,24.9,0.10,26.3,997.24,92
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-03-2019,01:00:00,1004.11,8.00,5.6,29.93,260,24.1,102.80,24.5,982.31,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-03-2019,01:00:00,1004.39,7.00,3.7,29.00,200,23.5,55.20,25.0,986.82,92
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,8.00,09-03-2019,01:00:00,1001.46,8.00,3.7,29.41,310,23.8,29.80,24.5,985.59,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-03-2019,01:00:00,1002.81,8.00,0.0,30.58,000,24.4,64.40,25.0,983.89,97
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,2.50,09-03-2019,01:00:00,1007.38,5.00,0.0,26.09,000,21.8,12.90,23.0,955.69,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.50,09-03-2019,01:00:00,1006.53,5.00,3.7,31.25,110,24.8,25.40,25.5,1002.56,96
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.40,09-03-2019,01:00:00,1007.84,.30,9.3,22.91,230,19.7,8.40,20.0,912.21,98
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-03-2019,01:00:00,1003.53,6.00,0.0,30.93,000,24.6,34.60,24.9,987.49,98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.80,09-03-2019,01:00:00,1006.81,8.00,0.0,31.25,000,24.8,7.50,25.5,1002.76,96
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.20,09-03-2019,01:00:00,1007.78,7.00,0.0,29.95,000,24.1,14.00,24.8,997.02,96
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.70,09-03-2019,01:00:00,1007.28,8.00,0.0,30.44,000,24.3,7.80,25.5,1005.34,93
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-03-2019,01:00:00,1004.86,10.00,13.0,27.68,240,22.8,14.40,24.1,983.84,92
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-03-2019,01:00:00,1003.17,10.00,11.1,29.00,290,23.5,59.90,25.0,985.46,92
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-03-2019,01:00:00,1002.84,10.00,5.6,30.32,240,24.3,63.70,25.0,986.65,96
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.40,09-03-2019,01:00:00,1002.74,10.00,11.1,29.49,260,23.8,107.10,24.4,988.65,97
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,4.20,09-03-2019,01:00:00,1004.01,8.00,0.0,29.75,000,24.0,101.40,24.4,989.10,97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-03-2019,01:00:00,1003.82,4.00,22.2,29.36,240,23.7,32.90,25.2,989.11,92
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.70,09-03-2019,01:00:00,1006.87,8.00,0.0,32.12,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.2,3.50,26.1,1003.85,95
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.00,09-03-2019,01:00:00,1006.81,7.00,0.0,28.79,000,23.4,37.60,24.3,998.79,95
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.80,09-03-2019,01:00:00,1007.12,5.00,5.6,30.63,220,24.4,11.40,25.6,1006.01,93
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-03-2019,01:00:00,1004.20,8.00,0.0,26.84,000,22.3,55.10,24.5,989.43,87
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,26.80,09-03-2019,01:00:00,1007.86,.10,9.3,21.33,270,18.5,45.20,18.7,872.43,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.80,09-03-2019,01:00:00,1007.30,7.00,0.0,30.20,000,24.2,46.00,24.5,1001.37,98
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1.20,09-03-2019,01:00:00,1009.20,7.00,3.7,31.38,240,24.8,2.20,27.0,1008.40,88
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.70,09-03-2019,01:00:00,1007.42,5.00,11.1,30.84,230,24.6,3.70,26.0,1006.97,92
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.50,09-03-2019,01:00:00,1008.45,3.00,0.0,29.93,000,24.1,20.50,24.5,997.04,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,2.60,09-03-2019,01:00:00,1007.42,10.00,0.0,31.63,000,25.0,3.40,25.7,1006.40,96
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.40,09-03-2019,01:00:00,1007.09,6.00,0.0,31.04,000,24.7,10.00,25.1,1005.25,97
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1.20,09-03-2019,01:00:00,1007.04,6.00,0.0,29.08,000,23.6,1.20,24.9,1006.27,92
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,4.00,09-03-2019,01:00:00,1007.85,9.00,5.6,28.64,260,23.3,4.20,24.8,1007.14,92
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,8.60,09-03-2019,01:00:00,1007.20,6.00,5.6,31.17,280,24.7,12.20,25.6,1006.49,95
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.70,09-03-2019,01:00:00,1006.31,6.00,9.3,28.01,260,23.0,42.20,23.7,984.94,96
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-03-2019,01:00:00,1004.81,6.00,7.4,28.89,210,23.5,21.90,24.5,987.99,94
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.30,09-03-2019,01:00:00,1005.04,5.00,11.1,28.47,270,23.2,20.70,24.7,988.51,92
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,13.60,09-03-2019,01:00:00,1006.55,4.00,16.7,28.70,260,23.4,36.30,24.1,984.50,96
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.00,09-03-2019,01:00:00,1007.78,4.00,14.8,26.41,240,22.0,31.80,23.2,963.97,93
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.80,09-03-2019,01:00:00,1006.29,3.00,11.1,28.77,240,23.4,22.80,23.7,985.52,98
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-03-2019,01:00:00,1005.89,7.00,16.7,29.29,240,23.7,16.80,23.7,984.87,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.30,09-03-2019,01:00:00,1008.07,10.00,3.7,31.27,220,24.8,0.30,26.8,1007.64,89
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.20,09-03-2019,01:00:00,1007.17,6.00,0.0,30.96,000,24.6,12.10,25.2,1005.75,97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1.00,09-03-2019,01:00:00,1006.72,7.00,0.0,30.48,000,24.4,6.60,24.8,1001.75,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.30,09-03-2019,01:00:00,1007.60,10.00,0.0,30.84,000,24.6,0.70,26.0,1004.30,92
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,4.60,09-03-2019,01:00:00,1007.62,5.00,0.0,31.41,000,24.9,4.60,25.3,1006.50,97
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,3.50,09-03-2019,01:00:00,1007.89,6.00,3.7,30.46,320,24.3,3.50,25.8,1007.59,92
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-03-2019,01:00:00,1006.84,10.00,0.0,28.78,000,23.4,0.00,27.2,1006.35,80
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,4.60,09-03-2019,01:00:00,1007.78,8.00,13.0,31.06,240,24.7,4.80,25.4,1006.37,96
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,8.00,09-03-2019,01:00:00,1009.23,10.00,0.0,29.69,000,23.9,15.40,24.8,1001.15,95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.80,09-03-2019,01:00:00,1007.69,6.00,0.0,30.84,000,24.6,2.80,26.0,1007.40,92
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,3.60,09-03-2019,01:00:00,1007.89,10.00,0.0,29.19,000,23.6,3.60,25.4,1004.73,90
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.60,09-03-2019,01:00:00,1008.24,10.00,5.6,30.84,270,24.6,1.40,26.0,1001.27,92
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.60,09-03-2019,01:00:00,1007.65,7.00,3.7,30.32,280,24.3,25.50,25.0,1002.01,96
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,09-03-2019,01:00:00,1008.68,10.00,0.0,31.25,000,24.8,0.10,25.5,1007.41,96
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.20,09-03-2019,01:00:00,1008.02,8.00,3.7,30.43,020,24.3,0.20,26.5,1007.59,88
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-03-2019,01:00:00,1008.38,10.00,0.0,28.44,000,23.2,0.30,24.1,995.99,95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-03-2019,01:00:00,1008.25,10.00,0.0,29.41,000,23.8,0.01,26.1,1007.53,87
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1.00,09-03-2019,01:00:00,1007.91,7.00,7.4,29.19,240,23.6,3.20,28.0,1005.48,77
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.20,09-03-2019,01:00:00,1008.08,8.00,9.3,30.97,300,24.6,0.30,27.5,1007.56,84
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.80,09-03-2019,01:00:00,1008.07,7.00,0.0,30.30,000,24.3,1.10,26.0,1002.89,90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.30,09-03-2019,01:00:00,1007.34,6.00,5.6,31.00,180,24.6,9.50,25.8,1006.92,93
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,3.60,09-03-2019,01:00:00,1008.15,8.00,0.0,30.96,000,24.6,14.40,25.2,1005.37,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.40,09-03-2019,01:00:00,1009.22,6.00,0.0,27.35,000,22.6,3.40,24.5,1008.43,89
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.20,09-03-2019,01:00:00,1007.84,5.00,7.4,31.30,280,24.8,6.70,26.1,1007.38,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-03-2019,01:00:00,1009.11,8.00,0.0,30.54,000,24.4,2.60,25.7,1008.42,93
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-03-2019,01:00:00,1009.19,8.00,0.0,29.64,000,23.9,1.00,26.8,1007.65,84
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-03-2019,01:00:00,1009.88,10.00,3.7,31.91,200,25.1,0.00,26.7,1008.97,91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-03-2019,01:00:00,1009.33,10.00,0.0,30.26,000,24.2,0.01,27.7,1008.64,81
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-03-2019,01:00:00,1009.97,8.00,0.0,29.93,000,24.1,0.00,24.5,1009.17,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-03-2019,01:00:00,1009.05,10.00,0.0,30.76,000,24.5,0.00,26.1,1008.41,91
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-03-2019,01:00:00,1008.37,10.00,7.4,31.00,190,24.6,0.00,25.8,1007.96,93
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-03-2019,01:00:00,1011.15,6.00,0.0,29.01,000,23.5,0.01,25.3,1006.90,90
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-03-2019,01:00:00,1008.71,8.00,0.0,30.32,000,24.3,8.20,25.0,1007.09,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-03-2019,01:00:00,1009.87,6.00,0.0,30.32,000,24.3,0.50,25.0,1006.36,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-03-2019,01:00:00,1009.58,7.00,0.0,31.05,000,24.7,0.00,26.4,1008.22,90
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-03-2019,01:00:00,1010.20,10.00,0.0,31.65,000,25.0,0.00,26.0,1009.31,94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-03-2019,01:00:00,1009.88,10.00,0.0,30.50,000,24.4,0.00,25.1,1006.29,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-03-2019,01:00:00,1009.52,10.00,0.0,32.21,000,25.3,0.00,27.0,1009.09,90
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-03-2019,01:00:00,1009.47,10.00,0.0,31.52,000,24.9,0.00,25.5,1008.47,97
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-03-2019,01:00:00,1009.09,10.00,0.0,30.17,000,24.2,0.00,25.5,1008.27,93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-03-2019,01:00:00,1009.89,10.00,0.0,31.30,000,24.8,0.00,26.1,1008.06,93
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-03-2019,01:00:00,1009.47,10.00,7.4,29.33,260,23.7,0.00,27.5,1008.71,80
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-03-2019,01:00:00,1009.87,10.00,0.0,29.82,000,24.0,0.00,25.6,1005.84,91
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-03-2019,01:00:00,1009.56,10.00,0.0,28.83,000,23.4,0.50,25.2,1008.87,90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-03-2019,01:00:00,1009.45,10.00,0.0,29.82,000,24.0,0.00,25.6,1008.33,91
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-03-2019,01:00:00,1009.77,10.00,0.0,30.34,000,24.3,0.00,25.3,1006.83,94
