WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,LandVisibility,WindSpeed,VaporPressure,WindDirection,DewPoint,Rainfall24Hr,AirTemperature,StationPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-03-2019,01:00:00,1007.66,7.00,0.0,28.27,000,23.1,22.50,24.0,976.52,95
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-03-2019,01:00:00,1005.65,2.00,5.6,20.42,200,17.8,37.70,18.5,844.46,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-03-2019,01:00:00,1006.48,10.00,0.0,29.28,000,23.7,7.60,25.3,962.84,91
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-03-2019,01:00:00,1006.40,12.00,0.0,28.89,000,23.5,6.00,24.5,960.74,94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-03-2019,01:00:00,1006.55,5.00,0.0,28.53,000,23.3,86.50,24.0,968.72,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-03-2019,01:00:00,1006.56,7.00,1.9,30.58,080,24.4,12.70,25.0,961.41,97
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-03-2019,01:00:00,1006.52,6.00,0.0,31.93,000,25.1,10.40,26.0,979.80,95
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-03-2019,01:00:00,1006.87,13.00,0.0,30.58,000,24.4,12.50,25.0,985.02,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.40,09-03-2019,01:00:00,1008.02,6.00,0.0,29.57,000,23.9,2.80,24.3,983.74,97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,09-03-2019,01:00:00,1007.39,10.00,0.0,28.36,000,23.2,34.30,24.2,972.66,94
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-03-2019,01:00:00,1006.84,10.00,0.0,30.30,000,24.3,44.20,24.7,979.18,97
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.10,09-03-2019,01:00:00,1006.89,10.00,0.0,29.49,000,23.8,20.10,24.4,973.15,97
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.20,09-03-2019,01:00:00,1006.31,12.00,3.7,29.57,260,23.9,38.00,24.3,987.68,97
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.20,09-03-2019,01:00:00,1006.13,10.00,0.0,29.99,000,24.1,6.80,25.4,983.25,92
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-03-2019,01:00:00,1006.06,6.00,0.0,29.52,000,23.8,18.50,25.0,976.08,93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-03-2019,01:00:00,1006.85,6.00,0.0,29.13,000,23.6,12.00,24.2,971.13,97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-03-2019,01:00:00,1004.30,6.00,0.0,28.68,000,23.3,18.80,23.5,974.39,99
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.60,09-03-2019,01:00:00,1006.46,7.00,0.0,29.41,000,23.8,40.90,24.5,999.10,96
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-03-2019,01:00:00,1003.13,11.00,7.4,32.59,280,25.5,0.60,26.2,983.27,96
