WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,VaporPressure,DewPoint,RelativeHumidity,WindDirection,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,978.74,10-01-2019,04:00:00,24.1,0.0,0.00,1009.94,0.00,28.19,23.1,94,000,7.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,847.15,10-01-2019,04:00:00,18.5,3.7,0.00,1008.86,0.00,18.34,16.1,86,180,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,965.41,10-01-2019,04:00:00,22.9,0.0,0.00,1009.52,0.00,24.72,20.9,89,000,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,963.57,10-01-2019,04:00:00,22.0,0.0,0.00,1009.76,0.00,24.03,20.5,91,000,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,972.33,10-01-2019,04:00:00,20.5,0.0,0.00,1010.76,0.00,23.86,20.3,99,000,4.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,964.17,10-01-2019,04:00:00,22.5,0.0,0.00,1009.84,0.00,25.52,21.4,94,000,7.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,984.12,10-01-2019,04:00:00,23.0,0.0,0.00,1011.24,0.00,26.83,22.2,96,000,.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,987.83,10-01-2019,04:00:00,23.9,0.0,0.00,1009.83,0.00,28.35,23.2,96,000,4.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,986.20,10-01-2019,04:00:00,24.5,0.0,0.00,1010.52,0.00,29.41,23.8,96,000,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,975.46,10-01-2019,04:00:00,25.2,0.0,0.00,1010.17,0.00,27.54,22.7,86,000,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,983.08,10-01-2019,04:00:00,24.0,0.0,0.00,1010.92,0.00,27.76,22.8,93,000,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,976.52,10-01-2019,04:00:00,25.0,0.0,0.00,1010.32,0.00,27.70,22.8,88,000,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,990.87,10-01-2019,04:00:00,23.8,0.0,0.00,1009.59,0.00,27.42,22.6,93,000,3.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,987.07,10-01-2019,04:00:00,23.4,0.0,0.00,1010.19,0.00,26.50,22.0,92,000,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,979.03,10-01-2019,04:00:00,22.4,0.0,0.00,1009.37,0.00,25.61,21.5,95,000,5.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.61,10-01-2019,04:00:00,24.3,0.0,0.00,1009.42,0.00,29.57,23.9,97,000,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,979.26,10-01-2019,04:00:00,22.0,0.0,0.00,1009.47,0.00,25.69,21.5,97,000,2.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.46,10-01-2019,04:00:00,25.5,0.0,0.00,1008.81,0.00,29.91,24.0,92,000,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,989.66,10-01-2019,04:00:00,26.5,0.0,0.00,1009.62,0.00,29.08,23.6,84,000,5.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,989.64,10-01-2019,04:00:00,24.5,0.0,0.00,1010.03,0.00,26.59,22.1,87,000,6.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,988.52,10-01-2019,04:00:00,22.9,0.0,0.00,1010.60,0.00,25.68,21.5,92,000,6.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,990.18,10-01-2019,04:00:00,23.5,1.9,0.00,1009.94,0.00,25.43,21.4,88,140,6.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,993.22,10-01-2019,04:00:00,23.8,0.0,0.00,1010.19,0.00,24.94,21.1,85,000,7.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,993.09,10-01-2019,04:00:00,21.5,0.0,0.00,1010.87,0.00,23.51,20.1,92,000,6.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,983.55,10-01-2019,04:00:00,24.4,0.0,0.00,1009.59,0.00,29.23,23.7,96,000,7.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.98,10-01-2019,04:00:00,26.3,0.0,0.00,1008.80,0.00,32.79,25.6,96,000,6.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1001.89,10-01-2019,04:00:00,26.0,0.0,0.00,1008.11,0.00,32.76,25.6,98,000,4.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.89,10-01-2019,04:00:00,25.4,0.0,0.00,1010.47,0.00,28.67,23.3,88,000,7.00
