WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,WindSpeed,AirTemperature,VaporPressure,StationPressure,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,Rainfall
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,19.2,09-24-2019,07:00:00,0.0,22.5,24.80,998.90,6.00,1016.73,91,000,21.0,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.6,09-24-2019,07:00:00,0.0,24.0,22.86,988.83,9.00,1015.05,77,000,19.6,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.5,09-24-2019,07:00:00,3.7,26.0,31.93,1009.04,10.00,1014.89,95,030,25.1,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.9,09-24-2019,07:00:00,0.0,25.4,29.99,1008.45,10.00,1014.72,92,000,24.1,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.8,09-24-2019,07:00:00,0.0,24.5,24.37,999.70,10.00,1016.42,79,000,20.7,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.5,09-24-2019,07:00:00,5.6,25.3,24.20,990.28,10.00,1012.85,75,060,20.6,0.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.8,09-24-2019,07:00:00,0.0,25.5,29.91,1000.94,6.00,1015.52,92,000,24.0,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.0,09-24-2019,07:00:00,0.0,23.5,27.66,998.41,7.00,1015.12,96,000,22.8,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.0,09-24-2019,07:00:00,3.7,25.9,29.31,1009.64,10.00,1014.93,88,050,23.7,0.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.0,09-24-2019,07:00:00,0.0,25.0,25.19,1000.39,10.00,1013.76,80,000,21.2,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.3,09-24-2019,07:00:00,0.0,25.7,30.28,1005.36,8.00,1014.80,92,000,24.2,0.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.7,09-24-2019,07:00:00,3.7,24.5,25.84,993.85,6.00,1015.90,84,020,21.6,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.0,09-24-2019,07:00:00,0.0,24.2,26.34,998.42,8.00,1016.24,87,000,21.9,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.9,09-24-2019,07:00:00,5.6,24.2,24.62,999.16,10.00,1015.27,82,020,20.8,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,22.5,09-24-2019,07:00:00,0.0,23.7,27.50,995.89,8.00,1015.13,94,000,22.7,0.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.7,09-24-2019,07:00:00,0.0,22.4,25.37,961.55,7.00,1013.66,94,000,21.3,0.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.9,09-24-2019,07:00:00,1.9,26.6,31.44,1010.55,3.00,1014.55,90,010,24.9,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.6,09-24-2019,07:00:00,9.3,20.2,21.41,919.14,3.50,1015.42,91,070,18.6,0.01,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,22.0,09-24-2019,07:00:00,0.0,23.4,24.31,999.21,8.00,1015.53,85,000,20.6,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.5,09-24-2019,07:00:00,0.0,25.0,29.52,1010.34,5.00,1014.43,93,000,23.8,1.00,1.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.0,09-24-2019,07:00:00,0.0,25.7,27.13,1004.92,8.00,1015.73,82,000,22.4,0.50,0.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.9,09-24-2019,07:00:00,0.0,25.1,29.18,1013.06,4.00,1015.02,92,000,23.6,0.90,0.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.8,09-24-2019,07:00:00,0.0,24.4,22.30,994.42,8.00,1015.64,73,000,19.2,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.4,09-24-2019,07:00:00,7.4,23.5,24.71,997.78,8.00,1015.80,85,050,20.9,0.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.2,09-24-2019,07:00:00,5.6,23.5,24.46,998.72,10.00,1015.20,85,340,20.7,0.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.4,09-24-2019,07:00:00,0.0,24.2,24.62,1000.77,6.00,1015.05,82,000,20.8,0.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.0,09-24-2019,07:00:00,0.0,24.0,24.78,999.75,8.00,1014.84,83,000,20.9,0.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.5,09-24-2019,07:00:00,7.4,24.5,25.84,1001.13,7.00,1016.06,84,040,21.6,1.80,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.1,09-24-2019,07:00:00,0.0,25.2,29.89,1011.73,5.00,1014.79,93,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.0,0.10,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.2,09-24-2019,07:00:00,0.0,26.2,26.46,1006.90,8.00,1014.94,78,000,22.0,0.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.5,09-24-2019,07:00:00,0.0,25.0,30.32,1012.37,8.00,1013.49,96,000,24.3,5.90,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.8,09-24-2019,07:00:00,0.0,24.0,28.53,1000.70,8.00,1015.66,96,000,23.3,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,17.0,09-24-2019,07:00:00,13.0,17.9,18.21,878.98,7.00,1015.84,89,090,16.0,30.50,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.2,09-24-2019,07:00:00,3.7,25.5,29.91,1008.93,4.00,1014.89,92,070,24.0,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.0,09-24-2019,07:00:00,0.0,25.0,30.32,1013.47,7.00,1014.28,96,000,24.3,24.40,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.0,09-24-2019,07:00:00,0.0,25.5,30.17,1012.73,8.00,1013.19,93,000,24.2,0.80,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.7,09-24-2019,07:00:00,0.0,24.0,28.53,1002.25,4.00,1013.74,96,000,23.3,0.00,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.4,09-24-2019,07:00:00,0.0,25.1,30.50,1013.50,7.00,1014.53,96,000,24.4,1.60,0.20
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.8,09-24-2019,07:00:00,0.0,25.3,29.80,1012.89,6.00,1014.73,92,000,24.0,3.80,0.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.4,09-24-2019,07:00:00,0.0,25.0,29.52,1013.26,7.00,1014.03,93,000,23.8,4.70,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.2,09-24-2019,07:00:00,5.6,25.2,30.42,1013.15,8.00,1013.86,95,030,24.3,2.60,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.7,09-24-2019,07:00:00,3.7,25.5,27.29,1012.79,8.00,1013.50,84,030,22.5,3.40,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.3,09-24-2019,07:00:00,7.4,24.9,24.53,994.09,8.00,1015.57,78,090,20.8,0.40,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.2,09-24-2019,07:00:00,0.0,23.6,26.33,998.15,6.00,1015.19,90,000,21.9,0.60,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,21.5,09-24-2019,07:00:00,5.6,22.8,26.01,999.26,9.00,1016.07,94,040,21.7,0.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.6,09-24-2019,07:00:00,0.0,24.0,27.25,992.87,6.00,1015.12,91,000,22.5,7.60,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.4,09-24-2019,07:00:00,22.2,23.0,22.28,971.06,4.00,1015.22,79,090,19.2,18.30,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.0,09-24-2019,07:00:00,5.6,23.5,25.19,994.09,8.00,1015.06,87,020,21.2,3.40,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,21.9,09-24-2019,07:00:00,7.4,23.6,27.33,995.66,5.00,1016.92,94,030,22.6,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.9,09-24-2019,07:00:00,9.3,24.7,30.03,1013.38,8.00,1013.82,97,020,24.1,10.60,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.2,09-24-2019,07:00:00,0.0,24.7,30.56,1012.00,8.00,1013.44,98,000,24.4,5.90,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.5,09-24-2019,07:00:00,0.0,24.7,30.30,1008.54,7.00,1013.54,97,000,24.3,13.20,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.5,09-24-2019,07:00:00,0.0,24.6,29.85,1010.57,6.00,1013.91,97,000,24.0,14.30,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.2,09-24-2019,07:00:00,0.0,24.5,30.73,1013.08,6.00,1014.20,100,000,24.5,11.90,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.7,09-24-2019,07:00:00,0.0,25.3,30.34,1013.47,10.00,1013.77,94,000,24.3,0.20,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.2,09-24-2019,07:00:00,5.6,25.2,30.96,1012.77,9.00,1013.47,97,040,24.6,9.60,0.10
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.4,09-24-2019,07:00:00,0.0,24.9,30.93,1013.02,10.00,1013.52,98,000,24.6,11.20,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.5,09-24-2019,07:00:00,9.3,25.2,31.77,1013.21,4.00,1014.63,99,340,25.0,1.60,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.8,09-24-2019,07:00:00,11.1,26.5,32.63,1011.78,8.00,1013.48,94,030,25.5,1.80,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.2,09-24-2019,07:00:00,0.0,23.2,27.91,1007.34,10.00,1015.52,98,000,22.9,7.00,0.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,23.7,09-24-2019,07:00:00,0.0,25.0,30.32,1013.12,8.00,1013.41,96,000,24.3,24.20,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.8,09-24-2019,07:00:00,5.6,27.0,30.02,1009.54,10.00,1012.69,84,260,24.1,1.80,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.4,09-24-2019,07:00:00,5.6,25.5,29.11,1006.24,10.00,1013.26,89,030,23.6,2.30,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.5,09-24-2019,07:00:00,0.0,24.5,28.11,1008.27,8.00,1013.96,91,000,23.0,1.70,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,25.5,09-24-2019,07:00:00,0.0,26.0,30.84,1005.35,8.00,1014.76,92,000,24.6,8.80,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.0,09-24-2019,07:00:00,7.4,24.5,29.93,1012.78,5.00,1014.06,97,320,24.1,70.30,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.5,09-24-2019,07:00:00,11.1,25.0,30.32,1013.18,11.00,1013.62,96,330,24.3,4.30,3.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.8,09-24-2019,07:00:00,0.0,24.5,29.41,1001.32,8.00,1013.76,96,000,23.8,1.30,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.0,09-24-2019,07:00:00,0.0,25.3,30.60,1012.40,10.00,1013.12,95,000,24.4,0.90,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.0,09-24-2019,07:00:00,5.6,25.0,29.00,1011.02,10.00,1013.49,92,350,23.5,2.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.0,09-24-2019,07:00:00,0.0,24.6,29.33,1012.54,12.00,1013.06,95,000,23.7,0.40,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.0,09-24-2019,07:00:00,7.4,24.7,28.21,1007.58,10.00,1012.80,91,350,23.1,1.90,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,23.5,09-24-2019,07:00:00,9.3,26.1,29.41,1012.57,7.00,1012.99,87,040,23.8,1.10,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,23.2,09-24-2019,07:00:00,7.4,23.8,28.69,1009.78,8.00,1012.60,97,040,23.4,0.70,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.5,09-24-2019,07:00:00,5.6,25.3,30.87,1012.65,10.00,1013.45,96,330,24.6,1.80,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,22.9,09-24-2019,07:00:00,3.7,23.9,27.84,1012.17,8.00,1012.64,94,040,22.9,0.70,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.4,09-24-2019,07:00:00,0.0,24.7,29.77,1012.03,8.00,1012.72,96,000,24.0,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.0,09-24-2019,07:00:00,1.9,25.0,30.58,1011.67,6.00,1013.22,97,020,24.4,0.20,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.5,09-24-2019,07:00:00,0.0,24.7,26.93,1010.92,9.00,1011.84,87,000,22.3,0.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,23.4,09-24-2019,07:00:00,0.0,27.3,31.14,1011.65,9.00,1012.34,86,000,24.7,2.80,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.0,09-24-2019,07:00:00,0.0,24.0,29.04,1011.61,6.00,1012.42,97,000,23.6,0.50,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.9,09-24-2019,07:00:00,0.0,24.5,30.20,1011.12,3.00,1011.76,98,000,24.2,2.50,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.2,09-24-2019,07:00:00,0.0,24.6,30.12,1011.94,8.00,1012.35,97,000,24.2,6.90,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.7,09-24-2019,07:00:00,0.0,24.1,29.22,1009.63,5.00,1013.91,97,000,23.7,1.50,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.0,09-24-2019,07:00:00,0.0,24.8,30.22,1008.44,4.00,1010.07,97,000,24.2,0.40,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.0,09-24-2019,07:00:00,0.0,24.5,30.20,1008.47,.80,1011.99,98,000,24.2,1.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.8,09-24-2019,07:00:00,0.0,23.8,29.20,1010.78,1.00,1012.15,99,000,23.6,5.70,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.7,09-24-2019,07:00:00,0.0,25.0,30.32,1010.13,8.00,1011.02,96,000,24.3,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.5,09-24-2019,07:00:00,5.6,24.8,29.16,1007.59,7.00,1011.19,93,050,23.6,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,09-24-2019,07:00:00,0.0,27.0,30.02,1010.90,8.00,1011.34,84,000,24.1,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.6,09-24-2019,07:00:00,3.7,26.5,30.43,1009.32,7.00,1010.32,88,070,24.3,0.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.0,09-24-2019,07:00:00,0.0,26.7,28.92,1010.92,8.00,1011.74,83,000,23.5,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.8,09-24-2019,07:00:00,0.0,24.2,28.88,1010.12,3.00,1011.96,96,000,23.5,0.01,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.0,09-24-2019,07:00:00,3.7,28.5,30.15,1011.27,6.00,1012.02,78,110,24.2,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.2,09-24-2019,07:00:00,0.0,24.4,28.97,1008.17,2.00,1012.22,95,000,23.5,0.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,09-24-2019,07:00:00,0.0,25.4,28.67,1010.56,4.00,1011.25,88,000,23.3,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,09-24-2019,07:00:00,0.0,25.5,29.91,1011.25,7.00,1012.37,92,000,24.0,0.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,22.1,09-24-2019,07:00:00,0.0,23.8,28.95,1009.12,4.00,1012.08,98,000,23.5,0.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.5,09-24-2019,07:00:00,0.0,25.5,32.34,1011.03,5.00,1011.73,99,000,25.3,4.40,4.40
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.3,09-24-2019,07:00:00,5.6,24.8,29.69,1008.27,1.00,1012.44,95,210,23.9,0.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,.0,09-24-2019,07:00:00,5.6,25.0,29.00,1011.31,6.00,1011.91,92,180,23.5,10.30,0.00
