WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,WindSpeed,AirTemperature,VaporPressure,StationPressure,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,20.4,09-24-2019,07:00:00,0.0,21.7,24.75,984.06,3.00,1015.69,95,000,20.9,0.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.4,09-24-2019,07:00:00,9.3,16.5,15.43,851.02,8.00,1014.66,82,100,13.5,0.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.6,09-24-2019,07:00:00,5.6,21.6,22.97,972.16,10.00,1016.79,89,040,19.7,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,18.9,09-24-2019,07:00:00,0.0,21.2,23.06,970.23,15.00,1016.87,92,000,19.8,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,19.9,09-24-2019,07:00:00,0.0,20.1,23.28,978.84,8.00,1017.58,99,000,19.9,0.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.2,09-24-2019,07:00:00,0.0,23.0,26.09,971.08,12.00,1017.00,93,000,21.8,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.7,09-24-2019,07:00:00,0.0,22.2,25.77,990.03,5.00,1017.38,96,000,21.6,0.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.7,09-24-2019,07:00:00,0.0,22.8,26.74,993.27,8.00,1015.46,96,000,22.2,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,21.8,09-24-2019,07:00:00,0.0,23.0,26.83,990.43,6.00,1014.99,96,000,22.2,0.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.2,09-24-2019,07:00:00,3.7,23.4,24.79,980.85,10.00,1015.97,86,130,21.0,0.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.4,09-24-2019,07:00:00,0.0,23.6,27.58,989.01,10.00,1017.06,95,000,22.7,0.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.3,09-24-2019,07:00:00,0.0,23.5,27.66,981.64,10.00,1015.78,96,000,22.8,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.5,09-24-2019,07:00:00,0.0,23.9,27.84,996.68,5.00,1015.50,94,000,22.9,0.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.5,09-24-2019,07:00:00,0.0,23.8,26.92,993.22,10.00,1016.45,91,000,22.3,0.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.9,09-24-2019,07:00:00,0.0,22.5,24.80,985.85,10.00,1016.40,91,000,21.0,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,21.5,09-24-2019,07:00:00,0.0,21.8,25.38,979.71,8.00,1016.05,97,000,21.3,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,20.8,09-24-2019,07:00:00,0.0,21.3,24.60,986.35,1.00,1016.85,97,000,20.8,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.0,09-24-2019,07:00:00,0.0,25.0,26.43,1007.40,9.00,1014.81,83,000,22.0,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.4,09-24-2019,07:00:00,7.4,24.4,22.07,995.79,5.00,1016.02,72,040,19.1,0.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,21.4,09-24-2019,07:00:00,0.0,22.0,24.27,987.53,3.00,1016.90,92,000,20.6,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.6,09-24-2019,07:00:00,3.7,24.2,22.00,995.65,8.00,1016.18,73,070,19.0,0.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,20.8,09-24-2019,07:00:00,0.0,21.8,24.19,994.62,5.00,1016.92,93,000,20.6,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.6,09-24-2019,07:00:00,0.0,22.9,25.44,996.13,5.00,1016.05,91,000,21.4,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,21.1,09-24-2019,07:00:00,0.0,23.0,22.05,999.60,8.00,1016.72,79,000,19.1,0.00,0.00
