WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,LandVisibility,DewPoint,StationPressure,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,MaximumTemperature,VaporPressure,AirTemperature,Rainfall
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-03-2019,19:00:00,000,10.00,26.4,995.32,88,0.00,1010.12,33.0,34.40,28.5,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,10-03-2019,19:00:00,000,7.00,27.6,995.96,92,19.10,1010.59,34.0,36.96,29.0,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-03-2019,19:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",5.00,27.1,1005.90,78,0.00,1008.88,35.7,35.89,31.4,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-03-2019,19:00:00,000,10.00,25.3,1001.03,75,0.00,1008.91,34.8,32.34,30.3,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,10-03-2019,19:00:00,000,8.00,26.9,1009.91,79,0.00,1011.01,35.1,35.39,30.9,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-03-2019,19:00:00,000,9.00,25.8,993.49,79,0.00,1008.06,32.7,33.12,29.7,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,10-03-2019,19:00:00,160,4.00,17.8,876.84,97,10.40,1013.16,24.0,20.37,18.3,7.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,10-03-2019,19:00:00,140,10.00,23.4,1003.78,88,26.60,1009.70,36.4,28.85,25.5,26.60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,10-03-2019,19:00:00,150,6.00,27.0,1009.22,82,15.10,1010.01,35.5,35.72,30.5,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,7.4,10-03-2019,19:00:00,140,10.00,25.1,1009.39,79,0.00,1009.83,31.7,31.81,29.2,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-03-2019,19:00:00,000,10.00,24.2,998.10,78,0.00,1009.37,36.0,30.15,28.5,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-03-2019,19:00:00,000,7.00,25.7,1008.67,70,0.00,1009.67,36.6,33.07,31.9,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,10-03-2019,19:00:00,000,7.00,24.8,1007.51,68,0.00,1009.32,35.0,31.23,31.3,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-03-2019,19:00:00,000,8.00,21.4,1008.24,63,0.00,1009.00,35.1,25.47,29.3,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,16.7,10-03-2019,19:00:00,170,8.00,25.2,1009.17,80,0.00,1009.87,34.1,31.98,29.0,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.4,10-03-2019,19:00:00,160,9.00,22.2,1011.61,66,0.00,1012.31,35.7,26.78,29.3,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,5.6,10-03-2019,19:00:00,320,6.00,22.4,988.62,68,0.40,1009.68,34.3,27.03,29.0,0.40
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,10-03-2019,19:00:00,000,8.00,24.8,992.55,77,0.01,1009.17,33.9,31.36,29.4,0.01
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-03-2019,19:00:00,000,8.00,25.2,992.17,78,0.00,1008.49,35.6,32.13,29.5,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-03-2019,19:00:00,000,8.00,25.9,987.24,76,0.00,1008.88,35.0,33.34,30.5,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,10-03-2019,19:00:00,130,5.00,22.7,966.85,83,0.30,1010.40,31.3,27.56,25.8,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,10-03-2019,19:00:00,230,8.00,23.1,989.19,79,0.20,1009.79,35.4,28.33,27.1,0.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,10-03-2019,19:00:00,170,6.00,25.6,990.05,86,0.00,1010.86,35.3,32.92,28.2,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-03-2019,19:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,24.3,1009.12,69,0.01,1009.55,34.5,30.29,30.7,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-03-2019,19:00:00,000,6.00,23.9,1008.47,92,8.00,1009.90,35.0,29.62,25.2,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-03-2019,19:00:00,000,8.00,25.0,1004.61,92,0.90,1009.57,34.3,31.60,26.4,0.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,7.4,10-03-2019,19:00:00,240,10.00,22.9,1006.37,78,0.00,1009.67,36.0,27.88,27.0,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-03-2019,19:00:00,000,10.00,25.6,1008.38,72,0.00,1009.47,35.4,32.76,31.2,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,10-03-2019,19:00:00,230,10.00,25.7,1009.57,77,0.00,1009.86,34.3,33.00,30.2,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,10-03-2019,19:00:00,210,10.00,25.2,1008.84,73,0.00,1009.52,35.0,32.09,30.6,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,10-03-2019,19:00:00,120,8.00,25.4,1008.87,74,0.00,1009.36,35.5,32.46,30.5,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,10-03-2019,19:00:00,180,8.00,24.9,1008.55,75,6.00,1009.95,32.6,31.52,29.9,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,18.5,10-03-2019,19:00:00,150,8.00,27.3,1007.67,87,0.00,1009.33,31.2,36.30,29.8,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-03-2019,19:00:00,000,10.00,23.0,1003.53,96,35.90,1011.66,34.7,28.09,23.6,33.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,10-03-2019,19:00:00,000,8.00,24.8,1009.52,85,0.00,1009.81,34.2,31.25,27.5,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-03-2019,19:00:00,000,10.00,26.8,1006.65,96,0.00,1009.78,33.3,35.23,27.5,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,10-03-2019,19:00:00,000,10.00,25.0,1002.57,80,0.00,1009.49,31.7,31.66,28.7,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-03-2019,19:00:00,000,7.00,22.5,1004.37,79,1.10,1009.99,34.7,27.25,26.5,1.10
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,9.3,10-03-2019,19:00:00,110,4.00,23.9,1001.50,84,0.01,1010.86,35.2,29.64,26.8,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,18.5,10-03-2019,19:00:00,270,10.00,22.3,1010.43,77,0.00,1011.70,35.3,26.91,26.6,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.4,10-03-2019,19:00:00,150,11.00,26.1,1009.12,77,0.00,1009.55,34.2,33.85,30.6,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,10-03-2019,19:00:00,000,7.00,22.3,998.01,87,0.70,1010.41,34.4,26.84,24.5,0.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,9.3,10-03-2019,19:00:00,280,10.00,22.7,1008.93,68,0.00,1009.64,32.5,27.59,29.3,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.4,10-03-2019,19:00:00,180,10.00,25.3,1007.57,79,0.20,1009.99,33.4,32.22,29.4,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,10-03-2019,19:00:00,000,7.00,25.7,1011.06,80,0.00,1011.58,32.5,33.00,29.5,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,10-03-2019,19:00:00,000,9.00,25.5,1004.70,81,0.40,1009.83,32.5,32.55,29.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,10-03-2019,19:00:00,000,7.00,24.3,1009.73,85,0.00,1010.14,33.4,30.29,27.0,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-03-2019,19:00:00,000,8.00,25.7,1007.48,85,0.00,1010.24,32.5,32.96,28.5,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,5.6,10-03-2019,19:00:00,290,10.00,25.2,1010.17,77,0.00,1010.95,34.3,32.05,29.6,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,10-03-2019,19:00:00,080,7.00,22.4,1009.53,84,22.40,1010.00,32.8,27.12,25.4,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,10-03-2019,19:00:00,000,8.00,23.5,1009.87,81,0.00,1010.56,32.9,28.94,27.0,0.00
