WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,RelativeHumidity,Rainfall,MeanSeaLevelPressure,VaporPressure,WindDirection,StationPressure,Rainfall24Hr
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.0,10-10-2019,01:00:00,10.00,0.0,24.7,93,0.00,1010.85,31.11,000,1009.73,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.0,10-10-2019,01:00:00,10.00,0.0,24.8,88,0.00,1010.44,31.38,000,1010.13,13.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.9,10-10-2019,01:00:00,8.00,0.0,24.1,85,0.00,1009.98,30.10,000,1009.49,0.70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.6,10-10-2019,01:00:00,10.00,5.6,25.2,92,0.00,1009.58,31.99,020,1008.16,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.2,10-10-2019,01:00:00,10.00,0.0,23.9,98,0.00,1012.38,29.66,000,1004.26,0.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.0,10-10-2019,01:00:00,4.00,0.0,25.1,90,0.00,1010.17,31.94,000,1009.89,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.5,10-10-2019,01:00:00,10.00,0.0,24.8,96,0.00,1010.42,31.25,000,1007.26,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.0,10-10-2019,01:00:00,8.00,0.0,24.1,84,0.00,1010.67,30.02,000,1003.70,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.2,10-10-2019,01:00:00,10.00,0.0,25.5,90,0.00,1010.65,32.61,000,1005.03,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.9,10-10-2019,01:00:00,2.00,3.7,25.5,92,0.00,1011.53,32.58,320,1010.26,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.4,10-10-2019,01:00:00,11.00,9.3,24.8,86,0.00,1010.19,31.33,300,1009.76,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.5,10-10-2019,01:00:00,7.00,0.0,23.8,96,0.00,1010.89,29.41,000,998.48,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.2,10-10-2019,01:00:00,9.00,0.0,25.1,88,0.00,1010.64,31.77,000,1009.93,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.5,10-10-2019,01:00:00,6.00,7.4,24.0,92,0.00,1010.58,29.91,020,1008.12,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.5,10-10-2019,01:00:00,8.00,0.0,24.0,92,0.00,1011.09,29.91,000,1010.56,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.5,10-10-2019,01:00:00,8.00,0.0,24.6,95,0.00,1010.37,30.98,000,1005.18,0.50
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.9,10-10-2019,01:00:00,7.00,0.0,24.6,93,0.00,1010.56,30.92,000,1010.14,11.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.8,10-10-2019,01:00:00,8.00,0.0,24.9,95,0.00,1010.53,31.55,000,1007.74,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.8,10-10-2019,01:00:00,8.00,0.0,24.2,91,0.00,1013.78,30.19,000,1012.98,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.0,10-10-2019,01:00:00,6.00,7.4,24.0,94,0.00,1010.61,29.79,070,1010.15,1.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.5,10-10-2019,01:00:00,8.00,0.0,24.8,96,0.00,1010.80,31.25,000,1010.11,26.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.0,10-10-2019,01:00:00,7.00,0.0,24.6,92,0.20,1010.35,30.84,000,1008.82,0.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.5,10-10-2019,01:00:00,10.00,1.9,23.7,90,0.00,1011.16,29.38,040,1010.24,0.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.5,10-10-2019,01:00:00,9.00,0.0,26.1,87,0.50,1011.03,33.82,000,1010.34,0.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.5,10-10-2019,01:00:00,8.00,0.0,23.9,97,0.00,1011.36,29.67,000,1010.56,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.5,10-10-2019,01:00:00,10.00,0.0,24.3,93,0.00,1010.49,30.44,000,1009.85,3.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.0,10-10-2019,01:00:00,10.00,0.0,24.3,96,0.00,1010.66,30.32,000,1010.25,1.10
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.8,10-10-2019,01:00:00,5.00,0.0,24.1,96,0.00,1012.60,29.95,000,1008.34,1.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.0,10-10-2019,01:00:00,10.00,0.0,23.3,96,0.00,1011.33,28.53,000,1007.80,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.7,10-10-2019,01:00:00,8.00,0.0,23.7,94,0.00,1010.94,29.25,000,1009.57,0.60
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.5,10-10-2019,01:00:00,10.00,0.0,23.8,96,0.00,1010.71,29.41,000,1009.81,7.60
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.4,10-10-2019,01:00:00,10.00,0.0,23.1,98,0.00,1011.55,28.25,000,1007.93,25.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,10-10-2019,01:00:00,10.00,3.7,24.9,91,0.00,1010.69,31.52,260,1010.25,2.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.1,10-10-2019,01:00:00,9.00,0.0,24.7,97,0.00,1010.44,31.04,000,1009.43,5.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.2,10-10-2019,01:00:00,10.00,0.0,23.3,95,0.60,1010.56,28.62,000,1009.73,55.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.2,10-10-2019,01:00:00,10.00,0.0,23.6,97,0.00,1010.86,29.13,000,1009.02,12.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.4,10-10-2019,01:00:00,10.00,5.6,23.2,88,0.00,1010.74,28.41,240,1009.98,26.10
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.9,10-10-2019,01:00:00,10.00,0.0,23.7,99,0.00,1011.21,29.38,000,1007.15,10.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.5,10-10-2019,01:00:00,10.00,0.0,23.0,91,0.00,1010.65,28.11,000,1009.96,26.10
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.6,10-10-2019,01:00:00,10.00,0.0,24.4,99,0.00,1011.93,30.65,000,1010.80,15.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.7,10-10-2019,01:00:00,10.00,0.0,24.3,97,0.00,1011.23,30.30,000,1008.27,28.70
