WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,AirTemperature,VaporPressure,Rainfall,DewPoint,StationPressure,WindSpeed,LandVisibility,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1010.21,10-03-2019,04:00:00,000,24.9,28.82,0.00,23.4,979.08,0.0,5.00,0.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1009.23,10-03-2019,04:00:00,000,18.4,20.29,0.00,17.7,847.41,0.0,8.00,0.00,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1009.67,10-03-2019,04:00:00,000,24.0,24.30,0.00,20.6,965.70,0.0,10.00,0.40,81
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1009.98,10-03-2019,04:00:00,000,23.5,27.16,0.00,22.4,964.01,0.0,8.00,0.00,94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1010.63,10-03-2019,04:00:00,000,23.4,28.51,0.00,23.2,972.58,0.0,5.00,0.00,99
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1009.78,10-03-2019,04:00:00,000,23.8,27.42,0.00,22.6,964.31,0.0,7.00,0.00,93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1010.43,10-03-2019,04:00:00,000,24.7,30.03,0.00,24.1,983.49,0.0,2.00,0.00,97
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1009.64,10-03-2019,04:00:00,080,24.6,29.07,0.00,23.6,987.70,3.7,10.00,0.00,94
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1010.74,10-03-2019,04:00:00,000,24.3,29.05,0.00,23.6,986.40,0.0,6.00,0.00,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1010.38,10-03-2019,04:00:00,000,24.7,26.68,0.00,22.2,975.60,0.0,10.00,0.00,86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1010.23,10-03-2019,04:00:00,000,24.4,28.45,0.00,23.2,982.45,0.0,10.00,13.00,93
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1009.96,10-03-2019,04:00:00,000,24.5,28.11,0.00,23.0,976.13,0.0,10.00,0.00,91
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1009.48,10-03-2019,04:00:00,000,25.0,30.32,0.00,24.3,990.84,0.0,4.00,0.00,96
48331,NAN,น่าน,น่าน,18.77972,100.77778,1010.02,10-03-2019,04:00:00,000,25.1,30.23,0.00,24.2,987.04,0.0,6.00,0.00,95
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1008.95,10-03-2019,04:00:00,000,24.5,28.89,0.00,23.5,978.83,0.0,5.00,0.00,94
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1009.67,10-03-2019,04:00:00,000,25.0,27.70,0.00,22.8,973.94,0.0,7.00,0.00,88
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1008.95,10-03-2019,04:00:00,000,23.0,27.32,0.00,22.5,978.86,0.0,2.00,0.00,97
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.96,10-03-2019,04:00:00,000,26.5,30.97,0.00,24.6,1001.63,0.0,8.00,0.00,89
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1008.22,10-03-2019,04:00:00,000,26.9,30.64,0.00,24.4,988.30,0.0,3.00,0.00,86
48353,LOEI,เลย,เลย,17.45000,101.73333,1009.81,10-03-2019,04:00:00,000,24.3,27.01,0.00,22.4,980.86,0.0,3.00,0.00,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1009.56,10-03-2019,04:00:00,090,25.9,28.78,0.00,23.4,989.28,3.7,7.00,0.00,86
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1010.01,10-03-2019,04:00:00,000,24.0,27.25,0.00,22.5,988.02,0.0,6.00,0.00,91
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1009.24,10-03-2019,04:00:00,190,25.4,28.67,0.00,23.3,989.62,3.7,7.00,0.00,88
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1010.25,10-03-2019,04:00:00,000,25.2,28.57,0.00,23.3,993.36,0.0,6.00,0.00,89
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1010.57,10-03-2019,04:00:00,000,23.9,27.59,0.00,22.7,992.93,0.0,8.00,0.00,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1008.18,10-03-2019,04:00:00,000,25.8,30.46,0.00,24.3,982.29,0.0,7.00,0.00,92
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1008.70,10-03-2019,04:00:00,000,27.6,34.85,0.00,26.6,1002.92,0.0,6.00,0.00,94
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1009.18,10-03-2019,04:00:00,000,26.2,32.04,0.00,25.2,1002.96,0.0,6.00,0.00,94
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1010.56,10-03-2019,04:00:00,000,25.0,29.00,0.00,23.5,993.96,0.0,8.00,0.00,92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1008.91,10-03-2019,04:00:00,000,24.5,26.84,0.00,22.3,986.37,0.0,8.00,0.00,87
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.68,10-03-2019,04:00:00,000,27.4,29.69,0.00,23.9,995.27,0.0,10.00,0.00,81
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1009.26,10-03-2019,04:00:00,000,25.5,29.38,0.00,23.7,992.76,0.0,8.00,0.00,90
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1009.20,10-03-2019,04:00:00,140,27.4,32.45,0.00,25.4,1003.96,5.6,6.00,0.00,89
