WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,WindSpeed,WindDirection,RelativeHumidity,DewPoint,Rainfall,AirTemperature,StationPressure,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-07-2019,13:00:00,1004.94,0.0,000,81,25.4,0.01,28.9,974.38,32.34,4.60
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-07-2019,13:00:00,1002.76,5.6,290,94,19.3,0.00,20.3,842.91,22.44,14.40
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-07-2019,13:00:00,1003.69,13.0,180,67,24.2,0.00,31.1,960.98,30.25,10.20
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-07-2019,13:00:00,1003.43,0.0,000,66,23.8,0.00,31.0,958.85,29.48,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10.00,08-07-2019,13:00:00,1003.90,0.0,000,65,22.7,0.00,30.0,966.90,27.55,0.40
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,08-07-2019,13:00:00,1003.67,0.0,000,63,23.6,0.00,31.5,959.58,29.07,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,08-07-2019,13:00:00,1005.01,11.1,090,68,25.0,0.01,31.5,978.81,31.64,0.01
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,15.00,08-07-2019,13:00:00,1005.79,3.7,210,72,24.3,0.00,29.9,984.31,30.39,5.70
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,7.00,08-07-2019,13:00:00,1006.10,0.0,000,83,25.2,0.70,28.5,982.20,32.10,22.60
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-07-2019,13:00:00,1005.37,3.7,170,71,23.7,0.00,29.5,971.31,29.33,0.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-07-2019,13:00:00,1005.51,0.0,000,69,23.2,0.00,29.5,978.31,28.50,0.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-07-2019,13:00:00,1005.37,5.6,240,72,23.8,0.00,29.4,972.22,29.41,1.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,08-07-2019,13:00:00,1004.99,1.9,250,66,24.0,0.00,31.0,986.80,29.76,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,9.00,08-07-2019,13:00:00,1004.54,5.6,190,69,25.1,0.01,31.5,982.16,31.93,0.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,08-07-2019,13:00:00,1004.36,0.0,000,65,23.6,0.00,31.0,975.00,29.20,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,08-07-2019,13:00:00,1005.58,0.0,000,88,25.6,0.80,27.7,970.31,32.76,3.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,08-07-2019,13:00:00,1002.71,13.0,290,60,24.7,0.00,33.5,973.81,31.16,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,08-07-2019,13:00:00,1005.64,14.8,170,68,24.8,0.00,31.5,998.45,31.35,0.00
