WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.4,08-16-2019,04:00:00,974.11,93,0.20,6.00,30.54,0.0,000,1004.99,25.7,0.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.6,08-16-2019,04:00:00,959.87,91,6.60,10.00,27.42,11.1,250,1003.56,24.1,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.8,08-16-2019,04:00:00,958.12,96,5.50,8.00,27.66,0.0,000,1003.82,23.5,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.4,08-16-2019,04:00:00,967.66,97,21.50,4.00,28.69,0.0,000,1005.47,23.8,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.6,08-16-2019,04:00:00,958.95,97,15.60,6.00,29.04,3.7,150,1004.14,24.0,3.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.7,08-16-2019,04:00:00,978.02,96,14.10,6.00,29.23,0.0,000,1004.83,24.4,0.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.3,08-16-2019,04:00:00,982.88,90,0.00,13.00,30.30,0.0,000,1004.61,26.0,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.1,08-16-2019,04:00:00,981.90,93,0.80,6.00,30.07,0.0,000,1006.05,25.3,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.7,08-16-2019,04:00:00,970.77,84,0.50,10.00,27.64,0.0,000,1005.26,25.7,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.6,08-16-2019,04:00:00,978.39,92,0.60,10.00,30.84,0.0,000,1005.91,26.0,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.3,08-16-2019,04:00:00,970.38,88,0.00,10.00,28.59,0.0,000,1003.90,25.5,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.6,08-16-2019,04:00:00,985.67,93,0.40,7.00,29.16,0.0,000,1004.23,24.8,0.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.7,08-16-2019,04:00:00,974.39,93,11.00,5.00,27.59,0.0,000,1004.43,23.9,1.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.8,08-16-2019,04:00:00,969.05,97,0.00,5.00,31.33,0.0,000,1004.55,25.4,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.6,08-16-2019,04:00:00,972.96,97,5.20,10.00,29.04,0.0,000,1002.78,24.0,5.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.4,08-16-2019,04:00:00,996.64,88,0.01,8.00,32.36,0.0,000,1003.91,27.5,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.9,08-16-2019,04:00:00,982.47,87,5.60,10.00,31.41,5.6,250,1002.23,27.3,1.20
48353,LOEI,เลย,เลย,17.45000,101.73333,23.1,08-16-2019,04:00:00,974.88,92,6.70,10.00,28.20,0.0,000,1003.64,24.4,6.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.4,08-16-2019,04:00:00,982.97,86,0.40,12.00,30.56,5.6,220,1003.04,27.0,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.3,08-16-2019,04:00:00,982.16,88,4.70,12.00,30.43,7.4,250,1003.83,26.5,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.1,08-16-2019,04:00:00,983.53,93,7.30,10.00,31.96,7.4,250,1002.97,26.3,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.2,08-16-2019,04:00:00,987.08,93,7.30,10.00,30.17,0.0,000,1003.84,25.5,0.20
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.8,08-16-2019,04:00:00,986.56,97,60.70,9.00,31.33,0.0,000,1004.00,25.4,5.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.6,08-16-2019,04:00:00,976.61,92,0.20,10.00,30.84,0.0,000,1002.33,26.0,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.5,08-16-2019,04:00:00,998.87,83,0.20,10.00,30.81,0.0,000,1004.63,27.7,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.4,08-16-2019,04:00:00,996.94,88,0.00,10.00,32.36,0.0,000,1003.10,27.5,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.6,08-16-2019,04:00:00,990.17,92,0.00,8.00,30.84,0.0,000,1006.65,26.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.5,08-16-2019,04:00:00,981.06,92,0.00,8.00,29.00,0.0,000,1003.44,25.0,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.0,08-16-2019,04:00:00,991.47,70,0.00,6.00,26.45,16.7,270,1005.79,28.1,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.0,08-16-2019,04:00:00,987.79,71,0.00,8.00,28.08,0.0,000,1004.03,28.7,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.4,08-16-2019,04:00:00,999.24,92,0.00,10.00,32.38,0.0,000,1004.46,26.8,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.9,08-16-2019,04:00:00,990.05,91,0.00,10.00,31.52,0.0,000,1003.22,26.5,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.4,08-16-2019,04:00:00,994.99,89,0.00,11.00,30.59,0.0,000,1004.31,26.3,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.2,08-16-2019,04:00:00,982.14,86,1.70,9.00,30.18,7.4,210,1003.77,26.8,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.1,08-16-2019,04:00:00,985.11,84,5.80,8.00,30.02,5.6,200,1002.53,27.0,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.6,08-16-2019,04:00:00,987.90,92,3.80,10.00,30.84,0.0,000,1003.74,26.0,3.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.3,08-16-2019,04:00:00,984.07,82,6.50,8.00,30.34,5.6,240,1002.83,27.6,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.6,08-16-2019,04:00:00,954.50,96,10.10,4.00,27.41,0.0,000,1006.09,23.2,2.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.8,08-16-2019,04:00:00,1000.36,96,0.00,6.00,33.19,0.0,000,1004.32,26.5,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.2,08-16-2019,04:00:00,911.37,94,0.10,4.00,23.60,7.4,190,1006.54,21.1,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.4,08-16-2019,04:00:00,974.82,97,3.20,5.00,30.48,0.0,000,990.66,24.8,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.9,08-16-2019,04:00:00,1000.07,89,0.70,8.00,31.46,0.0,000,1004.09,26.9,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.9,08-16-2019,04:00:00,995.01,93,0.00,7.00,31.49,0.0,000,1005.69,26.2,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.2,08-16-2019,04:00:00,1002.86,89,0.00,8.00,30.13,0.0,000,1004.79,26.2,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.2,08-16-2019,04:00:00,983.70,83,0.00,10.00,30.23,0.0,000,1004.47,27.4,0.00
