WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,AirTemperature,Rainfall24Hr,VaporPressure,LandVisibility,DewPoint,MeanSeaLevelPressure,StationPressure,RelativeHumidity,WindDirection,MinimumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.40,09-27-2019,07:00:00,0.0,22.7,24.70,26.09,2.00,21.8,1017.30,985.72,95,000,21.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-27-2019,07:00:00,7.4,15.5,0.00,17.20,6.00,15.1,1016.84,852.34,98,120,15.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.01,09-27-2019,07:00:00,1.9,23.0,0.01,25.11,10.00,21.2,1017.54,973.08,89,030,22.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.20,09-27-2019,07:00:00,0.0,22.2,3.40,25.53,8.00,21.4,1017.29,970.79,95,000,21.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.30,09-27-2019,07:00:00,0.0,22.9,0.30,27.90,2.00,22.9,1018.25,979.85,100,000,22.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1.80,09-27-2019,07:00:00,0.0,22.2,2.30,25.77,7.00,21.6,1018.12,972.03,96,000,22.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.50,09-27-2019,07:00:00,0.0,22.9,8.50,26.41,4.00,22.0,1018.34,991.03,95,000,22.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-27-2019,07:00:00,0.0,24.2,0.00,27.85,4.00,22.9,1015.85,993.75,92,000,23.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-27-2019,07:00:00,0.0,24.4,8.80,29.23,6.00,23.7,1016.59,992.11,96,000,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.80,09-27-2019,07:00:00,0.0,22.8,9.30,25.76,8.00,21.6,1017.17,981.94,93,000,22.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-27-2019,07:00:00,0.0,23.9,0.00,29.12,53.00,23.6,1017.57,989.54,98,000,23.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.10,09-27-2019,07:00:00,0.0,22.9,0.10,25.92,7.00,21.7,1016.93,982.68,93,000,22.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-27-2019,07:00:00,0.0,24.0,0.00,28.53,4.00,23.3,1016.29,997.46,96,000,23.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.30,09-27-2019,07:00:00,0.0,23.7,0.30,27.25,10.00,22.5,1017.32,994.06,93,000,23.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,2.90,09-27-2019,07:00:00,0.0,22.8,2.90,26.50,6.00,22.0,1017.70,987.14,96,000,22.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-27-2019,07:00:00,0.0,23.0,0.00,27.32,7.00,22.5,1016.39,980.18,97,000,22.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-27-2019,07:00:00,0.0,22.6,0.00,26.41,1.00,22.0,1016.70,986.33,96,000,21.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-27-2019,07:00:00,0.0,25.0,0.00,26.94,8.00,22.3,1015.48,1008.07,85,000,25.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-27-2019,07:00:00,3.7,25.0,0.00,25.93,4.00,21.7,1016.61,996.41,82,120,24.7
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-27-2019,07:00:00,0.0,23.3,0.00,25.84,3.00,21.6,1017.10,987.84,90,000,22.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-27-2019,07:00:00,0.0,25.3,0.00,26.44,6.00,22.0,1016.69,996.23,82,000,23.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-27-2019,07:00:00,0.0,23.0,0.00,25.11,5.00,21.2,1016.78,994.56,89,000,21.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-27-2019,07:00:00,3.7,24.0,0.00,23.58,12.00,20.1,1016.39,996.54,79,180,22.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-27-2019,07:00:00,0.0,23.5,0.00,22.80,7.00,19.6,1017.19,1000.08,79,000,21.8
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-27-2019,07:00:00,0.0,22.8,0.00,24.32,5.00,20.6,1017.41,999.59,88,000,21.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-27-2019,07:00:00,0.0,24.5,0.00,27.35,8.00,22.6,1015.63,989.44,89,000,22.8
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-27-2019,07:00:00,3.7,25.6,0.00,31.17,6.00,24.7,1015.30,1009.44,95,030,24.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-27-2019,07:00:00,0.0,25.0,0.00,29.79,10.00,24.0,1015.06,1008.78,94,000,24.4
