WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,LandVisibility,MaximumTemperature,DewPoint,VaporPressure,RelativeHumidity,WindDirection,WindSpeed,StationPressure,AirTemperature,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-28-2019,19:00:00,0.20,15.00,33.8,24.0,29.79,76,000,0.0,974.78,28.6,1005.38
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-28-2019,19:00:00,0.00,8.00,26.0,19.0,21.97,85,000,0.0,843.44,21.7,1002.57
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-28-2019,19:00:00,0.00,15.00,32.9,23.5,28.91,62,160,1.9,960.23,31.7,1002.83
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-28-2019,19:00:00,0.00,15.00,33.0,24.5,30.72,75,000,0.0,958.85,29.5,1003.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-28-2019,19:00:00,0.00,10.00,33.0,15.8,17.89,43,000,0.0,968.69,29.5,1005.81
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-28-2019,19:00:00,0.00,11.00,33.0,24.2,30.18,69,160,3.7,959.61,30.5,1003.85
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-28-2019,19:00:00,0.00,12.00,33.9,25.2,32.14,69,000,0.0,977.73,31.6,1003.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,6.80,07-28-2019,19:00:00,6.80,15.00,37.4,24.3,30.38,91,090,13.0,983.70,25.9,1005.45
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,3.60,07-28-2019,19:00:00,3.80,8.00,32.0,24.5,30.71,94,000,0.0,983.77,25.5,1007.96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-28-2019,19:00:00,0.20,10.00,34.2,23.9,29.68,66,000,0.0,969.87,31.1,1003.70
