WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindSpeed,MaximumTemperature,WindDirection,DewPoint,RelativeHumidity,Rainfall,LandVisibility,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.84,07-14-2019,19:00:00,25.6,0.0,32.0,000,23.5,88,3.30,12.00,29.03,1004.73,5.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.84,07-14-2019,19:00:00,19.0,24.1,24.5,260,17.4,90,1.50,8.00,19.80,1002.25,1.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,957.62,07-14-2019,19:00:00,31.4,7.4,36.5,080,22.3,59,0.00,15.00,26.94,1000.14,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,955.73,07-14-2019,19:00:00,33.0,0.0,36.2,000,22.0,53,0.00,15.00,26.45,999.86,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.20,07-14-2019,19:00:00,26.0,0.0,33.0,000,23.1,84,6.30,8.00,28.18,1003.68,6.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.01,07-14-2019,19:00:00,32.0,9.3,35.5,190,23.3,60,0.00,12.00,28.66,1000.90,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,977.00,07-14-2019,19:00:00,32.9,3.7,36.9,180,21.2,50,0.00,12.00,25.17,1003.03,0.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.54,07-14-2019,19:00:00,30.0,7.4,34.6,210,22.2,63,0.00,12.00,26.74,1003.97,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.28,07-14-2019,19:00:00,25.2,0.0,31.4,000,24.2,94,9.30,8.00,30.15,1006.45,10.40
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,968.93,07-14-2019,19:00:00,31.0,5.6,36.0,240,22.2,60,0.00,10.00,26.73,1002.74,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,976.05,07-14-2019,19:00:00,31.0,20.4,36.7,180,20.8,55,0.00,10.00,24.60,1003.05,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.24,07-14-2019,19:00:00,29.3,18.5,36.1,230,20.2,58,0.00,10.00,23.67,1003.33,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,984.76,07-14-2019,19:00:00,26.8,1.9,36.3,280,23.1,80,0.40,15.00,28.31,1003.18,0.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,980.52,07-14-2019,19:00:00,26.8,0.0,35.9,000,24.2,86,1.90,10.00,30.18,1003.22,1.90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,973.73,07-14-2019,19:00:00,25.2,0.0,35.6,000,24.2,94,24.90,8.00,30.15,1003.62,30.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.42,07-14-2019,19:00:00,31.0,0.0,35.5,000,21.3,57,0.00,7.00,25.39,1003.24,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,972.54,07-14-2019,19:00:00,30.7,0.0,38.5,000,23.9,67,0.00,15.00,29.73,1001.68,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.03,07-14-2019,19:00:00,31.7,0.0,36.5,000,22.5,58,0.00,10.00,27.24,1004.20,4.40
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,982.08,07-14-2019,19:00:00,31.5,5.6,35.8,240,26.2,74,0.00,13.00,34.00,1001.57,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,974.17,07-14-2019,19:00:00,33.2,13.0,38.0,280,21.0,49,0.00,15.00,24.92,1002.08,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,982.11,07-14-2019,19:00:00,31.0,1.9,34.7,080,24.9,70,0.00,15.00,31.47,1001.90,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,981.70,07-14-2019,19:00:00,28.0,0.0,35.0,000,26.6,92,1.20,12.00,34.81,1003.26,1.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,982.58,07-14-2019,19:00:00,29.0,3.7,34.7,200,25.2,80,0.00,12.00,31.98,1001.82,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,986.47,07-14-2019,19:00:00,30.8,0.0,33.6,000,25.4,73,0.00,11.00,32.51,1002.93,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,985.86,07-14-2019,19:00:00,30.0,5.6,33.2,270,26.5,82,0.00,10.00,34.64,1003.02,0.30
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,976.14,07-14-2019,19:00:00,30.0,0.0,35.7,000,24.6,73,0.00,12.00,30.87,1001.51,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.30,07-14-2019,19:00:00,30.4,11.1,34.2,270,21.0,57,0.00,10.00,24.83,1004.01,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.11,07-14-2019,19:00:00,30.2,9.3,35.3,240,20.9,58,0.00,12.00,24.73,1004.22,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,987.91,07-14-2019,19:00:00,29.7,5.6,35.4,220,21.5,62,0.00,10.00,25.66,1004.16,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.46,07-14-2019,19:00:00,25.5,3.7,28.4,240,23.0,86,0.00,10.00,28.07,1004.84,38.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,990.98,07-14-2019,19:00:00,28.3,14.8,31.8,280,21.8,68,0.00,8.00,26.03,1005.28,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,987.81,07-14-2019,19:00:00,28.1,11.1,31.0,280,21.9,69,0.00,10.00,26.19,1004.09,2.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,998.86,07-14-2019,19:00:00,30.0,5.6,34.5,220,26.5,82,0.00,10.00,34.64,1004.02,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,989.30,07-14-2019,19:00:00,31.5,0.0,35.5,000,23.6,63,0.00,12.00,29.07,1002.24,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,994.76,07-14-2019,19:00:00,30.7,11.1,35.0,330,20.3,54,0.00,10.00,23.80,1003.94,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,980.92,07-14-2019,19:00:00,33.5,11.1,36.4,290,21.6,50,0.00,10.00,25.76,1002.04,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,985.44,07-14-2019,19:00:00,34.0,11.1,37.0,210,23.5,55,0.00,10.00,29.00,1002.46,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,987.01,07-14-2019,19:00:00,31.0,3.7,35.6,120,26.1,75,0.00,10.00,33.81,1002.57,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,983.03,07-14-2019,19:00:00,33.3,5.6,37.1,240,24.0,58,0.00,10.00,29.87,1001.43,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,954.83,07-14-2019,19:00:00,26.0,0.0,27.6,000,19.8,69,0.00,10.00,23.14,1005.95,11.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,999.64,07-14-2019,19:00:00,31.5,0.0,34.0,000,26.6,76,0.00,10.00,34.90,1003.53,0.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.08,07-14-2019,19:00:00,20.6,25.9,23.5,230,19.8,95,0.01,1.00,23.10,1006.38,4.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.47,07-14-2019,19:00:00,32.5,0.0,37.1,000,25.6,67,0.00,10.00,32.87,1002.10,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,999.51,07-14-2019,19:00:00,32.0,0.0,35.0,000,24.9,66,0.00,10.00,31.52,1003.47,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,994.36,07-14-2019,19:00:00,30.9,3.7,35.0,250,23.1,63,0.00,9.00,28.17,1004.88,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1002.42,07-14-2019,19:00:00,31.5,0.0,34.0,000,26.2,74,0.00,9.00,34.00,1004.32,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,983.48,07-14-2019,19:00:00,30.8,9.3,35.2,230,21.3,57,0.00,12.00,25.29,1004.01,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,984.89,07-14-2019,19:00:00,32.0,0.0,35.7,000,24.9,66,0.00,10.00,31.52,1002.18,7.50
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,986.25,07-14-2019,19:00:00,32.5,0.0,36.2,000,25.5,67,0.00,10.00,32.58,1002.04,7.50
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,990.09,07-14-2019,19:00:00,24.3,0.0,35.7,000,22.5,90,39.60,9.00,27.26,1004.21,39.60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,989.61,07-14-2019,19:00:00,28.8,9.3,35.7,240,22.5,69,0.40,5.00,27.20,1004.31,0.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,989.29,07-14-2019,19:00:00,32.6,0.0,36.0,000,24.3,62,0.00,8.00,30.44,1003.65,1.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1000.77,07-14-2019,19:00:00,32.4,0.0,35.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",20.9,51,0.00,10.00,24.77,1003.72,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.08,07-14-2019,19:00:00,30.6,0.0,37.4,000,25.2,73,0.00,10.00,32.09,1003.91,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1003.40,07-14-2019,19:00:00,31.0,7.4,34.7,210,23.8,66,0.00,8.00,29.48,1004.49,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.08,07-14-2019,19:00:00,32.2,0.0,36.3,000,24.8,65,0.00,10.00,31.35,1003.46,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.18,07-14-2019,19:00:00,21.0,7.4,24.4,200,20.7,98,0.00,5.00,24.38,1005.32,0.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,998.38,07-14-2019,19:00:00,31.4,0.0,34.2,000,25.5,71,0.00,10.00,32.60,1004.16,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1003.74,07-14-2019,19:00:00,32.5,9.3,36.0,240,25.8,68,0.00,8.00,33.17,1004.52,0.00
