WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,StationPressure,WindDirection,Rainfall,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,DewPoint,WindSpeed,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.44,09-19-2019,04:00:00,25.5,978.26,000,0.00,93,1009.30,6.50,24.3,0.0,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.14,09-19-2019,04:00:00,20.0,847.24,120,0.00,90,1008.08,5.70,18.4,3.7,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.41,09-19-2019,04:00:00,25.4,965.78,030,0.00,88,1009.54,0.00,23.2,5.6,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.11,09-19-2019,04:00:00,24.5,963.51,000,0.00,91,1009.30,0.00,23.0,0.0,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.93,09-19-2019,04:00:00,24.5,972.86,000,0.00,97,1010.78,0.01,24.1,0.0,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.25,09-19-2019,04:00:00,24.0,964.15,000,0.40,91,1009.58,0.40,22.5,0.0,7.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.62,09-19-2019,04:00:00,25.2,984.22,220,3.30,92,1011.13,3.30,23.9,9.3,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.25,09-19-2019,04:00:00,22.8,987.72,000,0.00,95,1009.79,8.90,21.9,0.0,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.32,09-19-2019,04:00:00,25.0,985.33,000,0.00,96,1009.60,0.00,24.3,0.0,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.08,09-19-2019,04:00:00,26.5,975.48,000,0.01,84,1010.04,0.80,23.6,0.0,9.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.20,09-19-2019,04:00:00,26.0,981.72,000,7.40,96,1009.34,9.90,25.3,0.0,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.05,09-19-2019,04:00:00,25.0,975.81,020,0.60,95,1009.58,2.50,24.1,5.6,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.15,09-19-2019,04:00:00,25.2,990.17,000,2.30,94,1008.79,2.30,24.2,0.0,5.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.92,09-19-2019,04:00:00,23.5,987.62,000,9.50,96,1010.74,20.90,22.9,0.0,6.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.30,09-19-2019,04:00:00,24.0,980.75,000,2.80,98,1010.98,8.40,23.7,0.0,6.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.32,09-19-2019,04:00:00,25.0,973.55,000,1.60,96,1009.27,1.60,24.3,0.0,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.27,09-19-2019,04:00:00,24.0,979.51,000,0.00,95,1009.52,2.90,23.1,0.0,4.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.38,09-19-2019,04:00:00,27.0,1001.34,000,0.00,88,1008.65,0.00,24.8,0.0,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.77,09-19-2019,04:00:00,27.2,989.48,360,0.00,88,1009.39,0.00,25.1,3.7,5.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.19,09-19-2019,04:00:00,26.7,989.05,000,0.10,83,1009.27,0.10,23.6,0.0,7.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.48,09-19-2019,04:00:00,25.0,988.05,000,0.00,90,1009.97,0.00,23.2,0.0,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.67,09-19-2019,04:00:00,26.3,989.52,000,0.00,81,1009.08,0.00,22.8,0.0,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.95,09-19-2019,04:00:00,25.7,993.10,000,0.00,88,1009.96,0.01,23.5,0.0,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.16,09-19-2019,04:00:00,24.8,992.32,000,0.00,93,1009.90,0.10,23.6,0.0,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.64,09-19-2019,04:00:00,26.8,983.25,100,0.00,84,1009.08,0.00,23.9,3.7,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.20,09-19-2019,04:00:00,26.0,1002.52,000,0.00,96,1008.33,2.60,25.3,0.0,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.25,09-19-2019,04:00:00,25.5,1002.49,000,0.00,96,1008.72,10.10,24.8,0.0,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.39,09-19-2019,04:00:00,27.1,993.23,000,0.00,82,1009.70,0.50,23.8,0.0,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.25,09-19-2019,04:00:00,24.0,985.70,000,17.20,91,1008.27,19.50,22.5,0.0,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.81,09-19-2019,04:00:00,24.6,995.15,000,27.90,93,1009.68,28.90,23.4,0.0,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.41,09-19-2019,04:00:00,24.5,992.76,000,2.70,96,1009.31,7.60,23.8,0.0,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.55,09-19-2019,04:00:00,25.8,1004.00,000,2.20,95,1009.26,25.40,24.9,0.0,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.79,09-19-2019,04:00:00,26.5,994.22,000,0.00,92,1007.44,1.00,25.1,0.0,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.43,09-19-2019,04:00:00,23.8,999.84,000,0.70,97,1009.29,52.40,23.2,0.0,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.62,09-19-2019,04:00:00,26.5,986.89,350,0.00,86,1008.64,0.01,23.9,3.7,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.26,09-19-2019,04:00:00,26.7,990.63,000,0.00,86,1008.17,0.00,24.2,0.0,7.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,28.72,09-19-2019,04:00:00,26.3,991.99,010,0.00,84,1007.88,0.00,23.4,3.7,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.84,09-19-2019,04:00:00,26.0,988.73,000,0.00,92,1007.69,0.00,24.6,0.0,7.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.52,09-19-2019,04:00:00,22.8,957.81,000,2.10,92,1009.65,2.10,21.4,0.0,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.52,09-19-2019,04:00:00,25.0,1004.99,320,0.00,93,1008.99,5.00,23.8,3.7,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.20,09-19-2019,04:00:00,20.2,914.41,070,9.80,98,1010.20,9.80,19.9,5.6,2.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.93,09-19-2019,04:00:00,26.3,992.65,040,0.00,82,1008.70,0.00,22.9,3.7,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.85,09-19-2019,04:00:00,25.0,1004.94,000,0.00,97,1009.01,12.30,24.6,0.0,7.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.00,09-19-2019,04:00:00,25.0,999.07,000,0.00,92,1009.84,0.00,23.5,0.0,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.38,09-19-2019,04:00:00,24.8,1007.56,000,0.00,91,1009.50,16.10,23.2,0.0,5.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.41,09-19-2019,04:00:00,27.0,987.91,000,0.00,80,1008.80,0.00,23.2,0.0,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.85,09-19-2019,04:00:00,26.4,991.62,080,0.00,81,1009.35,0.00,22.9,9.3,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.27,09-19-2019,04:00:00,26.6,991.83,000,0.00,84,1008.03,0.10,23.7,0.0,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.21,09-19-2019,04:00:00,25.7,994.49,150,0.00,89,1008.61,2.20,23.7,3.7,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.00,09-19-2019,04:00:00,25.0,994.03,000,0.00,92,1008.98,4.30,23.5,0.0,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.20,09-19-2019,04:00:00,26.0,994.67,070,1.20,96,1009.43,1.20,25.3,5.6,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.88,09-19-2019,04:00:00,24.2,1005.76,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",4.30,96,1008.82,30.00,23.5,0.0,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.26,09-19-2019,04:00:00,27.1,1000.67,000,0.00,93,1008.63,7.30,25.8,0.0,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.63,09-19-2019,04:00:00,26.7,1008.12,000,0.00,90,1009.23,0.00,25.0,0.0,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.03,09-19-2019,04:00:00,26.0,992.58,100,0.00,89,1007.32,1.80,24.1,3.7,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.91,09-19-2019,04:00:00,20.0,874.61,060,0.00,98,1009.75,1.80,19.7,5.6,6.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,32.54,09-19-2019,04:00:00,26.6,1002.71,000,0.00,93,1008.61,0.00,25.5,0.0,8.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.32,09-19-2019,04:00:00,25.0,1009.06,000,0.00,96,1009.87,27.50,24.3,0.0,7.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.32,09-19-2019,04:00:00,25.0,998.51,000,0.00,96,1009.92,7.40,24.3,0.0,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.04,09-19-2019,04:00:00,25.1,1008.43,350,4.60,97,1009.45,8.90,24.7,3.7,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.59,09-19-2019,04:00:00,26.3,1006.88,190,0.00,89,1008.71,1.20,24.4,3.7,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.61,09-19-2019,04:00:00,24.8,1008.39,000,0.00,88,1009.16,0.10,22.7,0.0,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.61,09-19-2019,04:00:00,24.9,1008.45,080,2.60,94,1009.16,3.20,23.9,3.7,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.25,09-19-2019,04:00:00,25.5,1007.87,000,2.60,96,1008.58,38.30,24.8,0.0,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.45,09-19-2019,04:00:00,26.7,987.35,220,0.00,84,1008.56,0.00,23.8,3.7,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.98,09-19-2019,04:00:00,25.5,991.30,000,0.00,95,1008.12,8.50,24.6,0.0,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.98,09-19-2019,04:00:00,25.5,992.36,000,0.00,95,1008.90,12.80,24.6,0.0,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.07,09-19-2019,04:00:00,25.5,987.21,000,0.00,86,1009.22,0.00,23.0,0.0,8.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,29.33,09-19-2019,04:00:00,24.6,965.30,000,0.00,95,1008.96,0.00,23.7,0.0,9.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.22,09-19-2019,04:00:00,25.0,987.38,220,0.00,89,1008.10,0.50,23.1,3.7,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.42,09-19-2019,04:00:00,25.4,988.72,030,0.00,100,1009.70,0.00,25.4,5.6,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.49,09-19-2019,04:00:00,26.2,1008.37,040,0.00,93,1008.80,1.50,24.9,5.6,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.25,09-19-2019,04:00:00,25.5,1007.03,000,1.40,96,1008.46,10.60,24.8,0.0,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.33,09-19-2019,04:00:00,25.4,1003.25,000,0.00,97,1008.21,2.90,24.8,0.0,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.25,09-19-2019,04:00:00,24.7,1005.89,000,0.00,94,1009.21,33.10,23.7,0.0,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.54,09-19-2019,04:00:00,24.4,1007.83,000,0.00,100,1008.95,26.00,24.4,0.0,5.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.38,09-19-2019,04:00:00,26.0,1008.37,100,1.20,93,1008.68,18.50,24.8,5.6,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.48,09-19-2019,04:00:00,24.8,1008.18,300,0.70,97,1008.67,27.70,24.4,1.9,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.87,09-19-2019,04:00:00,25.4,1008.03,130,2.60,98,1009.45,23.60,25.1,7.4,6.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.56,09-19-2019,04:00:00,24.7,1002.32,000,2.60,98,1010.41,20.10,24.4,0.0,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.58,09-19-2019,04:00:00,25.9,1005.27,200,0.00,89,1008.42,1.00,23.9,9.3,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.46,09-19-2019,04:00:00,26.7,1001.32,000,0.00,93,1008.28,0.00,25.4,0.0,10.00
