WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,VaporPressure,StationPressure,LandVisibility,DewPoint,WindDirection,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,Rainfall
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.0,07-31-2019,01:00:00,33.40,30.32,984.61,10.00,24.3,210,96,7.4,1004.85,21.60
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.0,07-31-2019,01:00:00,23.50,31.93,982.82,10.00,25.1,000,95,0.0,1004.54,0.90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.0,07-31-2019,01:00:00,12.30,32.20,983.91,10.00,25.3,000,96,0.0,1003.38,0.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.0,07-31-2019,01:00:00,2.30,29.00,987.50,6.00,23.5,000,92,0.0,1004.31,0.60
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.4,07-31-2019,01:00:00,4.70,29.99,986.68,10.00,24.1,000,92,0.0,1004.12,2.40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.0,07-31-2019,01:00:00,9.20,33.04,978.33,8.00,25.7,090,98,3.7,1004.10,1.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.5,07-31-2019,01:00:00,0.00,26.95,999.99,10.00,22.3,260,73,9.3,1005.76,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.5,07-31-2019,01:00:00,0.00,28.26,998.84,10.00,23.1,000,77,0.0,1005.01,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.5,07-31-2019,01:00:00,1.80,28.59,990.37,7.00,23.3,000,88,0.0,1006.88,1.60
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.4,07-31-2019,01:00:00,7.00,26.17,984.28,10.00,21.8,220,86,3.7,1006.78,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.5,07-31-2019,01:00:00,0.00,24.38,992.58,10.00,20.7,280,66,16.7,1006.94,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.5,07-31-2019,01:00:00,0.00,25.65,989.41,7.00,21.5,120,70,14.8,1005.75,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.4,07-31-2019,01:00:00,2.30,29.72,1000.96,8.00,23.9,090,92,3.7,1006.21,2.30
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.7,07-31-2019,01:00:00,0.00,27.60,990.10,10.00,22.7,000,79,0.0,1003.26,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.3,07-31-2019,01:00:00,0.00,23.73,997.12,10.00,20.2,320,62,5.6,1006.39,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.6,07-31-2019,01:00:00,0.01,30.07,982.94,9.00,24.1,200,81,1.9,1004.52,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.0,07-31-2019,01:00:00,4.30,31.38,987.59,10.00,24.8,000,88,0.0,1005.06,0.40
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.5,07-31-2019,01:00:00,16.30,31.79,987.51,10.00,25.1,000,97,0.0,1003.36,0.50
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.1,07-31-2019,01:00:00,0.30,34.11,984.73,8.00,26.2,000,95,0.0,1003.54,0.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.4,07-31-2019,01:00:00,0.10,30.51,1002.00,7.00,24.4,000,89,0.0,1005.96,0.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,07-31-2019,01:00:00,2.00,21.91,912.14,5.00,19.0,200,92,25.9,1007.63,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.8,07-31-2019,01:00:00,12.50,31.55,988.27,6.00,24.9,000,90,0.0,1004.22,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.9,07-31-2019,01:00:00,0.00,27.67,1001.97,10.00,22.8,220,74,1.9,1005.99,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.0,07-31-2019,01:00:00,0.20,27.66,996.36,6.00,22.7,000,82,0.0,1007.07,0.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.0,07-31-2019,01:00:00,0.00,26.32,1004.88,9.00,21.9,000,74,0.0,1006.81,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.0,07-31-2019,01:00:00,3.80,27.25,984.90,6.00,22.5,290,91,7.4,1005.94,3.80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.5,07-31-2019,01:00:00,16.90,33.19,986.45,10.00,25.8,000,96,0.0,1004.09,0.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.5,07-31-2019,01:00:00,12.40,33.19,987.89,10.00,25.8,000,96,0.0,1004.02,0.30
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.7,07-31-2019,01:00:00,24.20,29.77,991.09,8.00,24.0,000,96,0.0,1005.20,16.50
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.6,07-31-2019,01:00:00,31.10,29.85,990.72,6.00,24.0,000,97,0.0,1005.64,8.30
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.3,07-31-2019,01:00:00,1.20,31.96,991.10,6.00,25.1,250,93,3.7,1005.79,0.20
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.8,07-31-2019,01:00:00,0.00,25.10,1003.36,10.00,21.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",63,0.0,1006.36,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.0,07-31-2019,01:00:00,7.80,29.00,997.88,7.00,23.5,000,92,0.0,1005.87,7.80
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.8,07-31-2019,01:00:00,0.00,27.49,1005.63,8.00,22.6,250,74,5.6,1006.73,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.0,07-31-2019,01:00:00,11.10,32.49,991.45,7.00,25.4,110,91,3.7,1006.12,11.10
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.8,07-31-2019,01:00:00,0.00,21.25,872.79,.05,18.5,290,98,5.6,1008.24,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.2,07-31-2019,01:00:00,0.00,29.85,1000.54,10.00,24.0,010,83,7.4,1006.41,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.0,07-31-2019,01:00:00,0.00,24.68,1006.33,8.00,20.9,230,62,16.7,1007.13,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.8,07-31-2019,01:00:00,0.00,30.19,1005.42,10.00,24.2,240,72,9.3,1005.86,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.5,07-31-2019,01:00:00,0.50,26.84,997.98,5.00,22.3,000,87,0.0,1009.40,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.0,07-31-2019,01:00:00,0.00,25.45,1005.81,10.00,21.4,280,64,3.7,1006.82,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.3,07-31-2019,01:00:00,0.00,27.90,1005.01,8.00,22.9,000,77,0.0,1006.83,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.5,07-31-2019,01:00:00,0.00,22.32,1006.14,4.00,19.3,230,57,7.4,1006.90,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.1,07-31-2019,01:00:00,0.00,24.08,1006.77,10.00,20.5,270,60,22.2,1007.47,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.9,07-31-2019,01:00:00,0.00,29.27,1005.87,7.00,23.7,310,74,3.7,1006.57,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.5,07-31-2019,01:00:00,0.00,28.51,984.83,10.00,23.2,270,73,11.1,1005.85,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.8,07-31-2019,01:00:00,3.60,30.72,988.82,6.00,24.5,000,87,0.0,1005.52,0.40
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.2,07-31-2019,01:00:00,2.20,32.04,989.63,6.00,25.2,000,94,0.0,1006.09,0.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.9,07-31-2019,01:00:00,4.00,25.80,984.22,10.00,21.6,270,65,7.4,1005.92,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.1,07-31-2019,01:00:00,0.00,25.53,963.15,10.00,21.4,240,76,14.8,1006.49,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.5,07-31-2019,01:00:00,0.20,26.13,984.99,10.00,21.8,220,67,9.3,1005.41,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.2,07-31-2019,01:00:00,3.60,29.66,985.66,7.00,23.9,240,98,18.5,1006.66,1.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.6,07-31-2019,01:00:00,0.00,24.49,1007.22,10.00,20.8,290,63,5.6,1007.66,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.5,07-31-2019,01:00:00,0.00,29.60,1004.54,6.00,23.9,000,81,0.0,1005.95,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,28.0,07-31-2019,01:00:00,0.00,30.01,1001.50,7.00,24.1,000,79,0.0,1006.41,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.5,07-31-2019,01:00:00,0.00,24.13,1004.65,10.00,20.5,320,66,11.1,1007.94,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.6,07-31-2019,01:00:00,0.00,23.55,1006.29,10.00,20.1,250,64,7.4,1007.40,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.2,07-31-2019,01:00:00,0.00,25.55,1007.29,10.00,21.4,310,63,14.8,1007.59,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.6,07-31-2019,01:00:00,0.00,28.97,1007.61,10.00,23.5,000,70,0.0,1008.09,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.9,07-31-2019,01:00:00,0.00,25.28,1005.60,10.00,21.3,270,63,18.5,1007.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.5,07-31-2019,01:00:00,0.00,24.83,1000.96,10.00,21.0,000,64,0.0,1008.94,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,30.1,07-31-2019,01:00:00,0.00,28.83,1006.88,10.00,23.4,270,68,18.5,1007.17,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.6,07-31-2019,01:00:00,0.00,27.34,1003.77,10.00,22.6,300,66,9.3,1006.88,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.6,07-31-2019,01:00:00,0.00,26.80,1001.10,10.00,22.2,280,65,5.6,1007.98,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.5,07-31-2019,01:00:00,1.70,32.36,1000.74,7.00,25.4,180,88,5.6,1006.33,1.70
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.5,07-31-2019,01:00:00,0.00,26.69,1007.23,10.00,22.2,320,73,3.7,1008.49,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.4,07-31-2019,01:00:00,0.00,26.21,1007.51,11.00,21.9,000,68,0.0,1007.94,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.8,07-31-2019,01:00:00,0.00,26.74,996.54,10.00,22.2,000,76,0.0,1008.82,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.5,07-31-2019,01:00:00,0.00,28.24,1007.68,10.00,23.1,000,73,0.0,1008.39,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.2,07-31-2019,01:00:00,0.00,28.20,1005.82,10.00,23.1,240,66,5.6,1008.24,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.0,07-31-2019,01:00:00,0.00,29.19,1007.49,10.00,23.6,270,69,22.2,1008.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.0,07-31-2019,01:00:00,0.00,27.83,1002.63,10.00,22.9,000,70,0.0,1007.75,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.8,07-31-2019,01:00:00,0.00,32.42,1007.18,7.00,25.4,000,82,0.0,1007.59,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.2,07-31-2019,01:00:00,0.00,34.03,1005.07,8.00,26.2,000,94,0.0,1007.84,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.2,07-31-2019,01:00:00,0.00,27.16,1006.95,10.00,22.4,000,71,0.0,1007.74,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.0,07-31-2019,01:00:00,0.50,33.41,1006.36,6.00,25.9,280,83,5.6,1006.82,0.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,27.6,07-31-2019,01:00:00,0.00,28.71,1008.80,9.00,23.4,250,78,5.6,1009.49,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.2,07-31-2019,01:00:00,1.40,31.22,1008.01,7.00,24.8,000,92,0.0,1009.55,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.5,07-31-2019,01:00:00,1.90,32.08,1009.70,10.00,25.2,200,87,3.7,1010.61,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.3,07-31-2019,01:00:00,0.00,31.70,1009.17,10.00,25.0,000,82,0.0,1009.85,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.3,07-31-2019,01:00:00,0.00,30.07,1009.78,9.00,24.1,000,93,0.0,1010.58,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.9,07-31-2019,01:00:00,0.00,32.56,1008.50,10.00,25.5,170,97,1.9,1009.14,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.7,07-31-2019,01:00:00,0.00,31.08,1008.72,10.00,24.7,000,94,0.0,1009.13,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.5,07-31-2019,01:00:00,0.00,30.43,1008.15,5.00,24.3,000,88,0.0,1012.39,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.8,07-31-2019,01:00:00,0.00,29.95,1008.91,10.00,24.1,000,96,0.0,1010.53,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.5,07-31-2019,01:00:00,11.80,29.41,1006.48,7.00,23.8,000,96,0.0,1010.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.2,07-31-2019,01:00:00,0.00,30.67,1008.73,8.00,24.5,000,85,0.0,1010.09,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,27.8,07-31-2019,01:00:00,0.00,30.72,1009.90,10.00,24.5,000,82,0.0,1010.78,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,26.2,07-31-2019,01:00:00,0.00,30.94,1006.95,10.00,24.6,000,91,0.0,1010.53,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.5,07-31-2019,01:00:00,0.00,31.54,1009.98,10.00,24.9,000,81,0.0,1010.42,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.8,07-31-2019,01:00:00,0.00,29.63,1009.19,10.00,23.9,000,71,0.0,1010.18,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.3,07-31-2019,01:00:00,0.00,32.01,1009.79,10.00,25.2,250,79,24.1,1010.60,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.0,07-31-2019,01:00:00,0.00,30.84,1008.78,10.00,24.6,000,92,0.0,1010.60,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.1,07-31-2019,01:00:00,0.00,29.66,1009.38,10.00,23.9,230,83,7.4,1010.13,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.7,07-31-2019,01:00:00,0.00,28.90,1006.53,10.00,23.5,000,78,0.0,1010.53,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.2,07-31-2019,01:00:00,0.00,30.13,1010.27,10.00,24.2,000,89,0.0,1010.96,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.0,07-31-2019,01:00:00,0.00,29.26,1009.88,10.00,23.7,000,92,0.0,1011.01,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.3,07-31-2019,01:00:00,0.00,29.52,1007.65,10.00,23.8,000,86,0.0,1010.58,0.00
