WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,VaporPressure,StationPressure,LandVisibility,DewPoint,WindDirection,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.9,07-31-2019,01:00:00,0.80,29.84,975.43,8.00,24.0,000,89,0.0,1006.33,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.2,07-31-2019,01:00:00,4.50,20.67,844.06,7.00,18.0,270,99,14.8,1005.35,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.2,07-31-2019,01:00:00,12.20,27.85,961.46,10.00,22.9,000,92,0.0,1005.21,9.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.8,07-31-2019,01:00:00,10.60,27.92,959.57,1.00,22.9,000,95,0.0,1005.28,6.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.0,07-31-2019,01:00:00,22.40,29.82,967.61,6.00,24.0,000,100,0.0,1005.40,3.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.8,07-31-2019,01:00:00,6.70,28.18,960.12,8.00,23.1,000,96,0.0,1005.39,2.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.7,07-31-2019,01:00:00,23.50,28.01,978.93,6.00,23.0,000,96,0.0,1005.83,1.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.2,07-31-2019,01:00:00,0.00,26.46,984.39,12.00,22.0,290,78,1.9,1006.14,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.4,07-31-2019,01:00:00,0.40,26.93,984.07,6.00,22.3,000,88,0.0,1008.35,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.2,07-31-2019,01:00:00,4.20,29.36,971.84,10.00,23.7,000,92,0.0,1006.42,3.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.5,07-31-2019,01:00:00,0.10,27.77,979.64,10.00,22.8,000,80,0.0,1007.15,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.5,07-31-2019,01:00:00,2.80,29.11,972.52,9.00,23.6,000,89,0.0,1006.12,2.40
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.5,07-31-2019,01:00:00,5.60,31.25,987.13,10.00,24.8,150,96,3.7,1005.67,5.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.8,07-31-2019,01:00:00,29.40,28.69,982.52,5.00,23.4,000,97,0.0,1005.50,9.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,07-31-2019,01:00:00,28.90,29.00,976.55,5.00,23.5,000,92,0.0,1006.54,8.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.8,07-31-2019,01:00:00,0.20,31.55,970.00,4.00,24.9,000,95,0.0,1005.49,0.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,07-31-2019,01:00:00,0.80,30.84,974.29,10.00,24.6,000,92,0.0,1003.94,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.0,07-31-2019,01:00:00,5.10,30.57,998.89,6.00,24.4,000,91,0.0,1006.21,3.20
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.2,07-31-2019,01:00:00,24.90,31.49,984.18,11.00,24.9,250,93,5.6,1004.06,0.10
48353,LOEI,เลย,เลย,17.45000,101.73333,26.7,07-31-2019,01:00:00,1.00,31.35,975.40,10.00,24.8,000,90,0.0,1003.96,0.00
