WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,DewPoint,VaporPressure,Rainfall,AirTemperature,StationPressure,LandVisibility,RelativeHumidity,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.70,08-15-2019,13:00:00,1006.70,24.7,31.03,0.00,29.8,976.17,10.00,74,0.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.60,08-15-2019,13:00:00,1003.91,19.8,23.11,0.00,21.7,844.56,6.00,89,37.0,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.30,08-15-2019,13:00:00,1004.36,23.6,29.16,0.00,29.7,961.42,12.00,70,9.3,270
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,5.20,08-15-2019,13:00:00,1004.52,25.5,32.55,0.00,29.0,959.61,15.00,81,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-15-2019,13:00:00,1006.49,23.5,29.03,0.00,28.2,969.18,10.00,76,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.30,08-15-2019,13:00:00,1004.16,24.4,30.53,0.00,33.2,960.29,11.00,60,13.0,340
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,2.60,08-15-2019,13:00:00,1005.14,25.7,32.99,0.00,32.0,978.97,10.00,69,0.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,5.50,08-15-2019,13:00:00,1006.10,24.3,30.44,0.00,31.9,984.76,12.00,64,13.0,240
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,3.50,08-15-2019,13:00:00,1007.44,23.8,29.39,0.00,31.8,983.76,10.00,63,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.20,08-15-2019,13:00:00,1005.36,24.7,31.06,0.00,31.5,971.51,10.00,67,3.7,060
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.60,08-15-2019,13:00:00,1005.56,24.7,31.11,0.00,32.5,978.62,10.00,64,0.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,2.40,08-15-2019,13:00:00,1005.44,22.9,27.84,0.00,33.0,972.67,12.00,55,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.01,08-15-2019,13:00:00,1005.09,25.6,32.87,0.00,32.5,986.98,12.00,67,3.7,200
48331,NAN,น่าน,น่าน,18.77972,100.77778,1.20,08-15-2019,13:00:00,1004.65,25.2,32.03,0.00,32.8,982.35,10.00,64,11.1,130
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,3.10,08-15-2019,13:00:00,1005.08,25.2,31.97,0.00,31.1,975.72,12.00,71,0.0,000
