WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,StationPressure,VaporPressure,WindDirection,DewPoint,Rainfall24Hr,RelativeHumidity,Rainfall,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-23-2019,22:00:00,1008.86,977.78,30.32,000,24.3,29.40,96,27.70,5.00,25.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-23-2019,22:00:00,1008.56,964.86,28.33,000,23.1,1.80,87,0.20,10.00,25.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,7.4,08-23-2019,22:00:00,1008.56,962.85,28.13,230,23.0,2.80,90,0.00,12.00,24.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-23-2019,22:00:00,1008.62,970.84,30.32,000,24.3,41.10,96,32.70,5.00,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-23-2019,22:00:00,1008.61,963.33,29.25,000,23.7,31.20,94,0.50,12.00,24.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,9.3,08-23-2019,22:00:00,1008.59,981.90,30.83,170,24.5,6.70,87,0.00,7.00,27.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-23-2019,22:00:00,1007.76,986.08,30.07,000,24.1,2.30,81,0.00,12.00,27.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-23-2019,22:00:00,1009.60,985.33,29.52,000,23.8,8.20,93,0.00,6.00,25.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-23-2019,22:00:00,1009.23,974.49,29.25,000,23.7,15.30,94,7.20,8.00,24.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-23-2019,22:00:00,1010.86,983.11,30.32,000,24.3,24.90,96,3.20,7.00,25.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-23-2019,22:00:00,1008.92,975.15,30.22,000,24.2,19.20,97,4.80,7.00,24.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-23-2019,22:00:00,1008.25,989.77,32.53,000,25.4,0.01,90,0.00,10.00,27.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-23-2019,22:00:00,1008.67,985.78,29.76,000,24.0,11.50,89,0.00,10.00,26.0
