WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindDirection,WindSpeed,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-18-2019,04:00:00,26.3,5.00,0.00,1003.79,93,25.0,000,0.0,0.10,31.68,1007.76
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-18-2019,04:00:00,22.1,.30,0.00,913.94,98,21.8,000,0.0,0.00,26.09,1009.04
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-18-2019,04:00:00,26.7,5.00,0.00,992.10,90,25.0,000,0.0,0.00,31.63,1008.12
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-18-2019,04:00:00,25.0,8.00,3.60,1003.44,96,24.3,000,0.0,5.20,30.32,1007.50
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-18-2019,04:00:00,25.7,7.00,2.30,998.27,94,24.7,000,0.0,2.30,31.08,1009.01
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-18-2019,04:00:00,26.6,9.00,0.00,1006.49,91,25.0,000,0.0,0.70,31.71,1008.43
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-18-2019,04:00:00,26.8,10.00,0.00,987.01,89,24.8,000,0.0,0.00,31.27,1007.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-18-2019,04:00:00,26.0,10.00,0.00,990.32,90,24.3,000,0.0,0.00,30.30,1008.06
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-18-2019,04:00:00,26.7,10.00,0.00,991.50,86,24.2,000,0.0,0.00,30.26,1007.68
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-18-2019,04:00:00,26.0,10.00,0.00,993.54,84,23.1,000,0.0,0.00,28.18,1007.63
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-18-2019,04:00:00,25.1,7.00,0.00,992.96,95,24.2,000,0.0,0.00,30.23,1007.90
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-18-2019,04:00:00,26.5,6.00,0.00,993.08,96,25.8,000,0.0,0.00,33.19,1007.79
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-18-2019,04:00:00,25.7,6.00,29.10,1004.60,95,24.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,29.40,31.36,1007.64
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-18-2019,04:00:00,25.6,7.00,0.00,1000.01,93,24.4,000,0.0,5.50,30.63,1008.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-18-2019,04:00:00,26.1,6.00,0.00,1006.51,91,24.5,000,0.0,0.80,30.76,1007.62
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-18-2019,04:00:00,25.7,8.00,0.00,992.94,79,21.8,000,0.0,0.00,26.11,1007.69
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-18-2019,04:00:00,18.6,4.00,0.00,874.31,98,18.3,060,5.6,30.60,20.98,1010.09
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-18-2019,04:00:00,26.0,8.00,0.00,1001.96,92,24.6,000,0.0,5.30,30.84,1007.86
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-18-2019,04:00:00,25.2,8.00,0.00,1007.07,97,24.8,000,0.0,2.70,31.22,1007.87
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-18-2019,04:00:00,27.0,10.00,0.00,1006.60,92,25.6,000,0.0,1.20,32.77,1007.05
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-18-2019,04:00:00,24.5,4.00,0.00,997.36,97,23.9,000,0.0,1.00,29.67,1008.78
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-18-2019,04:00:00,27.0,10.00,0.00,1006.76,92,25.6,000,0.0,0.00,32.77,1007.77
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-18-2019,04:00:00,25.9,7.00,0.00,1006.28,93,24.7,000,0.0,0.50,31.19,1008.11
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-18-2019,04:00:00,26.3,3.00,0.00,1006.59,89,24.4,000,0.0,0.00,30.59,1007.36
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-18-2019,04:00:00,25.4,8.00,0.00,1007.10,95,24.5,240,3.7,18.40,30.79,1007.81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-18-2019,04:00:00,26.4,7.00,0.00,1006.76,93,25.1,000,0.0,0.30,31.88,1007.47
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-18-2019,04:00:00,25.6,10.00,0.00,986.71,90,23.8,000,0.0,0.00,29.56,1007.98
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-18-2019,04:00:00,25.2,6.00,0.00,991.13,92,23.7,000,0.0,0.00,29.36,1007.96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-18-2019,04:00:00,25.2,6.00,0.00,991.69,93,24.0,000,0.0,0.00,29.89,1008.24
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-18-2019,04:00:00,25.2,10.00,0.00,985.97,91,23.6,000,0.0,0.20,29.10,1007.97
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-18-2019,04:00:00,23.0,8.00,0.00,964.69,98,22.7,000,0.0,0.50,27.57,1008.56
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-18-2019,04:00:00,24.3,10.00,0.00,987.11,95,23.4,000,0.0,0.00,28.79,1007.87
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-18-2019,04:00:00,25.0,6.00,0.00,988.62,100,25.0,020,3.7,0.00,31.66,1009.63
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-18-2019,04:00:00,26.6,10.00,0.40,1006.89,90,24.7,020,5.6,2.20,31.16,1007.32
